,https://roic.ai/company/NSTG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,11730000,17800000,22973000,31403000,47593000,62667000,86489000,114905000,106732000,125568000,117316000,- -
2,COGS,9128000,9777000,12361000,15009000,21149000,26126000,30245000,31880000,36331000,44039000,52409000,- -
3,Gross Profit,2602000,8023000,10612000,16394000,26444000,36541000,56244000,83025000,70401000,81529000,64907000,76781000
4,Gross Profit Ratio,0.2218,0.4507,0.4619,0.5221,0.5556,0.5831,0.6503,0.7226,0.6596,0.6493,0.5533,Infinity
5,Research and Development Exp.,7547000,8990000,11635000,14979000,21404000,24597000,34720000,46888000,61599000,68035000,62857000,69504000
6,General and Administrative Exp.,- -,- -,- -,29912000,51063000,53186000,62700000,74334000,78195000,96195000,90097000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,29912000,51063000,53186000,62700000,74334000,78195000,96195000,90097000,115503000
9,Other Expenses,8027000,9529000,15486000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,15574000,18519000,27121000,44891000,72467000,77783000,97420000,121222000,139794000,164230000,152954000,185007000
11,COGS and Expenses,24702000,28296000,39482000,59900000,93616000,103909000,127665000,153102000,176125000,208269000,205363000,- -
12,Interest Income ,29000,10000,21000,68000,272000,233000,390000,809000,1331000,2819000,1744000,649000
13,Interest Expense (Gain),94000,599000,804000,1942000,4140000,4017000,5672000,6153000,7431000,8487000,15408000,7490000
14,Depreciation and Amortization,972000,1454000,1947000,1777000,1539000,2377000,2977000,3354000,4070000,4919000,5738000,5871000
15,EBITDA,-11702000,-8879000,-14957000,-25562000,-44359000,-39021000,-38324000,-33851000,-65650000,-27021000,-88679000,- -
16,EBITDA ratio,-0.9976,-0.4988,-0.6511,-0.8140,-0.9320,-0.6227,-0.4431,-0.2946,-0.6151,-0.2152,-0.7559,- -
17,Operating Income,-12972000,-10496000,-16509000,-28497000,-46023000,-41242000,-41176000,-38197000,-69393000,-82701000,-88047000,-108226000
18,Operating Income ratio,-1.1059,-0.5897,-0.7186,-0.9075,-0.9670,-0.6581,-0.4761,-0.3324,-0.6502,-0.6586,-0.7505,-Infinity
19,Total Other Income Expenses (Gains),204000,-436000,-1199000,-784000,-4015000,-4173000,-5797000,-5161000,-7758000,42274000,-21778000,-6861000
20,Income Before Tax,-12768000,-10932000,-17708000,-29281000,-50038000,-45415000,-46973000,-43358000,-77151000,-40427000,-109825000,-115087000
21,Income Before Tax Ratio,-1.0885,-0.6142,-0.7708,-0.9324,-1.0514,-0.7247,-0.5431,-0.3773,-0.7228,-0.3220,-0.9361,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,166000,116000,204000,249000,269000,253000,167000
23,Net Income,-12768000,-10932000,-17708000,-29281000,-50038000,-45581000,-47089000,-43562000,-77400000,-40696000,-110078000,-115254000
24,Net Income ratio,-1.0885,-0.6142,-0.7708,-0.9324,-1.0514,-0.7274,-0.5445,-0.3791,-0.7252,-0.3241,-0.9383,-Infinity
25,EPS,-2.14,-1.77,-2.16,-4.44,-2.80,-2.40,-2.34,-1.84,-2.78,-1.18,-2.82,-2.54
26,EPS Diluted,-2.14,-1.77,-2.16,-4.44,-2.80,-2.40,-2.34,-1.84,-2.78,-1.18,-2.82,-2.54
27,Weighted Average Shares Outstanding,8018000,9168000,8018000,7643000,17839000,19027000,20116000,23731000,27883000,34588000,39083000,45299000
28,Weighted Average Shares Outstanding Diluted,8018000,9168000,8018000,7643000,17839000,19027000,20116000,23731000,27883000,34588000,39083000,45299000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401708/000119312514118770/0001193125-14-118770-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000119312515091371/0001193125-15-091371-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000119312516501709/0001193125-16-501709-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170817000015/0001401708-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170818000058/0001401708-18-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170819000055/0001401708-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170820000039/0001401708-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170821000033/0001401708-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170822000051/0001401708-22-000051-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10868000,21692000,9941000,17223000,21856000,20583000,26136000,24356000,29033000,411848000,107068000
32,Short-Term Investments,- -,- -,- -,32715000,55002000,27188000,53453000,51419000,69641000,127822000,28883000,241821000
33,Cash and Short-Term Investments,- -,10868000,21692000,42656000,72225000,49044000,74036000,77555000,93997000,156855000,440731000,348889000
34,Net Receivables,- -,3112000,3322000,8331000,12436000,19725000,22379000,19564000,17279000,27153000,31100000,40130000
35,Inventory,- -,3496000,5380000,6750000,5444000,10138000,13812000,20057000,13173000,19781000,22959000,31486000
36,Other Current Assets,- -,1541000,1320000,2999000,5242000,3886000,3558000,4745000,7258000,8818000,4190000,7115000
37,Total Current Assets,- -,19017000,31714000,60736000,95347000,82793000,113785000,121921000,131707000,212607000,498980000,427620000
38,PP&E,- -,5196000,3674000,3065000,6366000,9414000,12158000,14057000,15171000,44832000,42320000,46269000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,371000,2018000,571000,1035000,662000,430000,784000,680000,2315000,2895000,5592000
45,Total Non-Current Assets,- -,5567000,5692000,3636000,7401000,10076000,12588000,14841000,15851000,47147000,45215000,51861000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,24584000,37406000,64372000,102748000,92869000,126373000,136762000,147558000,259754000,544195000,479481000
48,Accounts Payable,- -,1650000,2865000,3354000,3380000,3243000,4935000,4092000,8636000,10282000,5313000,14283000
49,Short-Term Debt,- -,- -,- -,6136000,251000,- -,- -,- -,- -,- -,251000,4889000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,991000,878000,1462000,4627000,5261000,19033000,18174000,18057000,10386000,7241000,8752000
52,Other Current Liabilities,- -,4140000,8034000,7678000,10550000,12407000,12415000,13653000,16422000,24318000,24294000,24231000
53,Total Current Liabilities,- -,6781000,11777000,18630000,18808000,20911000,36383000,35919000,43115000,44986000,37099000,52155000
54,Long-Term Debt,- -,1012000,9970000,12157000,30675000,40942000,47366000,48931000,58396000,79951000,172703000,246837000
55,Deferred Revenue,- -,103000,362000,803000,7135000,6486000,22664000,3304000,1620000,976000,1843000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5182000,5435000,1313000,1317000,4315000,7655000,8499000,7558000,29690000,25602000,3527000
58,Total Non-Current Liabilities,- -,6297000,15767000,14273000,39127000,51743000,77685000,60734000,67574000,110617000,200148000,250364000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,284000,58000,- -,- -,33134000,29915000,26582000
61,Total Liabilities,- -,13078000,27544000,32903000,57935000,72654000,114068000,96653000,110689000,155603000,237247000,302519000
62,Preferred Stock,- -,80957000,103622000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,2000,2000,2000,2000,3000,4000,4000,- -
64,Retained Earnings,- -,-69451000,-93760000,-126832000,-176870000,-222451000,-269540000,-313102000,-391256000,-431952000,-542030000,-649753000
65,Other Comprehensive Income/Loss,- -,-5074000,-6968000,-8742000,-10281000,-12435000,-14816000,-17248000,-16930000,-18251000,83,-318000
66,Other Total Stockholders Equity,- -,86031000,110590000,167042000,231962000,255099000,296659000,370457000,445052000,554350000,848973917,- -
67,Total Stockholders Equity,- -,11506000,9862000,31469000,44813000,20215000,12305000,40109000,36869000,104151000,306948000,176962000
68,Total Liabilities And Stockholders Equity,- -,24584000,37406000,64372000,102748000,92869000,126373000,136762000,147558000,259754000,544195000,479481000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,24584000,37406000,64372000,102748000,92869000,126373000,136762000,147558000,259754000,544195000,479481000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1401708/000119312514118770/0001193125-14-118770-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000119312515091371/0001193125-15-091371-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000119312516501709/0001193125-16-501709-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170817000015/0001401708-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170818000058/0001401708-18-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170819000055/0001401708-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170820000039/0001401708-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170821000033/0001401708-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170822000051/0001401708-22-000051-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-12768000,-10932000,-17708000,-29281000,-50038000,-45581000,-47089000,-43562000,-77400000,-40696000,-110078000,-115254000
74,Depreciation and Amortization,972000,1454000,1947000,1777000,1539000,2377000,2977000,3354000,4070000,4919000,5738000,5871000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,144000,243000,745000,1145000,4926000,6278000,9038000,11369000,11475000,17458000,19374000,30173000
77,Change in Working Capital,585000,12803000,7701000,22169000,34433000,-14657000,15520000,8600000,2590000,79029000,294260000,-16498000
78,Accounts Receivable,62000,-965000,-210000,-5009000,-4109000,-7328000,-2476000,2277000,1807000,-9805000,-3949000,-9526000
79,Inventory,-233000,-1338000,-1884000,-1370000,-1252000,-5354000,-5035000,-8742000,5251000,-8475000,-4909000,- -
80,Accounts Payable,1008000,-1231000,103000,1601000,21000,-166000,869000,-110000,4640000,-599000,-3170000,- -
81,Other Working Capital,-567000,12236000,19937000,42106000,76539000,61882000,77402000,86002000,88592000,167621000,461881000,5480000
82,Other Non-Cash Items,102000,-14260000,-7493000,-27156000,-28921000,8221000,13475000,-31418000,5200000,-150131000,-290956000,95708000
83,Cash Provided by Operating Activities,-10965000,-10692000,-14808000,-31346000,-38061000,-43362000,-6079000,-51657000,-54065000,-89421000,-81662000,- -
84,CAPEX,-1932000,-2688000,-428000,-759000,-1900000,-3796000,-3991000,-4284000,-4485000,-7885000,-7457000,-8647000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-32175000,-62911000,-32750000,-65774000,-81405000,-77650000,-147744000,-38804000,-260239000
87,Sales/Maturities of Investments,- -,- -,- -,- -,40477000,60309000,39500000,83199000,59210000,100470000,137502000,48664000
88,Other Investing Activites,- -,-112000,- -,-21000,59000,6000,4000,- -,- -,- -,- -,-8647000
89,Cash Used for Investing Activites,-1932000,-2800000,-428000,-32955000,-24275000,23769000,-30261000,-2490000,-22925000,-15159000,91241000,-220222000
90,Debt Repayment,-681000,-4899000,-1706000,-211000,-18214000,-271000,-226000,-58000,-45000000,- -,-80135000,-236000
91,Common Stock Issued,- -,- -,- -,47374000,57015000,12518000,26223000,56486000,53829000,68273000,215765000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16205000,24893000,27766000,5387000,30765000,12021000,9096000,3240000,66252000,40993000,237418000,6294000
95,Cash Used/Provided by Financing Activities,15524000,19994000,26060000,52550000,69566000,24268000,35093000,59668000,75081000,109266000,373048000,6058000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,52000,-42000,-26000,32000,-14000,-9000,188000,- -
97,Net Change In Cash,2627000,6502000,10824000,-11751000,7282000,4633000,-1273000,5553000,-1923000,4677000,382815000,6058000
98,Cash at the End of Period,4366000,10868000,21692000,9941000,17223000,21856000,20583000,26136000,24356000,29033000,411848000,107068000
99,Cash at the Beginning of Period,1739000,4366000,10868000,21692000,9941000,17223000,21856000,20583000,26279000,24356000,29033000,- -
100,Free Cash Flow,-12897000,-13380000,-15236000,-32105000,-39961000,-47158000,-10070000,-55941000,-58550000,-97306000,-89119000,-99196000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401708/000119312514118770/0001193125-14-118770-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000119312515091371/0001193125-15-091371-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000119312516501709/0001193125-16-501709-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170817000015/0001401708-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170818000058/0001401708-18-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170819000055/0001401708-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170820000039/0001401708-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170821000033/0001401708-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1401708/000140170822000051/0001401708-22-000051-index.htm
102,false,,,,,,,,,,,,
