,https://roic.ai/company/RDUS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,22112000,99239000,173317000,238645000,229973000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,1332000,8426000,16085000,17201000,19150000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,20780000,90813000,157232000,221444000,210823000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9398,0.9151,0.9072,0.9279,0.9167
5,Research and Development Exp.,- -,- -,- -,36179000,54961000,60536000,45719000,68280000,107406000,83076000,99911000,116757000,159712000,134626000
6,General and Administrative Exp.,- -,31993,46782,5330000,9469000,6829000,13674000,30797000,77542000,186677000,184164000,152704000,144154000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,31993,46782,5330000,9469000,6829000,13674000,30797000,77542000,186677000,184164000,152704000,144154000,130514000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10801000,- -,- -,- -
10,Operating Expenses,- -,31993,46782,41509000,64430000,67365000,59393000,99077000,184948000,269753000,294876000,269461000,303866000,265140000
11,COGS and Expenses,- -,31993,46782,41509000,64430000,67365000,59393000,99077000,184948000,271085000,303302000,285546000,321067000,284290000
12,Interest Income ,- -,- -,- -,27000,64000,30000,94000,1043000,2437000,3226000,5622000,3929000,1403000,75000
13,Interest Expense (Gain),- -,- -,- -,758000,2667000,2440000,2467000,1885000,- -,8298000,22450000,24363000,26553000,18255000
14,Depreciation and Amortization,- -,- -,- -,40000,44000,27000,77000,176000,586000,1951000,2867000,2308000,1693000,1160000
15,EBITDA,- -,-31993,-46782,-41469000,-64386000,-67338000,-59316000,-98901000,-184362000,-243988000,-196020000,-106322000,-80962000,-50761000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.0342,-1.9752,-0.6135,-0.3393,-0.2207
17,Operating Income,- -,-31993,-46782,-41509000,-64430000,-67365000,-59393000,-99077000,-184948000,-248973000,-204063000,-112229000,-82422000,-54317000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.2596,-2.0563,-0.6475,-0.3454,-0.2362
19,Total Other Income Expenses (Gains),- -,- -,- -,-236000,-4698000,6675000,-3086000,-2449000,2144000,-5264000,-17274000,-20764000,-26786000,-15859000
20,Income Before Tax,- -,- -,-46782,- -,-69128000,-60690000,-62479000,-101526000,-182804000,-254237000,-221337000,-132993000,-109208000,-70176000
21,Income Before Tax Ratio,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.4977,-2.2303,-0.7673,-0.4576,-0.3051
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-31993,-46782,-42476000,-69128000,-60690000,-62479000,-101526000,-182804000,-254237000,-221337000,-132993000,-109208000,-70176000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.4977,-2.2303,-0.7673,-0.4576,-0.3051
25,EPS,- -,-0.01,-0.02,1.02,-8.55,-7.94,-4.04,-2.56,-4.24,-5.80,-4.88,-2.89,-2.35,-1.48
26,EPS Diluted,- -,-0.01,-0.02,0.14,-8.55,-7.94,-4.04,-2.56,-4.24,-5.80,-4.88,-2.89,-2.35,-1.48
27,Weighted Average Shares Outstanding,2500000,2500000,2500000,249972,9722696,7638799,17699487,39643099,43067952,43804660,45356263,46026217,46459366,47288212
28,Weighted Average Shares Outstanding Diluted,2500000,2500000,2500000,1727138,9722696,7638799,17699487,39643099,43067952,43804660,45356263,46026217,46459366,47288212
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1428522/000114420409016054/0001144204-09-016054-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000114420410016515/0001144204-10-016515-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000110465911016437/0001104659-11-016437-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746912000647/0001047469-12-000647-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746913002863/0001047469-13-002863-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746914001400/0001047469-14-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746915001917/0001047469-15-001917-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746916010440/0001047469-16-010440-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828017001727/0001628280-17-001727-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828018002666/0001628280-18-002666-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828019002275/0001628280-19-002275-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828020002354/0001628280-20-002354-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828021003172/0001628280-21-003172-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828022003660/0001628280-22-003660-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,100,100,25128000,18653000,12303000,28518000,159678000,258567000,118564000,59321000,69886000,91436000,111533000
32,Short-Term Investments,- -,- -,- -,31580000,4000000,- -,76758000,313661000,73880000,134714000,177140000,91015000,23280000,- -
33,Cash and Short-Term Investments,100000,100,100,56708000,22653000,12303000,105276000,473339000,332447000,253278000,236461000,160901000,114716000,111533000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,4441000,16758000,23289000,20310000,23355000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4366000,6210000,5323000,9174000,11373000
36,Other Current Assets,- -,- -,- -,6682000,2463000,334000,2057000,6969000,2362000,7421000,15604000,13544000,36348000,26818000
37,Total Current Assets,100000,100,100,63390000,25116000,12637000,107333000,480308000,334809000,269506000,275033000,203057000,180548000,173079000
38,PP&E,- -,- -,- -,167000,139000,76000,842000,1897000,4922000,6195000,4003000,8997000,796000,1482000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8180000,7382000,6583000,5785000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8180000,7382000,6583000,5785000,4986000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,176978000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,80000,45000,45000,242000,260000,551000,799000,544000,514000,4453000,1995000
45,Total Non-Current Assets,- -,- -,- -,247000,184000,121000,1084000,2157000,5473000,192152000,11929000,16094000,11034000,8463000
46,Other Assets,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
