,https://roic.ai/company/GWH,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,- -
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,12896000,30104000
6,General and Administrative Exp.,3338000,27307000
7,Selling and Marketing Exp.,1158000,3485000
8,"Selling, General and Administrative Exp.",4496000,30792000
9,Other Expenses,- -,- -
10,Operating Expenses,17392000,60896000
11,COGS and Expenses,17392000,60896000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),132000,1886000
14,Depreciation and Amortization,436000,572000
15,EBITDA,-17023000,-59970000
16,EBITDA ratio,-Infinity,-Infinity
17,Operating Income,-17392000,-60602000
18,Operating Income ratio,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-13027000,-416809000
20,Income Before Tax,-30419000,-477411000
21,Income Before Tax Ratio,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -
23,Net Income,-30419000,-477411000
24,Net Income ratio,-Infinity,-Infinity
25,EPS,-0.23,-3.53
26,EPS Diluted,-0.23,-3.53
27,Weighted Average Shares Outstanding,135058074,135058074
28,Weighted Average Shares Outstanding Diluted,135058074,135058074
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1819438/000119312521347027/0001193125-21-347027-index.htm,https://www.sec.gov/Archives/edgar/data/1819438/000162828022005026/0001628280-22-005026-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,4901000,238940000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,4901000,238940000
34,Net Receivables,- -,- -
35,Inventory,- -,- -
36,Other Current Assets,1960000,6578000
37,Total Current Assets,6861000,245518000
38,PP&E,1836000,4501000
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,326000,180000
45,Total Non-Current Assets,2162000,4681000
46,Other Assets,- -,- -
47,Total Assets,9023000,250199000
48,Accounts Payable,522000,1572000
49,Short-Term Debt,5678000,1900000
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,3663000
52,Other Current Liabilities,2194000,6781000
53,Total Current Liabilities,8394000,13916000
54,Long-Term Debt,19000,1869000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,28498000,29549000
58,Total Non-Current Liabilities,28517000,31418000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,36911000,45334000
62,Preferred Stock,- -,- -
63,Common Stock,6000,16000
64,Retained Earnings,-63493000,-540904000
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,35599000,745753000
67,Total Stockholders Equity,-27888000,204865000
68,Total Liabilities And Stockholders Equity,9023000,250199000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,9023000,250199000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1819438/000119312521347027/0001193125-21-347027-index.htm,https://www.sec.gov/Archives/edgar/data/1819438/000162828022005026/0001628280-22-005026-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-30419000,-477411000
74,Depreciation and Amortization,436000,572000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,310000,7922000
77,Change in Working Capital,47000,- -
78,Accounts Receivable,- -,- -
79,Inventory,- -,- -
80,Accounts Payable,-221000,886000
81,Other Working Capital,- -,231896000
82,Other Non-Cash Items,12981000,417068000
83,Cash Provided by Operating Activities,-16645000,-51849000
84,CAPEX,-502000,-2767000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,- -
89,Cash Used for Investing Activites,-502000,-2767000
90,Debt Repayment,-221000,- -
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,4943000,258730000
95,Cash Used/Provided by Financing Activities,4722000,258730000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,-12425000,233838000
98,Cash at the End of Period,6394000,240232000
99,Cash at the Beginning of Period,18819000,6394000
100,Free Cash Flow,-17147000,-54616000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1819438/000119312521347027/0001193125-21-347027-index.htm,https://www.sec.gov/Archives/edgar/data/1819438/000162828022005026/0001628280-22-005026-index.htm
102,false,,
