,https://roic.ai/company/HLI,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,592450000,680872000,693765000,872091000,963364000,1084385000,1159368000,1525452000
2,COGS,414918000,475100000,461609000,582244000,636631000,- -,737762000,971195000
3,Gross Profit,177532000,205772000,232156000,289847000,326733000,- -,421606000,554257000
4,Gross Profit Ratio,0.2997,0.3022,0.3346,0.3324,0.3392,- -,0.3637,0.3633
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,53169000,56194000,84118000,79502000,710117000,795119000,135246000,102087000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",53169000,56194000,84118000,79502000,710117000,795119000,135246000,102087000
9,Other Expenses,21515000,18897000,21638000,28350000,-597830000,69881000,56759000,44013000
10,Operating Expenses,74684000,75091000,105756000,107852000,112287000,865000000,192005000,146100000
11,COGS and Expenses,489602000,550191000,567365000,690096000,748918000,- -,929767000,1117295000
12,Interest Income ,- -,4214000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,6040000,5508000,7499000,8853000,7905000,14475000,17291000,15228000
15,EBITDA,111258000,137585000,133103000,187340000,225741000,238795000,252938000,424456000
16,EBITDA ratio,0.1878,0.2021,0.1919,0.2148,0.2343,0.2202,0.2182,0.2782
17,Operating Income,102848000,128654000,126400000,181995000,214446000,- -,229601000,408157000
18,Operating Income ratio,0.1736,0.1890,0.1822,0.2087,0.2226,- -,0.1980,0.2676
19,Total Other Income Expenses (Gains),2478000,3481000,-770000,-3508000,3390000,- -,6046000,1071000
20,Income Before Tax,105326000,132135000,125630000,178487000,217836000,224320000,235647000,409228000
21,Income Before Tax Ratio,0.1778,0.1941,0.1811,0.2047,0.2261,0.2069,0.2033,0.2683
22,Income Tax expense (Gain),43898000,52196000,55863000,70144000,45553000,65214000,51854000,96457000
23,Net Income,61320000,79881000,69741000,108343000,172283000,159106000,183793000,312771000
24,Net Income ratio,0.1035,0.1173,0.1005,0.1242,0.1788,0.1467,0.1585,0.2050
25,EPS,1.01,1.32,1.18,1.77,2.76,2.56,2.96,4.75
26,EPS Diluted,1.01,1.32,1.10,1.63,2.60,2.42,2.80,4.55
27,Weighted Average Shares Outstanding,60462053,60354118,59044981,61100497,62494275,62213414,62152870,65785042
28,Weighted Average Shares Outstanding Diluted,60462053,60354118,63475903,66579130,66324093,65846132,65725516,68671248
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1302215/000130221516000050/0001302215-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221517000027/0001302215-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221518000015/0001302215-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221519000044/0001302215-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221520000074/0001302215-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1302215/000130221521000027/0001302215-21-000027-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,109420000,88662000,166169000,300314000,206723000,285746000,380373000,846851000
32,Short-Term Investments,- -,- -,- -,- -,209319000,- -,105302000,- -
33,Cash and Short-Term Investments,109420000,88662000,166169000,300314000,416042000,285746000,485675000,846851000
34,Net Receivables,260407000,427956000,144012000,129313000,209112000,222182000,125015000,226524000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,192372000,-193078000,89492000,373000,373000
37,Total Current Assets,369827000,516618000,310181000,621999000,432076000,597420000,611063000,1073748000
38,PP&E,15967000,16489000,21701000,30416000,32146000,31034000,177612000,198401000
39,Goodwill,445532000,455550000,518679000,519487000,528889000,594812000,618455000,- -
40,Intangible Assets,197190000,197256000,198689000,195856000,194421000,199792000,194389000,- -
