,https://roic.ai/company/TRU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1140000000,1183200000,1304700000,1506800000,1704900000,1933800000,2317200000,2656100000,2716000000,2960200000
2,COGS,470200000,473900000,499100000,531600000,579100000,645700000,790100000,874100000,920000000,991600000
3,Gross Profit,669800000,709300000,805600000,975200000,1125800000,1288100000,1527100000,1782000000,1796000000,1968600000
4,Gross Profit Ratio,0.5875,0.5995,0.6175,0.6472,0.6603,0.6661,0.6590,0.6709,0.6613,0.6650
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,383700000,353300000,436000000,499700000,560100000,585400000,707700000,812100000,860000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",383700000,353300000,436000000,499700000,560100000,585400000,707700000,812100000,860000000,943900000
9,Other Expenses,144200000,186800000,241200000,278400000,265200000,238000000,306900000,362100000,1288000000,377000000
10,Operating Expenses,527900000,540100000,677200000,778100000,825300000,823400000,1014600000,1174200000,2148000000,1320900000
11,COGS and Expenses,998100000,1014000000,1176300000,1309700000,1404400000,1469100000,1804700000,2048300000,3068000000,2312500000
12,Interest Income ,- -,1700000,3300000,3800000,4600000,5500000,5500000,7500000,5600000,3400000
13,Interest Expense (Gain),125000000,197600000,190000000,134200000,85500000,87600000,137500000,173600000,126000000,112600000
14,Depreciation and Amortization,144200000,186800000,241200000,278400000,265200000,238000000,306900000,362100000,367900000,377000000
15,EBITDA,263900000,351600000,421300000,429800000,545300000,687700000,775500000,966500000,748900000,2007600000
16,EBITDA ratio,0.2315,0.2972,0.3229,0.2852,0.3198,0.3556,0.3347,0.3639,0.2757,0.6782
17,Operating Income,141900000,169200000,128400000,197100000,300500000,464700000,512500000,607800000,567900000,647700000
18,Operating Income ratio,0.1245,0.1430,0.0984,0.1308,0.1763,0.2403,0.2212,0.2288,0.2091,0.2188
19,Total Other Income Expenses (Gains),-133600000,-195100000,-130200000,-170500000,-95100000,-92200000,-169000000,-167300000,-112900000,-146300000
20,Income Before Tax,8300000,-25900000,-1800000,26600000,205400000,372500000,343500000,440500000,455000000,501400000
21,Income Before Tax Ratio,0.0073,-0.0219,-0.0014,0.0177,0.1205,0.1926,0.1482,0.1658,0.1675,0.1694
22,Income Tax expense (Gain),6600000,2300000,2600000,11300000,74000000,-79100000,54500000,83900000,-100000000,130900000
23,Net Income,-11900000,-35100000,-12500000,5900000,120600000,441200000,276600000,346900000,355000000,1387100000
24,Net Income ratio,-0.0104,-0.0297,-0.0096,0.0039,0.0707,0.2282,0.1194,0.1306,0.1307,0.4686
25,EPS,-0.06,-0.24,-0.08,0.04,0.66,2.42,1.50,1.85,1.81,7.30
26,EPS Diluted,-0.06,-0.24,-0.08,0.04,0.65,2.32,1.45,1.81,1.79,7.22
27,Weighted Average Shares Outstanding,191899993,147900000,147900000,165300000,182600000,182400000,184600000,187800000,189900000,189900000
28,Weighted Average Shares Outstanding Diluted,191899993,147900000,147900000,166800000,184600000,189900000,190900000,191800000,192200000,192200000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1552033/000119312513074352/0001193125-13-074352-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203314000018/0001552033-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203315000013/0001552033-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203316000079/0001552033-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203317000014/0001552033-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203318000018/0001552033-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203319000010/0001552033-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203320000014/0001552033-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203321000008/0001552033-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203322000008/0001552033-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,154300000,111200000,77900000,133200000,182200000,115800000,187400000,274100000,493000000,1842400000
32,Short-Term Investments,11000000,- -,11800000,15400000,32800000,21600000,26500000,33600000,3200000,3100000
33,Cash and Short-Term Investments,165300000,111200000,89700000,148600000,215000000,137400000,213900000,307700000,496200000,1845500000
34,Net Receivables,163600000,171800000,203200000,228400000,283300000,366900000,477600000,479500000,474100000,563200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,47700000,66700000,108100000,50500000,51700000,84400000,150000000,101000000,135900000,223300000
37,Total Current Assets,376600000,349700000,401000000,427500000,550000000,588700000,841500000,888200000,1106200000,2632000000
38,PP&E,121200000,150400000,181400000,183000000,197500000,198600000,220300000,290200000,288800000,392800000
39,Goodwill,1804200000,1909700000,2023900000,1983400000,2173900000,2368800000,3293600000,3377800000,3461500000,5525700000
40,Intangible Assets,1911600000,1934000000,1939600000,1770100000,1762300000,1825800000,2548100000,2391900000,2284600000,3770600000
41,Intangible Assets,3715800000,3843700000,3963500000,3753500000,3936200000,4194600000,5841700000,5769700000,5746100000,9296300000
42,Investments,11400000,102300000,82500000,74700000,84500000,105400000,106700000,133900000,138800000,240500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,95700000,46200000,37400000,8000000,13000000,31200000,29600000,31200000,31700000,73400000
45,Total Non-Current Assets,3944100000,4142600000,4264800000,4019200000,4231200000,4529800000,6198300000,6225000000,6205400000,10003000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4320700000,4492300000,4665800000,4446700000,4781200000,5118500000,7039800000,7113200000,7311600000,12635000000
