,https://roic.ai/company/FRO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,25000000,29200000,182300000,259700000,270400000,369900000,697300000,735600000,551600000,1173800000,1855700000,1513800000,1583900000,1299900000,2104000000,1133300000,1165200000,810100000,668100000,517200000,241826000,458934000,754306000,646326000,742266000,957322000,1221187000,749381000
2,COGS,- -,- -,8600000,9900000,147700000,110600000,122100000,209400000,185800000,209700000,244400000,441200000,492000000,485900000,596000000,548700000,806000000,425800000,478400000,482800000,459400000,401900000,153315000,174063000,281156000,395062000,508395000,552489000,684488000,718773000
3,Gross Profit,- -,- -,16400000,19300000,34600000,149100000,148300000,160500000,511500000,525900000,307200000,732600000,1363700000,1027900000,987900000,751200000,1298000000,707500000,686800000,327300000,208700000,115300000,88511000,284871000,473150000,251264000,233871000,404833000,536699000,30608000
4,Gross Profit Ratio,- -,- -,0.6560,0.6610,0.1898,0.5741,0.5484,0.4339,0.7335,0.7149,0.5569,0.6241,0.7349,0.6790,0.6237,0.5779,0.6169,0.6243,0.5894,0.4040,0.3124,0.2229,0.3660,0.6207,0.6273,0.3888,0.3151,0.4229,0.4395,0.0408
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,3600000,- -,- -,36900000,22600000,43500000,43700000,55000000,- -,- -,- -,32761393,57065278,56868103,220170702,169502861,197000000,- -,88518000,31628000,77687000,10582000,37026000,37603000,37294000,45019000,58806000,27891000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,3600000,3600000,- -,4100000,7757000,11783000,9326000,13176000,12806000,17889000,25754000,21181000,32214000,36410000,35226000,63665000,197000000,36368000,88518000,31628000,77687000,10582000,37026000,37603000,37294000,45019000,58806000,27891000
9,Other Expenses,- -,- -,5500000,6500000,27100000,9500000,70475000,124427000,122806000,163310000,169920000,669118000,712580000,695993000,824725000,862494000,334481000,406816000,212851000,195597000,-18922000,-23558000,-40382000,- -,4000000,- -,- -,-628000,211000,-5893000
10,Operating Expenses,- -,- -,9100000,10100000,27100000,13600000,78232000,136210000,132132000,176486000,182726000,687007000,738334000,717174000,856939000,898904000,369707000,470481000,409851000,231965000,69596000,8070000,37305000,10582000,41026000,37603000,37294000,44391000,59017000,21998000
11,COGS and Expenses,- -,- -,17700000,20000000,174800000,204200000,198000000,382100000,321200000,350900000,455900000,681400000,718800000,640000000,751500000,658600000,1253800000,893200000,857300000,1209700000,673100000,617600000,121114000,182223000,584058000,842597000,659555000,717800000,743505000,740771000
12,Interest Income ,- -,- -,- -,- -,- -,- -,2998000,- -,6858000,12953000,13042000,9185000,31595000,40867447,47611988,54316316,41204000,22969000,13432000,3958000,130000,83000,47000,47000,367000,588000,843000,1506000,705000,119000
13,Interest Expense (Gain),- -,- -,3400000,2900000,-22200000,- -,59320000,- -,96174000,91800000,71311000,75097000,205641000,206057534,200395994,204534438,183925000,160988000,149918000,141497000,94962000,90718000,75825000,17621000,56687000,69815000,93275000,94461000,72160000,61435000
14,Depreciation and Amortization,- -,- -,-5500000,-6500000,- -,-9500000,54680000,91435000,92880000,121725000,139855000,146907000,183711000,198875000,203849000,221246000,224069000,238595000,214287000,202519000,115388000,100365000,82098000,54524000,143070000,143661000,125038000,122496000,144394000,152981000
15,EBITDA,- -,- -,2100000,4800000,-36700000,7900000,141000000,4535000,502954000,564325000,202266000,631404000,1412952000,1011732534,920444994,996580438,1107094000,502683000,525805000,-185084000,127950000,2883000,307392000,226919000,317112000,-51095000,209749000,357236000,629415000,207901000
16,EBITDA ratio,- -,- -,0.0840,0.1644,-0.2013,0.0304,0.5214,0.0123,0.7213,0.7672,0.3667,0.5379,0.7614,0.6683,0.5811,0.7667,0.5262,0.4436,0.4513,-0.2285,0.1915,0.0056,1.2711,0.4944,0.4204,-0.0791,0.2826,0.3732,0.5154,0.2774
17,Operating Income,- -,- -,- -,- -,7500000,- -,125628000,117004000,467812000,470859000,233795000,486776000,1136906000,872740000,822579000,519191000,850480000,240110000,307912000,-420567000,7237000,-100434000,-48600000,287218000,177481000,-196271000,82711000,239522000,507795000,12216000
