,https://roic.ai/company/NLST,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2660000,13994000,100375000,143659000,79856000,151448000,100100000,- -,67000000,18500000,60729000,36900000,23000000,19200000,- -,19655000,38322000,33529000,26103000,- -,47234000
2,COGS,- -,12147000,- -,133503000,73892000,129181000,91300000,- -,59500000,15500000,40468000,27500000,19900000,15200000,- -,12259000,35866000,31228000,23533000,- -,40503000
3,Gross Profit,- -,1847000,- -,10156000,5964000,22267000,8800000,- -,7500000,3000000,20261000,9400000,3100000,4000000,- -,7396000,2456000,2301000,2570000,- -,6731000
4,Gross Profit Ratio,- -,0.1320,- -,0.0707,0.0747,0.1470,0.0879,- -,0.1119,0.1622,0.3336,0.2547,0.1348,0.2083,- -,0.3763,0.0641,0.0686,0.0985,- -,0.1425
5,Research and Development Exp.,- -,491000,- -,3770000,2961000,3315000,4700000,- -,6900000,8100000,14924000,12800000,6700000,4800000,- -,6287000,5231000,2899000,2383000,- -,2953000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,15900000,- -,12900000,8300000,10705000,10100000,6300000,12900000,- -,12143000,10079000,15774000,11677000,- -,8247000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1652000,- -,6314000,5062000,9191000,15900000,- -,12929000,8303000,10705000,10075000,6267000,12934000,- -,12143000,10079000,15774000,11677000,- -,10615000
9,Other Expenses,- -,- -,- -,- -,- -,- -,0,- -,-29000,-3000,- -,25000,33000,66000,- -,- -,0,0,0,- -,- -
10,Operating Expenses,- -,2143000,- -,10084000,8023000,12506000,20600000,- -,19800000,16400000,25629000,22900000,13000000,17800000,- -,18430000,15310000,18673000,14060000,- -,13568000
11,COGS and Expenses,- -,14290000,- -,143587000,81915000,141687000,111909000,- -,118000,172000,66097000,50394000,32893000,33000000,- -,30689000,51176000,49901000,37593000,- -,54071000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,2600000,159000,- -,- -,- -,- -,- -,16000,17000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1221000,1825000,- -,- -,2127000,80000,228000,338000,932000,1574000,- -,594000,581000,739000,945000,- -,531000
14,Depreciation and Amortization,- -,- -,- -,867000,1031000,904000,1392000,- -,2399000,2267000,2242000,1987000,1476000,882000,- -,287000,280000,254000,172000,- -,147000
15,EBITDA,-959000,-632000,-15905000,-447000,-1007000,10641000,-10033000,- -,-10669000,-10555000,-3182000,-11687000,-8383000,-12942000,- -,-10345000,-12553000,-16129000,-11322000,- -,-6589000
16,EBITDA ratio,-0.3605,-0.0452,-0.1585,-0.0031,-0.0126,0.0703,-0.1002,- -,-0.1592,-0.5705,-0.0524,-0.3167,-0.3645,-0.6741,- -,-0.5263,-0.3276,-0.4810,-0.4337,- -,-0.1395
17,Operating Income,-1437000,-296000,100375000,72000,-2059000,9761000,-11849000,- -,-12249000,-13429000,-5368000,-13521000,-9845000,-13805000,- -,-11034000,-12854000,-16372000,-11490000,- -,-6837000
18,Operating Income ratio,-0.5402,-0.0212,1.0000,0.0005,-0.0258,0.0645,-0.1184,- -,-0.1828,-0.7259,-0.0884,-0.3664,-0.4280,-0.7190,- -,-0.5614,-0.3354,-0.4883,-0.4402,- -,-0.1447
