,https://roic.ai/company/IDN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,100000,342979,885908,1138587,1235611,1119349,2383532,3161854,3511908,9954686,12414579,12291551,12484331,8803217,7298537,6613056,7014665,3838963,3598296,4433454,7663658,10734509,16393000
2,COGS,- -,-100000,108597,479041,501429,1444032,750916,744615,1037341,1390941,2687752,4329349,4297158,4339772,3001997,2772984,2763432,3006359,769048,521835,386617,995791,1425802,3511000
3,Gross Profit,100000,200000,234382,406867,637158,-208421,368433,1638917,2124513,2120967,7266934,8085230,7994393,8144559,5801220,4525553,3849624,4008306,3069915,3076461,4046837,6667867,9308707,12882000
4,Gross Profit Ratio,1.0000,2.0000,0.6834,0.4593,0.5596,-0.1687,0.3291,0.6876,0.6719,0.6039,0.7300,0.6513,0.6504,0.6524,0.6590,0.6201,0.5821,0.5714,0.7997,0.8550,0.9128,0.8701,0.8672,0.7858
5,Research and Development Exp.,300000,500000,1042008,1214398,1180071,1226725,1176276,941530,997564,1088004,2330130,2710078,2979047,2608020,2239011,2056744,1823147,2594678,2405593,1916107,2904166,3656679,3674987,5480000
6,General and Administrative Exp.,- -,- -,2481349,3282924,4793058,3738362,6209118,4082194,4229793,3867814,4300953,3873348,5181005,3922024,4209385,3796735,4090642,5444034,6413933,5865278,5236170,5658958,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1574355,2018366,2380979,1896747,1613819,1096486,1374004,1449803,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1200000,1800000,2481349,3282924,4793058,3738362,6209118,4082194,4229793,3867814,5875308,5891714,7561984,5818771,5823204,4893221,5464646,6893837,6413933,5865278,5236170,5658958,5893371,11564000
9,Other Expenses,100000,100000,90115,- -,600000,363655,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1600000,2400000,3613472,4497322,6573129,5328742,7385394,5023724,5227357,4955818,8205438,8601792,10541031,8426791,8062215,6949965,7287793,9488515,8819526,7781385,8140336,9315637,9568358,17044000
11,COGS and Expenses,1600000,2300000,3722069,4976363,7074558,6772774,8136310,5768339,6264698,6346759,10893190,12931141,14838189,12766563,11064212,9722949,10051225,12494874,9588574,8303220,8526953,10311428,10994160,20555000
12,Interest Income ,- -,- -,261181,135860,53871,51437,94030,145848,222874,161633,60589,2443,87,40,909,156,939,149575,14930,59841,129923,99059,21948,- -
13,Interest Expense (Gain),100000,- -,14863,8336,4878,43487,- -,- -,- -,- -,- -,10000,24808,8667,- -,- -,- -,3317,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,100000,90115,326885,451580,793972,793972,196023,166516,38336,1414429,988055,1135743,1123509,1094173,1068408,1157709,1020679,434291,412351,245548,249895,179405,169000
15,EBITDA,-1300000,-2200000,-3027794,-3627710,-5093776,-5613484,-6128959,-3042936,-2713454,-2634882,-31647275,472540,-1412672,841317,-1165913,-1355848,-6486521,-4309955,-5300390,-5608154,-3718028,-2298816,737802,-3993000
16,EBITDA ratio,-13.0000,-22.0000,-8.8279,-4.0949,-4.4738,-4.5431,-5.4755,-1.2766,-0.8582,-0.7503,-3.1791,0.0381,-0.1149,0.0674,-0.1324,-0.1858,-0.9809,-0.6144,-1.3807,-1.5586,-0.8386,-0.3000,0.0687,-0.2436
17,Operating Income,-1500000,-2200000,-3379090,-4090455,-5935971,-5537163,-7016961,-3384807,-3102844,-2834851,-33110163,-516562,-2546638,-282232,-2260995,-2424412,-7645169,-5480209,-5749611,-6080346,-4093499,-2647770,-259651,-4162000
18,Operating Income ratio,-15.0000,-22.0000,-9.8522,-4.6172,-5.2135,-4.4813,-6.2688,-1.4201,-0.9813,-0.8072,-3.3261,-0.0416,-0.2072,-0.0226,-0.2568,-0.3322,-1.1561,-0.7813,-1.4977,-1.6898,-0.9233,-0.3455,-0.0242,-0.2539
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-263256,-1285385,- -,- -,- -,- -,-32183789,-1396,-1864,-8627,909,156,939,146258,14930,59841,129923,99059,818048,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-290859,-2260086,-2424256,-7644230,-5333951,-5734681,-6020505,-3963576,-2548711,558397,- -
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0233,-0.2567,-0.3322,-1.1559,-0.7604,-1.4938,-1.6732,-0.8940,-0.3326,0.0520,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1500000,-2300000,-3132772,-3962931,-5550234,-6450943,-6922931,-3238959,-2879970,-2673218,-33061704,-525515,-2573223,-290859,-2260086,-2424256,-7644230,-5333951,-5734681,-6020505,-3963576,-2548711,558397,- -
24,Net Income ratio,-15.0000,-23.0000,-9.1340,-4.4733,-4.8747,-5.2209,-6.1848,-1.3589,-0.9108,-0.7612,-3.3212,-0.0423,-0.2093,-0.0233,-0.2567,-0.3322,-1.1559,-0.7604,-1.4938,-1.6732,-0.8940,-0.3326,0.0520,- -
25,EPS,-2.88,-3.60,-3.76,-4.16,-5.12,-5.92,-6.32,-2.48,-1.92,-1.76,-11.76,-0.16,-0.80,-0.08,-0.64,-0.72,-1.59,-0.55,-0.58,-0.48,-0.26,-0.16,0.03,-0.22
26,EPS Diluted,-2.88,-3.60,-3.76,-4.16,-5.12,-5.92,-6.32,-2.48,-1.92,-1.76,-11.76,-0.16,-0.80,-0.08,-0.64,-0.72,-1.59,-0.55,-0.58,-0.48,-0.26,-0.16,0.03,-0.22
27,Weighted Average Shares Outstanding,520833,634975,831023,988864,1085707,1152232,1278091,1400175,1518233,1532869,2806704,3209126,3330737,3405944,3465533,3478587,4801059,9658346,9914809,12428652,15542480,15792470,17324150,18676965
28,Weighted Average Shares Outstanding Diluted,520833,634975,831023,988864,1085707,1152232,1278091,1400175,1518233,1532869,2806704,3209126,3330737,3405944,3465533,3478587,4801059,9658346,9914809,12428652,15542480,15792470,17957414,18676965
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1040896/000089109202000468/0000891092-02-000468-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000120180003000024/0001201800-03-000024-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420404003940/0001144204-04-003940-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420405009244/0001144204-05-009244-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040896/000114420407015835/0001144204-07-015835-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420408017895/0001144204-08-017895-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420409017316/0001144204-09-017316-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420410012706/0001144204-10-012706-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420411013517/0001144204-11-013517-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420412013798/0001144204-12-013798-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420413017846/0001144204-13-017846-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420414017636/0001144204-14-017636-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420415019080/0001144204-15-019080-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315216008290/0001493152-16-008290-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315217003045/0001493152-17-003045-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315218003779/0001493152-18-003779-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315219003707/0001493152-19-003707-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315220004295/0001493152-20-004295-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315221007101/0001493152-21-007101-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315222007684/0001493152-22-007684-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,6400000,4091689,4061235,1910579,3306991,1750485,528250,526917,392983,3400948,3008472,1488904,1394148,1685879,224386,2966350,5953257,3092172,8010161,4376017,3350853,13121392,13651000
32,Short-Term Investments,- -,- -,- -,- -,- -,5863698,2708796,5263308,3759133,1650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,6400000,4091689,4061235,1910579,9170689,4459281,5791558,4286050,2042983,3400948,3008472,1488904,1394148,1685879,224386,2966350,5953257,3092172,8010161,4376017,3350853,13121392,13651000
34,Net Receivables,- -,- -,44795,25536,93530,249166,454112,408542,591976,1076732,1392285,2213586,2905794,3058788,869747,1041519,792072,1158972,502126,652627,1019434,1674894,2119861,2192000
