,https://roic.ai/company/MLFB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,211250,894745,3236636,3845715,960424,55239,37541,160101,53916,25000,20000,89772,- -,- -,2100,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64610,- -,- -
3,Gross Profit,211250,894745,3236636,3845715,960424,55239,37541,160101,53916,25000,20000,- -,- -,- -,-62510,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,-29.7667,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,441923,476574,1503345,1015907,800583,811838,502749,2100695,742787,951466,3793816,5221131,4566270,309161,561654,551023,386186
7,Selling and Marketing Exp.,9297,400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",451220,476974,1503345,1015907,800583,811838,502749,2100695,742787,951466,3793816,5221131,4566270,309161,561654,551023,386186
9,Other Expenses,3236,510606,717749,113387,1210204,1900,1900,151520,- -,- -,- -,- -,66989,20000,- -,- -,- -
10,Operating Expenses,454456,987580,2221094,1129294,2010787,813738,504649,2252215,742787,951466,3793816,5221131,4633259,329161,561654,551023,386186
11,COGS and Expenses,454456,987580,2221094,1129294,2010787,813738,504649,2252215,742787,951466,3793816,5221131,4633259,329161,626264,551023,386186
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),197,3222,25659,61207,140149,46273,31554,51332,24677,13359,10620,1141451,618438,56521,185387,499121,179586
14,Depreciation and Amortization,1218,1899,1899,1899,1900,1900,1900,681,- -,- -,- -,297,148307,- -,- -,- -,- -
15,EBITDA,992078,-1467392,658070,2147430,-3526958,-1156210,-3291610,-2214167,-995976,-653877,-3700055,-5490519,-4484952,-276578,-560905,-579023,-389936
16,EBITDA ratio,4.6962,-1.6400,0.2033,0.5584,-3.6723,-20.9310,-87.6804,-13.8298,-18.4727,-26.1551,-185.0027,-61.1607,-Infinity,-Infinity,-267.0976,-Infinity,-Infinity
17,Operating Income,-524813,-92835,1015542,2716421,-1050363,-791622,-467108,-2143446,-688871,-926466,-3773816,-5131359,-4566270,-309161,-624164,-581023,-386186
18,Operating Income ratio,-2.4843,-0.1038,0.3138,0.7064,-1.0936,-14.3309,-12.4426,-13.3881,-12.7767,-37.0586,-188.6908,-57.1599,-Infinity,-Infinity,-297.2210,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),1887066,-3222,-25659,-34907,-27625,-412761,-2857956,-115734,-331782,259230,63141,-1500908,-509237,-44453,-122128,-929133,200805
20,Income Before Tax,- -,-96057,989883,2681514,-1077988,-1204383,-3325064,-2259180,-1020653,-667236,-3710675,-6632267,-5075507,-353614,-746292,-1510156,-185381
21,Income Before Tax Ratio,- -,-0.1074,0.3058,0.6973,-1.1224,-21.8031,-88.5715,-14.1110,-18.9304,-26.6894,-185.5337,-73.8790,-Infinity,-Infinity,-355.3771,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-585000,298000,838000,-949000,-953000,-940500,205000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,990663,-887513,332512,1246324,-2720007,-251383,-2384564,-2471180,-1020653,-667236,-3710675,-6632267,-5075507,-353614,-746292,-1510156,-185381
24,Net Income ratio,4.6895,-0.9919,0.1027,0.3241,-2.8321,-4.5508,-63.5189,-15.4351,-18.9304,-26.6894,-185.5337,-73.8790,-Infinity,-Infinity,-355.3771,-Infinity,-Infinity
25,EPS,1.00,-0.91,0.31,1.09,-2.12,-0.20,-1.90,-1.80,-0.30,-0.12,-0.14,-0.19,-0.11,-0.01,-0.01,-0.01,-0.00
26,EPS Diluted,1.00,-0.91,0.31,1.09,-2.12,-0.20,-1.90,-1.80,-0.30,-0.12,-0.14,-0.19,-0.11,-0.01,-0.01,-0.01,-0.00
27,Weighted Average Shares Outstanding,986930,970246,1087654,1146990,1282485,1282485,1272074,1367867,3470896,5578665,26763397,34831621,46881848,56690996,69545743,108033309,359329604
28,Weighted Average Shares Outstanding Diluted,986930,970246,1087654,1146990,1282485,1282485,1272074,1367867,3470896,5578665,26763397,34831621,46881848,56690996,69545743,108033309,359329604
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308569/000155335014000195/0001553350-14-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335014000920/0001553350-14-000920-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335016001583/0001553350-16-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335016002274/0001553350-16-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033418000797/0001640334-18-000797-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033418002246/0001640334-18-002246-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033419001485/0001640334-19-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033420002073/0001640334-20-002073-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033421001719/0001640334-21-001719-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,158453,84272,110739,20779,15431,6567,16566,9435,14853,1369,29583,3799,249,525,5417,3796,19778
32,Short-Term Investments,2782976,3331620,6011882,8002795,5310972,4179222,981217,- -,203339,20306,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2941429,3415892,6122621,8023574,5326403,4185789,997783,9435,218192,21675,29583,3799,249,525,5417,3796,19778
