,https://roic.ai/company/PRPH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,800000,70200000,36400000,24800000,19364186,24669667,29420646,41499163,43947995,53658043,42124969,39475381,20506612,19816000,14502000,17453000,22406000,25032000,22070000,20604000,21014000,9867000,13126000,9876000,14514000,79042000
2,COGS,- -,21300000,10700000,7700000,5884592,9615211,17208836,21487763,23573126,25824085,19246604,16827062,9093593,8247000,5672000,6171000,8154000,8361000,7891000,8426000,10948000,7919000,8345000,7261000,9908000,37054000
3,Gross Profit,800000,48900000,25700000,17100000,13479594,15054456,12211810,20011400,20374869,27833958,22878365,22648319,11413019,11569000,8830000,11282000,14252000,16671000,14179000,12178000,10066000,1948000,4781000,2615000,4606000,41988000
4,Gross Profit Ratio,1.0000,0.6966,0.7060,0.6895,0.6961,0.6102,0.4151,0.4822,0.4636,0.5187,0.5431,0.5737,0.5566,0.5838,0.6089,0.6464,0.6361,0.6660,0.6425,0.5911,0.4790,0.1974,0.3642,0.2648,0.3173,0.5312
5,Research and Development Exp.,- -,- -,- -,- -,1185750,1331639,2663291,3365698,3232569,3784221,3820071,6490367,4241724,1308000,794000,1088000,1301000,824000,1322000,1078000,575000,431000,398000,332000,633000,520000
6,General and Administrative Exp.,1500000,13500000,15800000,23900000,18228880,14148814,- -,- -,- -,- -,- -,- -,- -,9344000,6054000,5028000,6127000,5893000,8143000,6986000,5063000,4808000,4910000,4480000,6671000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4852000,5576000,7904000,8946000,9538000,8965000,7698000,7084000,699000,1107000,1042000,1287000,- -
8,"Selling, General and Administrative Exp.",1500000,13500000,15800000,23900000,18228880,14148814,- -,- -,- -,- -,- -,- -,- -,14196000,11630000,12932000,15073000,15431000,17108000,14684000,12147000,5507000,6017000,5522000,7958000,- -
9,Other Expenses,- -,100000,200000,200000,- -,- -,14832935,16010164,16958570,21070307,21449934,19394020,13901159,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31667000
10,Operating Expenses,1500000,13600000,16000000,24100000,19414630,15480453,17496226,19375862,20191139,24854528,25270005,25884387,18142883,15504000,12424000,14020000,16374000,16255000,18430000,15762000,12722000,5938000,6415000,5854000,8591000,32187000
