,https://roic.ai/company/CRGS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,11000,- -,- -,- -,- -,- -,- -,126000,121000,175000,- -,30000,60000,- -,50000,- -,26000,39000,37000,15000
2,COGS,-27000,- -,- -,- -,- -,- -,- -,120000,105000,90000,- -,17000,45000,- -,92000,- -,127000,161000,110000,13000
3,Gross Profit,38000,- -,- -,- -,- -,- -,- -,6000,16000,85000,- -,13000,15000,- -,-42000,- -,-101000,-122000,-73000,2000
4,Gross Profit Ratio,3.4545,- -,- -,- -,- -,- -,- -,0.0476,0.1322,0.4857,- -,0.4333,0.2500,- -,-0.8400,- -,-3.8846,-3.1282,-1.9730,0.1333
5,Research and Development Exp.,731000,1290000,1551000,1839000,2165000,2719000,1313000,710000,535000,520000,469000,751000,936000,1203000,1154000,1297000,786000,1469000,1262000,809000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2542000,1625000,1440000,1459000,2994000,2782000,2031000,1503000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,62000
8,"Selling, General and Administrative Exp.",1643000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2542000,1625000,1440000,1459000,2994000,2782000,2061000,1565000
9,Other Expenses,27000,2581000,- -,- -,- -,- -,- -,2653000,3165000,2877000,- -,- -,- -,- -,- -,- -,114000,- -,1839000,56000
10,Operating Expenses,2401000,3871000,- -,- -,- -,- -,- -,3363000,3700000,3397000,- -,3451000,3478000,2828000,2594000,2756000,3894000,4251000,5162000,2430000
11,COGS and Expenses,2374000,3871000,4863000,3340000,10097000,5718000,6664000,3483000,3805000,3487000,4940000,3468000,3523000,2828000,2686000,2756000,4021000,4412000,5272000,2443000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000,765000,1057000,1233000
14,Depreciation and Amortization,27000,182000,182000,172000,182000,885000,682000,47000,67000,62000,51000,61000,88000,127000,162000,127000,173000,180000,138000,132000
