,https://roic.ai/company/UTSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,187500000,368600000,626800000,981800000,1941200000,2579400000,2871100000,2458900000,2467000000,1640400000,386300000,291500000,320600000,186700000,164400000,129420000,117103000,86512000,98292000,115944000,65623000,24310000
2,COGS,110000000,240500000,402300000,636300000,1325300000,2009900000,2435300000,2073100000,2145500000,1379200000,321400000,221300000,206200000,118600000,124200000,107292000,89235000,58156000,65146000,83676000,41466000,20781000
3,Gross Profit,77500000,128100000,224500000,345500000,615900000,569500000,435800000,385800000,321500000,261200000,64900000,70200000,114400000,68100000,40200000,22128000,27868000,28356000,33146000,32268000,24157000,3529000
4,Gross Profit Ratio,0.4133,0.3475,0.3582,0.3519,0.3173,0.2208,0.1518,0.1569,0.1303,0.1592,0.1680,0.2408,0.3568,0.3648,0.2445,0.1710,0.2380,0.3278,0.3372,0.2783,0.3681,0.1452
5,Research and Development Exp.,17400000,34700000,57100000,84300000,155700000,219100000,246800000,182900000,168300000,143300000,63200000,38000000,30100000,28100000,14500000,11686000,11342000,8502000,9853000,12745000,14467000,8083000
6,General and Administrative Exp.,- -,54900000,78400000,112100000,188900000,303900000,371500000,334500000,319100000,257600000,140700000,95200000,63900000,52500000,37600000,24515000,21515000,18146000,16777000,15156000,15827000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,54900000,78400000,112100000,188900000,303900000,371500000,334500000,319100000,257600000,140700000,95200000,63900000,52500000,37600000,24515000,21515000,18146000,16777000,15156000,15827000,- -
9,Other Expenses,39500000,9401000,7600000,2440000,6150000,27299000,245071000,6505000,31622000,-3721000,-15000,-5258000,-3327000,504000,46000,- -,- -,- -,- -,- -,0,18689000
10,Operating Expenses,56900000,99001000,143100000,198840000,350750000,550299000,863371000,523905000,519022000,397179000,203885000,127942000,90673000,81104000,52146000,36201000,32857000,26648000,26630000,27901000,30294000,26772000
11,COGS and Expenses,166900000,334900000,550100000,835800000,1688900000,2562500000,3296400000,2597000000,2679000000,1821000000,610500000,364800000,299800000,219300000,187100000,147440000,138439000,90140000,93466000,111947000,71760000,47553000
12,Interest Income ,- -,12195000,8572000,5522000,3194000,6172000,7091000,14829000,14460000,7491000,2093000,2018000,2313000,2612000,511000,589000,1686000,871000,1177000,1749000,1337000,990000
