,https://roic.ai/company/HCCI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,38701000,48397000,59220928,73716986,89734460,- -,108143000,98398000,152858000,252491000,283136000,- -,339052000,347627000,365957000,410183000,444427000,- -,405951000
2,COGS,9224000,11710000,- -,18823102,25102261,- -,32208000,26040000,124000000,213568000,234638000,- -,290622000,267503000,276102000,323165000,349603000,- -,321648000
3,Gross Profit,29477000,36687000,- -,54893884,64632199,- -,75935000,72358000,28858000,38923000,48498000,- -,48430000,80124000,89855000,87018000,94824000,- -,84303000
4,Gross Profit Ratio,0.7617,0.7580,- -,0.7447,0.7203,- -,0.7022,0.7354,0.1888,0.1542,0.1713,- -,0.1428,0.2305,0.2455,0.2121,0.2134,- -,0.2077
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8995000,9344000,- -,49191783,59156025,- -,73717000,69077000,20715000,26194000,30274000,- -,45646000,49823000,47401000,47714000,50224000,- -,47091000
9,Other Expenses,21581000,25961000,- -,- -,-3000000,- -,- -,- -,5657000,8141000,9734000,- -,12443000,19407000,7027000,17763000,31739000,- -,19198000
10,Operating Expenses,30576000,35305000,- -,49191783,56156025,- -,73717000,69077000,26372000,34335000,40008000,- -,58089000,69230000,54428000,65477000,81963000,- -,66289000
11,COGS and Expenses,39800000,47015000,- -,68014885,81258286,- -,105925000,95117000,150372000,247903000,274646000,- -,348711000,336733000,330530000,388642000,431566000,- -,387937000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),806000,658000,- -,1415027,1408415,- -,408000,3000,37000,585000,417000,- -,689000,2069000,1094000,1052000,869000,- -,1252000
14,Depreciation and Amortization,- -,- -,- -,2353018,2873433,- -,3630000,4308000,5657000,8141000,9524000,- -,12877000,17991000,17967000,16157000,18249000,- -,24563000
15,EBITDA,-1099000,1382000,2034485,8055119,11349607,- -,5848000,7430000,8153000,12723000,17914000,- -,3075000,28713000,53107000,37388000,30724000,- -,42577000
16,EBITDA ratio,-0.0284,0.0286,0.0344,0.1093,0.1265,- -,0.0541,0.0755,0.0533,0.0504,0.0633,- -,0.0091,0.0826,0.1451,0.0911,0.0691,- -,0.1049
17,Operating Income,-1099000,1382000,59220928,5702101,8476174,- -,2218000,3281000,2496000,4582000,8490000,- -,-9659000,10894000,35427000,21541000,12861000,- -,18014000
18,Operating Income ratio,-0.0284,0.0286,1.0000,0.0774,0.0945,- -,0.0205,0.0333,0.0163,0.0181,0.0300,- -,-0.0285,0.0313,0.0968,0.0525,0.0289,- -,0.0444
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,3000000,- -,-408000,-162000,-37000,-585000,-417000,- -,-689000,-2069000,-1094000,-1052000,-869000,- -,-1252000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,1810000,3119000,2459000,3997000,8073000,- -,-10348000,8825000,34333000,20489000,11992000,- -,16762000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0167,0.0317,0.0161,0.0158,0.0285,- -,-0.0305,0.0254,0.0938,0.0500,0.0270,- -,0.0413
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,2618000,1326000,985000,1743000,3428000,- -,-3483000,2811000,5923000,5451000,3243000,- -,4825000
23,Net Income,-1905000,724000,2034485,4287074,7067759,- -,-808000,1793000,1474000,2254000,4545000,- -,-7008000,5842000,28123000,14728000,8363000,- -,11937000
24,Net Income ratio,-0.0492,0.0150,0.0344,0.0582,0.0788,- -,-0.0075,0.0182,0.0096,0.0089,0.0161,- -,-0.0207,0.0168,0.0768,0.0359,0.0188,- -,0.0294
25,EPS,-0.47,-0.22,-0.10,0.14,0.41,- -,-0.11,0.17,0.10,0.13,0.25,- -,-0.38,0.26,1.24,0.64,0.36,- -,0.51
26,EPS Diluted,-0.47,-0.22,-0.10,0.14,0.41,- -,-0.11,0.17,0.10,0.13,0.24,- -,-0.38,0.26,1.23,0.63,0.36,- -,0.51
27,Weighted Average Shares Outstanding,5064000,5774000,5882000,5897000,5897000,- -,9985000,10700000,14313000,16921000,18224000,- -,18604000,22258000,22662000,23026000,23160000,- -,23286000
28,Weighted Average Shares Outstanding Diluted,5064000,5774000,5882000,5897000,5897000,- -,9985000,10772000,14710000,17363000,18552000,- -,18604000,22516000,22922000,23334000,23398000,- -,23453000
29,SEC Link,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000117184309000281/0001171843-09-000281-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000117184310000358/0001171843-10-000358-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343112000003/0001403431-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343113000007/0001403431-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343114000009/0001403431-14-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000140343115000003/0001403431-15-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1403431/000140343118000018/0001403431-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343119000031/0001403431-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343120000021/0001403431-20-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000140343121000029/0001403431-21-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9000,402000,- -,271308,479364,- -,327000,1090000,2186000,47766000,22632000,- -,21555000,36610000,41889000,43579000,60694000,- -,67575000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9000,402000,- -,271308,479364,- -,327000,1090000,2186000,47766000,22632000,- -,21555000,36610000,41889000,43579000,60694000,- -,67575000
34,Net Receivables,- -,- -,- -,11502225,13446073,- -,15997000,12321000,18087000,23986000,31200000,- -,49857000,47533000,45491000,51744000,55586000,- -,48479000
35,Inventory,- -,- -,- -,8773389,10447373,- -,10609000,9845000,21260000,27231000,27307000,- -,30798000,18558000,21639000,33059000,29373000,- -,24978000
36,Other Current Assets,- -,- -,- -,897200,1207426,- -,2328000,2609000,2941000,3580000,4637000,- -,14325000,6094000,5895000,6835000,7104000,- -,10451000
37,Total Current Assets,- -,- -,- -,21444122,25580236,- -,29261000,25865000,44474000,102563000,85776000,- -,116535000,108795000,114914000,135217000,152757000,- -,151483000
38,PP&E,- -,- -,- -,13220572,19420294,- -,20878000,25101000,83098000,90192000,104474000,- -,159176000,154208000,151431000,163801000,268668000,- -,255069000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1761000,1801000,9654000,- -,19333000,31483000,31580000,34123000,32997000,- -,35541000
40,Intangible Assets,- -,- -,- -,1722416,1707395,- -,1877000,3021000,4469000,4555000,16054000,- -,24775000,19821000,16732000,14681000,16892000,- -,19576000
41,Intangible Assets,- -,- -,- -,1722416,1707395,- -,1877000,3021000,6230000,6356000,25708000,- -,44108000,51304000,48312000,48804000,49889000,- -,55117000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,18360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1275694,- -,- -,- -,254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,14942988,22403383,- -,22755000,28122000,107942000,96548000,130182000,- -,203284000,205512000,199743000,212605000,318557000,- -,310186000
46,Other Assets,18135000,22269000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18135000,22269000,- -,36387110,47983619,- -,52016000,53987000,152416000,199111000,215958000,- -,319819000,314307000,314657000,347822000,471314000,- -,461669000
48,Accounts Payable,- -,- -,- -,4870397,7257643,- -,5761000,4740000,21266000,16509000,18291000,- -,32466000,30984000,25568000,32630000,38058000,- -,29663000
49,Short-Term Debt,- -,- -,- -,3250000,- -,- -,- -,- -,1053000,1803000,2906000,- -,5259000,6936000,- -,- -,20407000,- -,19198000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,911000,1121000,1066000,1292000,- -,4080000,6729000,5787000,6120000,6538000,- -,10592000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,2252000,- -,1983000
52,Other Current Liabilities,- -,- -,- -,2349067,3712329,- -,4300000,4307000,6613000,6122000,8167000,- -,15302000,16286000,14863000,17233000,29727000,- -,22157000
53,Total Current Liabilities,- -,- -,- -,10469464,10969972,- -,10061000,9047000,28932000,24434000,29364000,- -,53027000,54206000,40431000,50029000,90444000,- -,73001000
