,https://roic.ai/company/CX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3588339663,3792258373,4315200000,4853471000,5623737000,6932769000,6538078000,7172683000,8147855000,15340000000,18249000000,21673000000,17679630707,15117777438,14455545104,13639053892,15348710399,15019294083,14256090078,13071519234,12110442891,13143126273,14086932895,13130000000,12970000000,14547734000
2,COGS,2175850238,2323865046,2102100000,2268264000,2653241000,3899565000,3652698000,4134827000,4585498000,9283000000,11649000000,14441000000,12083018319,10675022929,10404732557,9780496039,10805309528,10345497267,9689414180,8707069467,7813489459,8632077393,9309623005,8825000000,8791000000,9874366000
3,Gross Profit,1412489425,1468393327,2213100000,2585207000,2970496000,3033204000,2885380000,3037856000,3562357000,6057000000,6600000000,7232000000,5596612387,4442754509,4050812547,3858557853,4543400871,4673796816,4566675898,4364449767,4296953433,4511048880,4777309890,4305000000,4179000000,4673368000
4,Gross Profit Ratio,0.3936,0.3872,0.5129,0.5327,0.5282,0.4375,0.4413,0.4235,0.4372,0.3949,0.3617,0.3337,0.3166,0.2939,0.2802,0.2829,0.2960,0.3112,0.3203,0.3339,0.3548,0.3432,0.3391,0.3279,0.3222,0.3212
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,377100286,387683329,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15320000000,2186716600,2097943495,- -,1834108418,1853183812,1714819823,1600890806,1007944629,1073370672,1139095074,1112000000,1076000000,836790000
7,Selling and Marketing Exp.,180009527,184604565,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045398961,1073583314,- -,1369446846,1323450505,1346102676,1214608657,1586946868,1779276986,1949136329,1860000000,1760000000,1911206000
8,"Selling, General and Administrative Exp.",557109813,572287894,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15320000000,3232115561,3171526809,- -,3203555265,3176634317,3060922499,2815499463,2594891497,2852647658,3088231403,2972000000,2836000000,2747996000
9,Other Expenses,- -,- -,1035300000,1141123000,1315807000,1377613000,1575983000,1580957000,1711021000,3567000000,3655000000,4261000000,-11750430358,- -,- -,2992034362,- -,0,0,-0,0,0,0,- -,- -,191248000
10,Operating Expenses,557109813,572287894,1035300000,1141123000,1315807000,1377613000,1575983000,1580957000,1711021000,3567000000,3655000000,4261000000,3569569642,3232115561,3171526809,2992034362,3203555265,3176634317,3060922499,2815499463,2594891497,2852647658,3088231403,2972000000,2836000000,2939244000
11,COGS and Expenses,2732960051,2896152940,3137400000,3409387000,3969048000,5277178000,5228681000,5715784000,6296519000,12850000000,15304000000,18702000000,15652587962,13907138490,13576259366,12772530401,14008864792,13522131584,12750336678,11522568930,10408380956,11484725051,12397854408,11797000000,11627000000,12813610000
12,Interest Income ,689201000,- -,- -,- -,162881856,370950301,463075307,187331800,261047890,- -,496570000,862266830,42090724,29425252,35599598,35123507,48296760,32547011,21992702,18645308,20127037,17209776,18063106,21000000,20000000,22159000
13,Interest Expense (Gain),5604592000,- -,4801091400,- -,4502263091,3749939562,3452134935,4272308528,4148906718,5594105000,5332730000,8808219390,743166618,1032788138,1321969574,1194271062,1428259837,1530400367,1459663756,1145296750,1036180400,982739308,640960408,711000000,777000000,662239000
14,Depreciation and Amortization,- -,- -,392900000,435861000,489235000,793818000,764652000,825786000,857230000,1092000000,1192000000,1617000000,1516719977,1552506879,1498102436,1259561998,1338599238,1109899127,981322494,890342425,779355549,814256619,817673553,1045000000,1117000000,1127000000
15,EBITDA,6752243699,828040065,6043391400,1482303000,6149360091,5890215562,4791450935,5817306528,6496515718,9136105000,9388730000,13255219390,712634487,1885432589,1846394628,1550174899,2316297041,2285352847,2253641014,2236973762,2642288980,2598472505,2218505576,2061000000,479000000,2687095000
16,EBITDA ratio,1.8817,0.2184,1.4005,0.3054,1.0935,0.8496,0.7329,0.8110,0.7973,0.5956,0.5145,0.6116,0.0403,0.1247,0.1277,0.1137,0.1509,0.1522,0.1581,0.1711,0.2182,0.1977,0.1575,0.1570,0.0369,0.1847
17,Operating Income,855379613,896105433,1177800000,1444084000,1654689000,1655592000,1309397000,1456899000,1851336000,2490000000,2945000000,2971000000,2027042745,1210638948,879285737,866523491,896450188,1120799305,1157671380,1373499111,1622615646,1464154786,1392080320,986000000,-436000000,1618000000
18,Operating Income ratio,0.2384,0.2363,0.2729,0.2975,0.2942,0.2388,0.2003,0.2031,0.2272,0.1623,0.1614,0.1371,0.1147,0.0801,0.0608,0.0635,0.0584,0.0746,0.0812,0.1051,0.1340,0.1114,0.0988,0.0751,-0.0336,0.1112
19,Total Other Income Expenses (Gains),382336234,21178740,-328400000,-397642000,-496827000,-309134000,-734733000,-737687000,-360957000,-73000000,-78000000,-64000000,-3571023553,-1565346989,-1850773622,-1768673280,-1295443746,-1381866249,-1270146401,-1174191187,-788622674,-768686354,-602849798,-733000000,-838000000,-686301000
20,Income Before Tax,1237715846,917284173,849400000,1046442000,1157862000,1346458000,574664000,719212000,1490379000,2417000000,2867000000,2907000000,-1543980808,-354708040,-971487885,-902149788,-398993558,-261066943,-112475021,199307923,833992972,695468432,789230522,253000000,-1274000000,931699000
21,Income Before Tax Ratio,0.3449,0.2419,0.1968,0.2156,0.2059,0.1942,0.0879,0.1003,0.1829,0.1576,0.1571,0.1341,-0.0873,-0.0235,-0.0672,-0.0661,-0.0260,-0.0174,-0.0079,0.0152,0.0689,0.0529,0.0560,0.0193,-0.0982,0.0640
22,Income Tax expense (Gain),105828263,66447532,46200000,68744000,158026000,167043000,54794000,89712000,183413000,336000000,486000000,439000000,-1712852573,-807551208,365645983,876794782,474944108,476690890,273076046,131791061,149432389,26476578,227289842,162000000,52000000,144743000
23,Net Income,1041823436,761592533,803200000,977698000,999836000,1179415000,519870000,629500000,1306966000,2114000000,2378000000,2391000000,165600465,107688780,-1339323364,-1780452942,-925506142,-831637537,-460421282,69543526,677320643,775000000,532581772,143000000,-1467000000,753113000
24,Net Income ratio,0.2903,0.2008,0.1861,0.2014,0.1778,0.1701,0.0795,0.0878,0.1604,0.1378,0.1303,0.1103,0.0094,0.0071,-0.0927,-0.1305,-0.0603,-0.0554,-0.0323,0.0053,0.0559,0.0590,0.0378,0.0109,-0.1131,0.0518
25,EPS,2.82,2.08,2.24,2.72,2.56,2.91,1.21,1.40,2.76,2.14,2.32,2.26,0.15,0.09,-1.06,-1.08,-0.70,-0.59,-0.33,0.05,0.46,0.52,0.34,0.09,-1.00,0.50
26,EPS Diluted,2.46,2.05,2.23,2.71,2.54,2.89,1.21,1.37,2.74,2.13,2.32,2.26,0.15,0.09,-1.06,-1.08,-0.70,-0.59,-0.33,0.05,0.46,0.52,0.34,0.09,-1.00,0.50
27,Weighted Average Shares Outstanding,369419455,365651723,358919681,358970558,391235593,405557944,425810050,448646977,473837821,984797975,1022519067,1057865308,1090485053,1181747970,1264244510,1268036210,1306755136,1368474183,1399596471,1457189205,1487960344,1516763500,1542577767,1513120067,1470842933,1506195876
28,Weighted Average Shares Outstanding Diluted,422958506,371086037,360062566,360441966,392922372,408790402,426634263,458989042,476300174,987862676,1023224982,1058420305,1090975478,1181747970,1264244510,1268036210,1574085949491883,1646866594,1625598634,1632234772,1647249067,1614620233,1600491333,1577404700,1495681700,1506195876
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,169436000,148152000,145009000,333000000,1226000000,548000000,758069206,863268114,296717376,439798022,972011248,1164937351,854525066,884783575,557716812,699643585,308751906,788000000,950000000,612820000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,191442000,143565000,197253000,269000000,354000000,246000000,230881070,214689697,380729184,718631261,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,360878000,291717000,342262000,602000000,1580000000,794000000,988950276,1077957811,677446560,1158429283,972011248,1164937351,854525066,884783575,557716812,699643585,308751906,788000000,950000000,612820000
34,Net Receivables,- -,- -,- -,- -,- -,- -,804304000,874766000,882440000,2371000000,2197000000,2797000000,2051541146,1736701315,2296295696,2259899586,2332032437,2531681521,2130644793,1887171565,1695497722,1751120163,1800662687,1845000000,2003000000,2078788000
35,Inventory,- -,- -,- -,- -,- -,- -,706200000,595270000,632450000,1038000000,1193000000,1798000000,1625327130,1313894833,1260501476,1268037609,1284148536,1303799480,1226839785,1025839386,862132211,959877800,1081140489,989000000,971000000,1260673000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,79794000,66759000,94130000,161000000,191000000,219000000,291654551,210333231,190729508,283932971,344387060,299831661,604527781,467754039,1326598579,223014257,231767457,957000000,311000000,272970000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,1951176000,1828512000,1951282000,4172000000,5161000000,5608000000,4957473103,4338887190,4424973239,4970299448,4932579281,5300250013,4816537426,4265548566,4441945324,3633655804,3422322539,4579000000,4235000000,4225251000
38,PP&E,- -,- -,- -,- -,- -,- -,8956236000,9276148000,9611669000,15561000000,17196000000,24010000000,20489822623,19784698869,18769502741,16786665996,16537823374,15791210925,13774490638,12399303754,10961802070,11820773931,11419953474,11850000000,11413000000,11322109000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,4501000000,4826000000,13873000000,- -,- -,- -,- -,11096102763,11088781951,10897519440,10640101542,9934888795,9952851324,9910742816,9562000000,8506000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4000588000,3970504000,656000000,735000000,3971000000,- -,- -,205897000000,13579796442,2420914055,2339930500,2235924671,2117342685,1987846552,2007892057,2026069896,2028000000,1746000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4000588000,3970504000,5157000000,5561000000,17844000000,17064262867,17923341486,16696697914,13579796442,13517016818,13428712451,13133444111,12757444226,11922735346,11960743381,11936812712,11590000000,10252000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2822986333,2456741058,1879318174,1373910920,666495291,754184862,687475564,758493459,537300178,454378819,736058844,518000000,536000000,- -
