,https://roic.ai/company/IPI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,152709217,213458759,305914000,301803000,359304000,442954000,451316000,336312000,410389000,287183000,210948000,157607000,208270000,220075000,196954000,217185000
2,COGS,110994751,160960398,120356000,179688000,253233000,256734000,281178000,258397000,368385000,302660000,240195000,151828000,169999000,176597000,186424000,161421000
3,Gross Profit,41714466,52498361,185558000,122115000,106071000,186220000,170138000,77915000,42004000,-15477000,-29247000,5779000,38271000,43478000,10530000,55764000
4,Gross Profit Ratio,0.2732,0.2459,0.6066,0.4046,0.2952,0.4204,0.3770,0.2317,0.1024,-0.0539,-0.1386,0.0367,0.1838,0.1976,0.0535,0.2568
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,22832000,28375000,29122000,31807000,33750000,33768000,27223000,27486000,- -,- -,- -,23556000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20034000,19461000,20438000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,22832000,28375000,29122000,31807000,33750000,33768000,27223000,27486000,20034000,19461000,20438000,23556000,- -,- -
9,Other Expenses,21725459,19199586,1138000,643000,911000,-20214000,987000,3305000,-2826000,3031000,2705000,-1374000,2339000,3562000,27914000,178000
10,Operating Expenses,21725459,19199586,23970000,29018000,30033000,11593000,34737000,37073000,24397000,30517000,22739000,18087000,22777000,27118000,27914000,178000
11,COGS and Expenses,132720210,180159984,144326000,208706000,283266000,268327000,315915000,295470000,392782000,333177000,262934000,169915000,192776000,203715000,214338000,161599000
12,Interest Income ,- -,- -,1005000,161000,819000,1730000,1843000,524000,186000,763000,286000,6000,110000,- -,- -,- -
13,Interest Expense (Gain),2906842,9349757,3160000,806000,1513000,869000,905000,1531000,6232000,6351000,8703000,6913000,2721000,2728000,1996000,-1468000
14,Depreciation and Amortization,- -,9468266,7192000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34335000,36110000,35957000
15,EBITDA,38929284,48501927,168117000,93053000,76556000,176130000,137832000,39624000,17043000,-368452000,-59292000,-18780000,14612000,50747000,10957000,493192000
16,EBITDA ratio,0.2549,0.2272,0.5496,0.3083,0.2131,0.3976,0.3054,0.1178,0.0415,-1.2830,-0.2811,-0.1192,0.0702,0.2306,0.0556,2.2708
17,Operating Income,19989007,36310955,161078000,92417000,75334000,173877000,135401000,40842000,15780000,-369790000,-57781000,-14404000,15494000,16360000,-23244000,32272000
18,Operating Income ratio,0.1309,0.1701,0.5265,0.3062,0.2097,0.3925,0.3000,0.1214,0.0385,-1.2876,-0.2739,-0.0914,0.0744,0.0743,-0.1180,0.1486
19,Total Other Income Expenses (Gains),7015671,5545342,-3313000,-170000,-291000,1384000,1526000,-2749000,-4969000,-5013000,-10214000,-11289000,-3603000,-2676000,-3905000,8693000
20,Income Before Tax,- -,- -,157765000,92247000,75043000,175261000,136927000,38093000,10811000,-374803000,-67995000,-25693000,11891000,13684000,-27149000,40965000
21,Income Before Tax Ratio,- -,- -,0.5157,0.3057,0.2089,0.3957,0.3034,0.1133,0.0263,-1.3051,-0.3223,-0.1630,0.0571,0.0622,-0.1378,0.1886
