,https://roic.ai/company/BYRN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,30096,42480,151005,154015,292508,250227,924419,16566295,42160000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,17379,27323,115940,95017,191320,186068,775412,9058125,19270000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,12717,15157,35065,58998,101188,64159,149007,7508170,22890000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.4225,0.3568,0.2322,0.3831,0.3459,0.2564,0.1612,0.4532,0.5429
5,Research and Development Exp.,80000,458300,1344195,2632548,2031230,946702,195949,-215143,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1834237,941702,- -,624545,2056996,1698523,2624488,2306940,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",108699,1202499,3672275,1834237,941702,1365284,624545,2056996,1698523,2624488,2306940,1723310,1919789,2125896,3400158,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,38130,45586,47165,46515,45377,23058,37386,11817002,26181000
10,Operating Expenses,188699,1660799,5016470,4466785,2972932,2311986,820494,1841853,1736653,2670074,2354105,1769825,1965166,2148954,3437544,11817002,26181000
11,COGS and Expenses,188699,1660799,5019067,4475437,2982280,2320962,831280,1862438,1754032,2697397,2470045,1864842,2156486,2335022,4212956,20875127,45451000
12,Interest Income ,- -,- -,191130,73651,7813,- -,- -,- -,1695,6045,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,70278,157500,651502,73540,231398,232032,538430,148887,1535236,988496,34000
14,Depreciation and Amortization,- -,- -,2597,8652,9348,8976,10786,20585,38130,45586,47165,46515,45377,23058,54176,242054,487000
15,EBITDA,-188699,-1660799,-5016470,-4466785,-2972932,-2311986,-820494,-1841853,-1334579,-2603286,-2271875,-1645563,-2216444,-1981529,-2820373,-11030246,-2922000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-44.3441,-61.2826,-15.0450,-10.6844,-7.5774,-7.9189,-3.0510,-0.6658,-0.0693
17,Operating Income,-188699,-1660799,-5019067,-4475437,-2982280,-2320962,-831280,-1862438,-1723936,-2654917,-2319040,-1692078,-1918985,-2038702,-3300568,-4308832,-3291000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-57.2812,-62.4980,-15.3574,-10.9864,-6.5605,-8.1474,-3.5704,-0.2601,-0.0781
19,Total Other Income Expenses (Gains),- -,- -,191130,73651,7813,- -,-70278,-157500,-300275,-67495,-231398,-232032,-881266,-114772,-1109217,-7951964,-152000
20,Income Before Tax,-188699,-1660799,-4827937,-4401786,-2974467,-2320962,-901558,-2019938,-2024211,-2722412,-2550438,-1924110,-2800251,-2153474,-4409785,-12260796,-3443000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-67.2585,-64.0869,-16.8898,-12.4930,-9.5732,-8.6061,-4.7703,-0.7401,-0.0817
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292529,-160000
23,Net Income,-188699,-1660799,-4827937,-4401786,-2974467,-2320962,-901558,-2019938,-2024211,-2722412,-2550438,-1924110,-2800251,-2153474,-4409785,-12553325,-3283000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-67.2585,-64.0869,-16.8898,-12.4930,-9.5732,-8.6061,-4.7703,-0.7578,-0.0779
25,EPS,-0.30,-1.90,-3.50,-3.50,-2.00,-1.20,-0.30,-0.70,-0.60,-0.60,-0.50,-0.40,-0.50,-0.20,-0.40,-1.00,-0.15
26,EPS Diluted,-0.30,-1.90,-3.50,-3.50,-2.00,-1.20,-0.30,-0.70,-0.60,-0.60,-0.50,-0.40,-0.50,-0.20,-0.40,-1.00,-0.15
27,Weighted Average Shares Outstanding,680840,862325,1381531,1381531,1467157,1861292,2611489,2795635,3656584,4686805,5039443,5470403,5770012,9444611,10354383,12678746,22047571
28,Weighted Average Shares Outstanding Diluted,680840,862325,1381531,1381531,1467157,1861292,2611489,2795635,3656584,4686805,5039443,5470403,5770012,9444611,10354383,12678746,22047571
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299313000969/0001062993-13-000969-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299314001394/0001062993-14-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299315005524/0001062993-15-005524-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299316008106/0001062993-16-008106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299318001360/0001062993-18-001360-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299320002511/0001062993-20-002511-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000138713121002902/0001387131-21-002902-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000143774922003122/0001437749-22-003122-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,126,1463833,5293176,2167699,55431,247328,114835,232471,1842149,1085006,1851021,192826,1965043,1182387,1081900,3175074,56308000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,126,1463833,5293176,2167699,55431,247328,114835,232471,1842149,1085006,1851021,192826,1965043,1182387,1081900,3175074,56308000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,20351,7393,39676,32534,36412,18914,585712,1406545,1658000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,120246,44319,7323,157303,129121,959748,4816615,6613000
36,Other Current Assets,- -,4452,36788,45984,31172,38419,118620,39700,45372,200231,91024,85806,6648,901247,321848,7207759,1582000
37,Total Current Assets,126,1468285,5329964,2213683,86603,285747,233455,272171,1907872,1412876,2026040,318489,2165406,2231669,2949208,16605993,66161000
38,PP&E,- -,- -,23960,25450,29924,29200,18414,145048,152137,144176,97011,50496,26951,113418,321288,3039799,4351000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650787,816000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106334,99002,810928,3668000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106334,99002,1461715,4484000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43367,36874,- -,205664,196921,108613,318000
45,Total Non-Current Assets,- -,- -,23960,25450,29924,29200,18414,145048,152137,144176,140378,87370,26951,425416,617211,4610127,9153000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,126,1468285,5353924,2239133,116527,314947,251869,417219,2060009,1557052,2166418,405859,2192357,2657085,3566419,21216120,75314000
48,Accounts Payable,5210,104011,17973,- -,- -,- -,- -,- -,48494,35885,69962,85603,193198,126366,600878,3475238,2793000
49,Short-Term Debt,8029,4227,- -,- -,- -,- -,135998,- -,- -,- -,- -,1153540,40357,978361,2758578,333088,463000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050051,940000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10842,4902087,720000
52,Other Current Liabilities,10866,- -,156869,219081,691729,787641,568995,150368,58035,125520,103367,160308,740003,1228244,305142,3153837,4203000
53,Total Current Liabilities,24105,108238,174842,219081,691729,787641,704993,150368,106529,161405,173329,1399451,973558,2332971,3675440,11864250,8179000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,731828,1192639,- -,1398592,1398592,- -,892176,167077,1874972,942825,632000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,731828,1192639,- -,1398592,1398592,- -,892176,167077,1874972,942825,1037000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1085613,1095000
61,Total Liabilities,24105,108238,174842,219081,691729,787641,1436821,1343007,106529,1559997,1571921,1399451,1865734,2500048,5550412,12807075,9216000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -
63,Common Stock,6923,11365,14330,14447,15235,25878,26828,31472,46849,46899,54616,55105,93014,101977,104022,148520,23000
64,Retained Earnings,-188699,-1849498,-6677435,-11079221,-14053688,-16374650,-17276208,-19296146,-21320357,-24042769,-26593207,-28298613,-31098864,-33252338,-37662123,-50215448,-53498000
65,Other Comprehensive Income/Loss,- -,- -,-2597,-11249,-20597,-29573,-40359,-60944,-99074,-31706,-46739,-57358,-32624,-34297,-38412,28133,-16000
