,https://roic.ai/company/GROW,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15770738,20214546,14009131,10022456,9018072,10912764,8893884,7767514,7478936,12983500,16981339,44853588,58603637,56039247,23140269,35030153,41933626,23850609,18665250,11439000,9371000,5505000,6763000,6261000,4917000,4476000,21654000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12043430,8769000,7946000,5426000,3754000,4270000,3418000,2840000,7369000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23140269,35030153,41933626,23850609,6621820,2670000,1425000,79000,3009000,1991000,1499000,1636000,14285000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,0.3548,0.2334,0.1521,0.0144,0.4449,0.3180,0.3049,0.3655,0.6597
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,9405031,10520912,11636195,9298734,9324979,9987166,9315982,7854241,7613445,3955788,3821129,5460442,7481344,6805085,18712767,24908156,27695828,19887175,5926810,5201000,4275000,3727000,3494000,3866000,4041000,3663000,5704000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369927,513076,508992,488217,406955,1291824,1916074,1182287,862086,615000,411000,212000,135000,172000,198000,174000,220000
8,"Selling, General and Administrative Exp.",9405031,10520912,11636195,9298734,9324979,9987166,9315982,7854241,7613445,3955788,4191056,5973518,7990336,7293302,19119722,26199980,29611902,21069462,6788896,5816000,4686000,3939000,3629000,4038000,4239000,3837000,5924000
9,Other Expenses,5912189,1044801,481510,457386,492581,395452,226150,164674,492550,6112086,10553760,23012730,29267553,32163718,7631095,321416,291705,281760,274479,256000,327000,316000,253000,241000,224000,202000,196000
10,Operating Expenses,15317220,11565713,12117705,9756120,9817560,10382618,9542132,8018915,8105995,10067874,14744816,28986248,37257889,39457020,26750817,26521396,29903607,21351222,7063375,6072000,5013000,4255000,3882000,4279000,4463000,4039000,6120000
11,COGS and Expenses,15317220,11565713,12117705,9756120,9817560,10382618,9542132,8018915,8105995,10067874,14744816,28986248,37257889,39457020,26750817,26521396,29903607,21351222,19106805,14841000,12959000,9681000,7636000,8549000,7881000,6879000,13489000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,536920,425301,481510,457386,492581,395452,226150,164674,121493,108065,109899,152755,244068,284237,270334,321416,291705,281760,274479,259000,327000,316000,253000,241000,224000,202000,196000
