,https://roic.ai/company/NBY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,1533000,5913000,6722000,15684000,9754000,11019000,6947000,3477000,1054000,4381000,11897000,18230000,12508000,6599000,9934000,8421000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000,486000,1261000,2464000,2784000,1503000,1738000,3970000,2776000
3,Gross Profit,- -,- -,- -,1533000,- -,6722000,15684000,9754000,11019000,- -,3315000,568000,3120000,9433000,15446000,11005000,4861000,5964000,5645000
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,1.0000,1.0000,1.0000,1.0000,- -,0.9534,0.5389,0.7122,0.7929,0.8473,0.8798,0.7366,0.6004,0.6703
5,Research and Development Exp.,270000,- -,1952000,4087000,7421000,9595000,7337000,8616000,9911000,9275000,12461000,9511000,6045000,1371000,410000,259000,184000,285000,44000
6,General and Administrative Exp.,- -,- -,- -,- -,4368000,5636000,- -,5654000,5429000,5981000,6340000,7935000,18089000,7235000,8636000,5828000,5310000,5932000,7240000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11809000,13711000,12789000,8767000,6173000,7223000
8,"Selling, General and Administrative Exp.",- -,- -,1617000,2972000,4368000,5636000,5607000,5654000,5429000,5981000,6340000,7935000,18089000,19044000,22347000,18617000,14077000,12105000,14463000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,3569000,7059000,11789000,15231000,12944000,14270000,15340000,15256000,18801000,17446000,24134000,20415000,22757000,18876000,14261000,12390000,14507000
11,COGS and Expenses,953000,- -,3569000,7059000,11789000,15231000,12944000,14270000,15340000,15256000,18963000,17932000,25395000,22879000,25541000,20379000,15999000,16360000,17283000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,48000,74000,183000,304000,373000,427000,425000,341000,314000,232000,164000,114000,95000,266000,65000,51000,119000
15,EBITDA,-929000,- -,-3627000,-5212000,-5205000,-7808000,3077000,-3831000,-4658000,-6684000,-15726000,-14960000,-18797000,-13035000,-7305000,-6275000,-9587000,-10983000,-5705000
