,https://roic.ai/company/FSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,759218,1029649,1334273,1112192,2321120,3392937,6709394,8373597,7431791,10756654,9783496,11491401,15518635,16400107,15801596,15907849,15898547,16246014,15494325,17829518,27440110,31407454,34416335
2,COGS,413849,509933,662807,581422,1363064,1331075,3985581,5401350,4799750,6719114,6502446,7018339,9663189,11127742,11271200,10767624,9696544,9256526,9508827,12192684,18819572,21641035,23019824
3,Gross Profit,345369,519716,671466,530770,958056,2061862,2723813,2972247,2632041,4037540,3281050,4473062,5855446,5272365,4530396,5140225,6202003,6989488,5985498,5636834,8620538,9766419,11396511
4,Gross Profit Ratio,0.4549,0.5048,0.5032,0.4772,0.4128,0.6077,0.4060,0.3550,0.3542,0.3754,0.3354,0.3893,0.3773,0.3215,0.2867,0.3231,0.3901,0.4302,0.3863,0.3162,0.3142,0.3110,0.3311
5,Research and Development Exp.,- -,- -,- -,- -,- -,58552,57806,123254,120817,80381,30078,70993,73200,68254,123772,134981,95265,95098,98928,135930,123660,- -,- -
6,General and Administrative Exp.,- -,295715,787110,- -,1396600,2688222,3030370,3791911,3331276,3282227,3470252,3585454,4123789,5055900,4883537,4288070,3721948,3756780,4246687,4477178,5582117,5115333,285424
7,Selling and Marketing Exp.,- -,- -,- -,- -,63871,97946,95094,45215,63126,222050,145326,225326,244836,63884,25053,36047,34445,21199,18257,68492,159690,- -,- -
8,"Selling, General and Administrative Exp.",- -,295715,787110,- -,1460471,2786168,3125464,3837126,3394402,3504277,3615578,3810780,4368625,5119784,4908590,4324117,3756393,3777979,4264944,4545670,5741807,5115333,285424
9,Other Expenses,175213,13489,18910,3701899,37712,388071,685768,- -,- -,-36497,116784,13973,- -,- -,- -,- -,- -,- -,- -,- -,- -,533401,5627763
10,Operating Expenses,175213,309204,806020,3701899,1498183,3232791,3869038,3960380,3515219,3548161,3762440,3895746,4441825,5188038,5032362,4459098,3851658,3873077,4363872,4681600,5865467,5648734,5913187
