,https://roic.ai/company/FUST,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,28600,25175,- -,- -,1216000,750000,700000
2,COGS,- -,8683,7027,- -,- -,277415,201483,81081
3,Gross Profit,- -,19917,18148,- -,- -,938585,548517,618919
4,Gross Profit Ratio,- -,0.6964,0.7209,- -,- -,0.7719,0.7314,0.8842
5,Research and Development Exp.,- -,- -,- -,- -,1500000,- -,- -,- -
6,General and Administrative Exp.,- -,24524,61288,- -,2601570,1016348,593829,684694
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,24524,61288,- -,2601570,1016348,593829,684694
9,Other Expenses,- -,- -,- -,1519295,- -,- -,- -,1000000
10,Operating Expenses,- -,24524,61288,1519295,4101570,1016348,593829,1684694
11,COGS and Expenses,- -,33207,68315,1519295,4101570,1293763,795312,1765775
12,Interest Income ,- -,- -,- -,105686,41413,13,- -,- -
13,Interest Expense (Gain),- -,- -,- -,162586,158963,1106,1899,4053
14,Depreciation and Amortization,- -,858,1262,1832,2191,2191,27849,28852
15,EBITDA,- -,-3749,-41878,-1517463,-4099379,-75559,-17663,-988616
16,EBITDA ratio,- -,-0.1311,-1.6635,-Infinity,-Infinity,-0.0621,-0.0236,-1.4123
17,Operating Income,- -,-4607,-43140,-1519295,-4101570,-77763,-45312,-1065775
18,Operating Income ratio,- -,-0.1611,-1.7136,-Infinity,-Infinity,-0.0639,-0.0604,-1.5225
19,Total Other Income Expenses (Gains),- -,- -,- -,-38530,-117550,-1093,-2099,44254
20,Income Before Tax,- -,-4607,-43140,-1557825,-4219120,-78856,-47411,-1021521
21,Income Before Tax Ratio,- -,-0.1611,-1.7136,-Infinity,-Infinity,-0.0648,-0.0632,-1.4593
22,Income Tax expense (Gain),- -,- -,- -,- -,800,800,4000,2400
23,Net Income,- -,-4607,-43140,-1557825,-4219920,-79656,-51411,-1023921
24,Net Income ratio,- -,-0.1611,-1.7136,-Infinity,-Infinity,-0.0655,-0.0685,-1.4627
25,EPS,- -,-0.00,-0.00,-0.03,-0.08,-0.00,-0.00,-0.02
26,EPS Diluted,- -,-0.00,-0.00,-0.03,-0.08,-0.00,-0.00,-0.02
27,Weighted Average Shares Outstanding,35130000,27500000,35130000,45150000,49828467,64778050,64778050,64778050
28,Weighted Average Shares Outstanding Diluted,35130000,27500000,35130000,45150000,49828467,64778050,64778050,64778050
