,https://roic.ai/company/JBGS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,476311000,472923000,470607000,478519000,543013000,644182000,647770000,602723000,634362000
2,COGS,167797000,171050000,175677000,173637000,229408000,308961000,321610000,331412000,328620000
3,Gross Profit,308514000,301873000,294930000,304882000,313605000,335221000,326160000,271311000,305742000
4,Gross Profit Ratio,0.6477,0.6383,0.6267,0.6371,0.5775,0.5204,0.5035,0.4501,0.4820
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,50269000,51208000,47349000,52270000,76382000,69758000,88984000,78312000,70144000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",50269000,51208000,47349000,52270000,76382000,69758000,88984000,78312000,70144000
9,Other Expenses,108571000,112046000,144984000,133343000,161659000,211436000,191580000,221756000,236303000
10,Operating Expenses,158840000,163254000,192333000,185613000,238041000,281194000,280564000,300068000,306447000
11,COGS and Expenses,326637000,334304000,368010000,359250000,467449000,590155000,602174000,631480000,635067000
12,Interest Income ,129000,1338000,2708000,3287000,1788000,15168000,5385000,- -,8835000
13,Interest Expense (Gain),64487000,55978000,48822000,50052000,58141000,70847000,49428000,59447000,64012000
14,Depreciation and Amortization,109898000,113205000,146985000,135072000,163718000,215439000,195004000,225597000,240454000
15,EBITDA,250566000,250724000,242517000,248181000,140194000,325472000,308701000,218476000,228750000
16,EBITDA ratio,0.5261,0.5302,0.5153,0.5186,0.2582,0.5052,0.4766,0.3625,0.3606
17,Operating Income,149674000,138619000,102597000,112793000,-52175000,54027000,45596000,-28757000,-86184000
18,Operating Income ratio,0.3142,0.2931,0.2180,0.2357,-0.0961,0.0839,0.0704,-0.0477,-0.1359
19,Total Other Income Expenses (Gains),-73493000,-57078000,-55887000,-49736000,-36821000,-8152000,27246000,-42769000,- -
20,Income Before Tax,76181000,81541000,46710000,63057000,-88996000,45875000,72842000,-71526000,-86184000
21,Income Before Tax Ratio,0.1599,0.1724,0.0993,0.1318,-0.1639,0.0712,0.1125,-0.1187,-0.1359
22,Income Tax expense (Gain),-12480000,242000,420000,1083000,-9912000,-738000,-1302000,-4265000,3541000
23,Net Income,88661000,81299000,46290000,61974000,-71753000,39924000,65571000,-62303000,-79257000
24,Net Income ratio,0.1861,0.1719,0.0984,0.1295,-0.1321,0.0620,0.1012,-0.1034,-0.1249
25,EPS,0.75,0.69,0.39,0.52,-0.70,0.31,0.48,-0.49,-0.68
26,EPS Diluted,0.75,0.69,0.39,0.52,-0.70,0.31,0.48,-0.49,-0.68
27,Weighted Average Shares Outstanding,118500000,118500000,118500000,118500000,105359000,119176000,130687000,133451000,131351000
28,Weighted Average Shares Outstanding Diluted,118500000,118500000,118500000,118500000,105359000,119176000,130687000,133451000,131351000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1689796/000168979618000004/0001689796-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000168979619000004/0001689796-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000168979620000003/0001689796-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000155837021001480/0001558370-21-001480-index.htm,https://www.sec.gov/Archives/edgar/data/1689796/000155837022001602/0001558370-22-001602-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,12018000,74966000,29000000,316676000,260553000,126413000,225600000,264356000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12018000,74966000,29000000,316676000,260553000,126413000,225600000,264356000
34,Net Receivables,- -,227971000,230708000,245024000,193049000,190041000,222662000,226450000,236761000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4144000,5480000,3263000,30174000,138979000,16103000,37736000,56781000
37,Total Current Assets,- -,244133000,311154000,277287000,539899000,589573000,365178000,489786000,557898000
38,PP&E,- -,- -,- -,- -,- -,- -,19865000,45538000,182616000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,5572000,3803000,3063000,126467000,89859000,72264000,58577000,77214000
41,Intangible Assets,- -,5572000,3803000,3063000,126467000,89859000,72264000,58577000,77214000
42,Investments,- -,77436000,76967000,49763000,261811000,322878000,543026000,461369000,462885000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3084057000,3233390000,3330527000,5143630000,4994975000,4985918000,5024277000,5105593000
45,Total Non-Current Assets,- -,3167065000,3314160000,3383353000,5531908000,5407712000,5621073000,5589761000,5828308000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3411198000,3625314000,3660640000,6071807000,5997285000,5986251000,6079547000,6386206000
48,Accounts Payable,- -,40233000,54092000,40923000,138607000,130960000,157702000,- -,106136000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,82912000,283232000,- -,3717000,- -,103102000,32603000
53,Total Current Liabilities,- -,40233000,137004000,324155000,138607000,134677000,157702000,103102000,138739000
54,Long-Term Debt,- -,1277889000,1302956000,1165014000,2187980000,2135510000,1623072000,2042690000,2645783000
55,Deferred Revenue,- -,- -,- -,- -,29369000,39694000,39960000,33463000,19852000
56,Deferred Tax Liabilities,- -,- -,- -,- -,8202000,6878000,5542000,2509000,5340000
57,Other Non-Current Liabilities,- -,50707000,76427000,49487000,732835000,693174000,773298000,691577000,115350000
58,Total Non-Current Liabilities,- -,1328596000,1379383000,1214501000,2958386000,2875256000,2441872000,2770239000,2786325000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,15819000,15704000,28476000,50973000,169420000
61,Total Liabilities,- -,1368829000,1516387000,1538656000,3096993000,3009933000,2599574000,2873341000,2925064000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1180000,1210000,1342000,1319000,1275000
64,Retained Earnings,- -,- -,- -,- -,-95809000,-176018000,-231164000,-412944000,-609331000
