,https://roic.ai/company/VRRM,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,230749586,- -,370145720,448737000,393593000
2,COGS,- -,- -,9234628,19480000,33540000
3,Gross Profit,- -,- -,360911092,429257000,360053000
4,Gross Profit Ratio,- -,- -,0.9751,0.9566,0.9148
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,580589,136068633,85493000,89664000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,580589,136068633,85493000,89664000
9,Other Expenses,- -,199691,212236290,241411000,232573000
10,Operating Expenses,- -,780280,348304923,326904000,322237000
11,COGS and Expenses,182856749,780280,357539551,346384000,355777000
12,Interest Income ,- -,3015712,- -,- -,- -
13,Interest Expense (Gain),2706499,- -,69550214,60729000,40865000
14,Depreciation and Amortization,33814562,- -,103346438,115566000,116570000
15,EBITDA,84178175,-780280,98261024,223219000,159421000
16,EBITDA ratio,0.3648,-Infinity,0.2655,0.4974,0.4050
17,Operating Income,47892837,-780280,12606169,96455000,37816000
18,Operating Income ratio,0.2076,-Infinity,0.0341,0.2149,0.0961
19,Total Other Income Expenses (Gains),-235723,3015712,-87241797,-49531000,-35830000
20,Income Before Tax,47657114,2235432,-74635628,46924000,1986000
21,Income Before Tax Ratio,0.2065,Infinity,-0.2016,0.1046,0.0050
22,Income Tax expense (Gain),18661030,810926,-16241112,13581000,5431000
23,Net Income,28996084,1424506,-58394516,33343000,-3445000
24,Net Income ratio,0.1257,Infinity,-0.1578,0.0743,-0.0088
25,EPS,0.72,0.05,-0.67,0.21,-0.02
26,EPS Diluted,0.72,0.05,-0.67,0.21,-0.02
27,Weighted Average Shares Outstanding,40000000,48150031,87320072,157890000,161632000
28,Weighted Average Shares Outstanding Diluted,40000000,48150031,87320072,161522000,161632000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1682745/000155837017002263/0001558370-17-002263-index.htm,https://www.sec.gov/Archives/edgar/data/1682745/000155837018002065/0001558370-18-002065-index.htm,https://www.sec.gov/Archives/edgar/data/1682745/000156459019008329/0001564590-19-008329-index.htm,https://www.sec.gov/Archives/edgar/data/1682745/000156459020008153/0001564590-20-008153-index.htm,https://www.sec.gov/Archives/edgar/data/1682745/000156459021009903/0001564590-21-009903-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,3185,826201,65048194,131513000,120259000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3185,826201,65048194,131513000,120259000
34,Net Receivables,436,- -,100466198,113517000,182828000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,414606,135581,19633456,27408000,24950000
37,Total Current Assets,418227,961782,185147848,272438000,328037000
38,PP&E,- -,- -,78524875,113284000,108015000
39,Goodwill,- -,- -,564723498,584150000,586435000
40,Intangible Assets,- -,- -,514541531,434443000,342139000
41,Intangible Assets,- -,- -,1079265029,1018593000,928574000
42,Investments,- -,402735815,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1845443,3111000,2699000
45,Total Non-Current Assets,- -,402735815,1159635347,1134988000,1039288000
