,https://roic.ai/company/HITI,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,9993246,8748766,31294000,83265000,181123000
2,COGS,5285496,5639077,19978000,52453000,117140000
3,Gross Profit,4707750,3109689,11316000,30812000,63983000
4,Gross Profit Ratio,0.4711,0.3554,0.3616,0.3700,0.3533
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3182711,5919822,27213000,22212000,50824000
7,Selling and Marketing Exp.,399163,697981,2252000,429000,3444000
8,"Selling, General and Administrative Exp.",3581874,6617803,29465000,22641000,54268000
9,Other Expenses,28290,85817,1401000,6798000,23565000
10,Operating Expenses,3610164,6703620,30866000,29439000,77833000
11,COGS and Expenses,8895660,12342697,50844000,81892000,194973000
12,Interest Income ,- -,- -,- -,131000,- -
13,Interest Expense (Gain),138747,147540,1831000,8000000,10241000
14,Depreciation and Amortization,28290,85817,1401000,6798000,23565000
15,EBITDA,728420,-5794192,-23602000,8673000,-2641000
16,EBITDA ratio,0.0729,-0.6623,-0.7542,0.1042,-0.0146
17,Operating Income,958839,-3733762,-19874000,796000,-18674000
18,Operating Income ratio,0.0959,-0.4268,-0.6351,0.0096,-0.1031
19,Total Other Income Expenses (Gains),-397456,-2293787,-7126000,-6921000,-17093000
20,Income Before Tax,561383,-6027549,-27000000,-6125000,-35767000
21,Income Before Tax Ratio,0.0562,-0.6890,-0.8628,-0.0736,-0.1975
22,Income Tax expense (Gain),265067,-1494998,-708000,229000,-730000
23,Net Income,296316,-4532551,-26126000,-6354000,-35717000
24,Net Income ratio,0.0297,-0.5181,-0.8349,-0.0763,-0.1972
25,EPS,0.02,-0.35,-1.95,-0.45,-0.84
26,EPS Diluted,0.02,-0.35,-1.95,-0.45,-0.84
27,Weighted Average Shares Outstanding,13125962,13125962,13212179,15267108,42431689
28,Weighted Average Shares Outstanding Diluted,13125962,13125962,13212179,15267108,42431689
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1067493,8198164,806000,7524000,14014000
32,Short-Term Investments,697874,- -,50000,50000,860000
33,Cash and Short-Term Investments,1765367,8198164,856000,7574000,14874000
34,Net Receivables,4910136,917517,2646000,2935000,7452000
35,Inventory,3542590,3463076,6719000,5702000,17042000
36,Other Current Assets,232485,4930830,2518000,3070000,6919000
37,Total Current Assets,10450578,17509587,12739000,19281000,46287000
38,PP&E,101251,3598225,12382000,29498000,52741000
39,Goodwill,- -,- -,4130000,6062000,79946000
40,Intangible Assets,- -,934040,8044000,11965000,62334000
41,Intangible Assets,- -,934040,12174000,18027000,142280000
42,Investments,- -,- -,- -,1716000,506000
43,Tax Assets,479225,1974223,1190000,250000,- -
44,Other Non-Current Assets,81950,1906419,2258000,1039000,4401000
45,Total Non-Current Assets,662426,8412907,28004000,50530000,199928000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,11113004,25922494,40743000,69811000,246215000
48,Accounts Payable,675283,1087506,4402000,6421000,18532000
49,Short-Term Debt,642845,42301,4277000,18579000,12275000
50,Tax Payable,677166,32639,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,19429878,1459963,2121000,2464000,9980000
53,Total Current Liabilities,20748006,2589770,10800000,27464000,40787000
54,Long-Term Debt,21833,17313,19737000,28386000,43154000
55,Deferred Revenue,- -,- -,89000,53000,- -
56,Deferred Tax Liabilities,- -,- -,710000,2185000,8577000
57,Other Non-Current Liabilities,- -,- -,- -,- -,1693000
58,Total Non-Current Liabilities,21833,17313,20536000,30624000,53424000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,54740,23440,17000,16668000,29773000
61,Total Liabilities,20769839,2607083,31336000,58088000,94211000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,667625,35694842,26283000,32552000,208904000
64,Retained Earnings,-10375481,-30176036,-26696000,-34359000,-87792000
65,Other Comprehensive Income/Loss,51021,- -,-366000,-487000,-648000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -
67,Total Stockholders Equity,-9656835,23328247,9586000,10171000,147209000
68,Total Liabilities And Stockholders Equity,11113004,25935330,40922000,68259000,241420000
69,Minority Interest,- -,-12836,-179000,1552000,4795000
70,Total Liabilities & Equity,11113004,25922494,40743000,69811000,246215000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,296316,-4532551,-26126000,-6354000,-35717000
74,Depreciation and Amortization,28290,85817,1401000,6798000,23565000
75,Deferred Income Tax,265067,-1494998,-708000,229000,-730000
76,Stock Based Compensation,- -,145561,2209000,129000,4879000
77,Change in Working Capital,665562,-5056708,1851000,5197000,-9897000
78,Accounts Receivable,-599861,-672530,-1920000,-458000,-1629000
79,Inventory,215890,-102243,-1811000,1951000,-5501000
80,Accounts Payable,299058,1715935,2461000,2470000,- -
81,Other Working Capital,- -,- -,30000,- -,- -
82,Other Non-Cash Items,-213797,2073746,6540000,2851000,15075000
83,Cash Provided by Operating Activities,1041438,-8779133,-14833000,8850000,-2825000
84,CAPEX,-50204,-4226991,-10407000,-2769000,-10713000
85,Acquisitions Net,- -,- -,-6515000,-2234000,-19728000
86,Purchases of Investments,-483937,- -,- -,- -,-507000
87,Sales/Maturities of Investments,- -,- -,- -,1700000,- -
88,Other Investing Activites,- -,-646435,-2333000,-474000,2305000
89,Cash Used for Investing Activites,-534141,-4226991,-16922000,-3303000,-28493000
90,Debt Repayment,-26515,-31300,-6000,-5624000,-15056000
91,Common Stock Issued,- -,3887353,- -,- -,38566000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,-560007,-1155397,- -,- -,- -
94,Other Financing Activites,31380,17436139,24369000,6795000,14298000
95,Cash Used/Provided by Financing Activities,-555142,20136795,24363000,1171000,37808000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-47845,7130671,-7392000,6718000,6490000
98,Cash at the End of Period,1067493,8198164,806000,7524000,14014000
99,Cash at the Beginning of Period,1115338,1067493,8198000,806000,7524000
100,Free Cash Flow,991234,-13006124,-25240000,6081000,-13538000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.7759,0.7601,0.7597,0.7507,0.807
