,https://roic.ai/company/ASX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,33193982116,50893373208,38367837693,45695340844,57254197957,81598634310,84253573295,100408141182,101168479082,94430912000,85775314000,188742797000,185347206000,193972392000,219862446000,256591447000,283302536000,274884107000,290441208000,371092421000,413182184000,476978710000,569997000000
2,COGS,18218139757,26413673278,32957032718,38583897099,46419765883,65355845638,69698146135,71632191250,72078579405,71901714000,67629130000,148198224000,150338403000,157348622000,177040435000,203002918000,233167308000,221689888000,237708937000,309929371000,348871391000,398994442000,459628000000
3,Gross Profit,14975842359,24479699930,5410804975,7111443745,10834432074,16242788671,14555427160,28775949932,29089899677,22529198000,18146184000,40544573000,35008803000,36623770000,42822011000,53588529000,50135228000,53194219000,52732271000,61163050000,64310793000,77984268000,110369000000
4,Gross Profit Ratio,0.4512,0.4810,0.1410,0.1556,0.1892,0.1991,0.1728,0.2866,0.2875,0.2386,0.2116,0.2148,0.1889,0.1888,0.1948,0.2088,0.1770,0.1935,0.1816,0.1648,0.1556,0.1635,0.1936
5,Research and Development Exp.,727115352,1262516450,1504545671,2053843555,2351680996,2580855697,2792659970,2631627347,3284231570,3876822000,3611950000,6162191000,7117964000,7874210000,9064712000,10289684000,10937566000,11391147000,11746613000,14962799000,18395334000,19302418000,21053000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,5694224000,4310692000,7373733000,8299543000,8225415000,8712862000,10214810000,10724568000,11662082000,12458054000,14618900000,16637887000,18200304000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1158637000,1209199000,2909643000,2770045000,2762763000,2982789000,3438166000,3588472000,3432487000,3308992000,4933602000,5751168000,5605464000,- -
8,"Selling, General and Administrative Exp.",3142441310,4186456602,4368357272,5744452389,5215518228,6121331012,5928507800,5701033766,6507459056,6852861000,5519891000,10283376000,11069588000,10988178000,11695651000,13652976000,14313040000,15094569000,15767046000,19552502000,22389055000,23805768000,27191000000
9,Other Expenses,6170824080,- -,0,- -,-0,- -,- -,0,- -,- -,- -,- -,- -,- -,-165240000,-798880000,-366647000,-509039000,-751980000,-361001000,-1044232000,-1588224000,- -
10,Operating Expenses,10040380742,5448973052,5872902944,7798295945,7567199224,8702186709,8721167770,8332661113,9791690626,10729683000,9131841000,16445567000,18187552000,18862388000,20595123000,23143780000,24883959000,25976677000,26761679000,34154300000,39740157000,41519962000,48244000000
11,COGS and Expenses,28258520499,31862646330,38829935661,46382193044,53986965108,74058032347,78419313905,79964852364,81870270031,82631397000,76760971000,164643791000,168525955000,176211010000,197635558000,226146698000,258051267000,247666565000,264470616000,344083671000,388611548000,440514404000,507872000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,326772000,173870000,215228000,330674000,322197000,212801000,243474000,242084000,230067000,306871000,- -,549681000,520783000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1813296000,1508023000,1386011000,1666325000,2004315000,2307455000,2354097000,2514208000,2510197000,2016298000,3597932000,4300283000,3587025000,2257000000
14,Depreciation and Amortization,6170824080,9153608503,11820176527,13133113536,13572191198,15641996299,15602025170,14485974263,16627034473,17244852000,17638082000,19854473000,22945396000,23414291000,25470911000,26350776000,29518664000,29422304000,29205184000,42688903000,50466841000,51259065000,54524000000
15,EBITDA,14572969288,16056521830,9478777589,12119409150,15035349205,18451409832,10779703000,33983907932,32150482037,28533913000,27375573000,43206724000,41355891000,41551593000,46682466000,56599429000,56357450000,58684951000,60564204000,77020925000,76838961000,88933568000,135011000000
16,EBITDA ratio,0.4390,0.3155,0.2471,0.2652,0.2626,0.2261,0.1279,0.3385,0.3178,0.3022,0.3192,0.2289,0.2231,0.2142,0.2123,0.2206,0.1989,0.2135,0.2085,0.2076,0.1860,0.1865,0.2369
17,Operating Income,4935461618,9877118376,-462097969,-686852200,3267232849,7540601962,5834259390,20443288818,19298209051,11799515000,9014343000,24099006000,16821251000,17761382000,20713402000,29874484000,24633093000,25908223000,25327168000,27019332000,23257849000,35378574000,62125000000
18,Operating Income ratio,0.1487,0.1941,-0.0120,-0.0150,0.0571,0.0924,0.0692,0.2036,0.1908,0.1250,0.1051,0.1277,0.0908,0.0916,0.0942,0.1164,0.0869,0.0943,0.0872,0.0728,0.0563,0.0742,0.1090
19,Total Other Income Expenses (Gains),3466683590,-2974205048,-1734720530,-292173924,-1781018813,-4013724111,-11522805345,1804685978,-1945417324,-2323750000,-625953000,-1275377000,175910000,-1170846000,-1343646000,-1339429000,660052000,2116918000,5693495000,4918346000,21962000,390224000,18211000000
20,Income Before Tax,8402145208,6902913327,-2196818498,-979026124,1486214036,3526877852,-5688545955,22247974797,17352791727,9475765000,8388390000,22823629000,16997161000,16590536000,19369756000,28535055000,25293145000,28025141000,31020663000,31937678000,23279811000,35768798000,80336000000
21,Income Before Tax Ratio,0.2531,0.1356,-0.0573,-0.0214,0.0260,0.0432,-0.0675,0.2216,0.1715,0.1003,0.0978,0.1209,0.0917,0.0855,0.0881,0.1112,0.0893,0.1020,0.1068,0.0861,0.0563,0.0750,0.1409
22,Income Tax expense (Gain),467771691,1065761500,-199160868,-1143060912,-1276876159,-1394389810,-118977930,2084460531,3357559712,2268282000,1484922000,3628740000,3018212000,3041628000,3499595000,5665954000,4311073000,5390844000,6523603000,4513369000,5011246000,7116898000,14322000000
23,Net Income,7934373517,5837151828,-2142238071,129356527,2740034167,4203803344,-4703344240,17413473138,12165887853,7207483000,6744546000,18337500000,13725958000,13091359000,15404505000,22228602000,20013505000,21361606000,22819119000,26220721000,17060591000,26970580000,63908000000
24,Net Income ratio,0.2390,0.1147,-0.0558,0.0028,0.0479,0.0515,-0.0558,0.1734,0.1203,0.0763,0.0786,0.0972,0.0741,0.0675,0.0701,0.0866,0.0706,0.0777,0.0786,0.0707,0.0413,0.0565,0.1121
25,EPS,7.22,3.45,-1.25,0.08,1.63,2.40,-2.60,9.57,6.51,3.26,3.75,9.76,7.19,7.04,8.68,12.28,9.96,11.32,11.28,11.90,7.92,12.94,29.97
26,EPS Diluted,7.22,3.45,-1.25,0.08,1.63,2.34,-2.60,9.13,6.28,3.21,3.69,9.57,7.02,6.84,8.44,11.80,9.56,9.40,10.48,11.68,7.72,12.62,29.80
27,Weighted Average Shares Outstanding,1117839966,1654189900,1718611464,1631951280,1682331480,1750472270,1812086233,1819692072,1658396296,1907087172,1799013929,1879375197,1908042074,1859517045,1877419355,1921254072,1912751004,1916254417,2037943262,2122857143,2127525253,2132380216,2132380216
28,Weighted Average Shares Outstanding Diluted,1117839966,1654189900,1718611464,1631951280,1682331480,1800031217,1812086233,1906574005,1954872663,1907087172,1819800206,1916468128,1955743126,1893974000,1937231250,2055173500,2062379750,2071046750,2092310250,2125564500,2131383000,2144317000,2144317000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12020760542,14166488876,11770735961,10406643869,8553820693,5966782681,13298167840,15727657130,17158849981,26138930000,22557494000,23397557000,24421789000,20265551000,45026371000,51694410000,55251181000,38392524000,46078066000,51518436000,60130875000,51538071000,76073000000
32,Short-Term Investments,220153674,1682681978,4601189474,2042887033,3182003641,3189730478,4364201235,10902637697,11058928044,1267292000,5020235000,1697037000,846374000,4170386000,5419614000,7160700000,4166044000,3895194000,5784566000,13801694000,4893400000,4894260000,3075000000
33,Cash and Short-Term Investments,12240914216,15849170854,16371925434,12449530902,11735824333,9156513159,17662369075,26630294827,28217778026,27406222000,27577729000,25094594000,25268163000,24435937000,50445985000,58855110000,59417225000,42287718000,51862632000,65320130000,65024275000,56432331000,79148000000
34,Net Receivables,7597214217,9260562136,7126154872,9019965556,13103057036,14623422641,19493044140,12368374818,19685054726,12007138000,19038288000,34460454000,31168804000,37784770000,43808514000,53523244000,45529745000,52282789000,56513203000,85777302000,86692700000,101013649000,115462000000
35,Inventory,2493580525,3246324231,2768426972,3139095770,4687063179,9424088428,7777170960,5673141032,5597165259,4991711000,4955227000,23296149000,13920757000,32073060000,34870491000,44149571000,48971817000,45625577000,34080427000,46688059000,45300476000,61988104000,73245000000
36,Other Current Assets,1437049814,2431589200,3383147340,2487513137,1900373661,2640760608,2864151960,4083483270,3405072196,1961780000,9841758000,2747728000,19773966000,3748556000,3051492000,3427265000,2814053000,2593575000,2482010000,3773384000,4983667000,4578783000,24503000000
37,Total Current Assets,23768758771,30787646420,29649654619,27096105364,31426318209,35844784835,47796736135,48755293947,56905070207,46366851000,61413002000,85598925000,90131690000,98042323000,132176482000,159955190000,156732840000,142789659000,144938272000,201558875000,202001118000,224012867000,292358000000
38,PP&E,38790406387,60566186965,60555078650,63239063241,67272297200,82271978185,68217104390,73532416361,81792693333,84757984000,79363860000,99853912000,111779036000,130979456000,131497331000,151587115000,149997075000,143880241000,135168406000,214592588000,241885548000,241827936000,250547000000
39,Goodwill,- -,- -,- -,- -,- -,- -,2850373145,2830851854,3188298513,9456091000,9419005000,10408023000,10374501000,10306823000,10347820000,10445415000,10506519000,10558878000,9934494000,49974446000,50198436000,54777439000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,3331727304,748035095,604288269,1544269256,3135958000,2755243000,4840097000,5397914000,1758364000,1605824000,1467871000,1382093000,1560989000,1406865000,30897700000,29024392000,26808668000,75980000000
41,Intangible Assets,- -,- -,- -,- -,- -,3331727304,3598408240,3435140122,4732567769,12592049000,12174248000,15248120000,15772415000,12065187000,11953644000,11913286000,11888612000,12119867000,11341359000,80872146000,79222828000,81586107000,75980000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4327038000,5159990000,2400084000,2220728000,2365931000,2700480000,2776692000,38673635000,52181712000,51047257000,12590156000,15576905000,16871340000,23260000000
43,Tax Assets,- -,- -,- -,- -,2227979798,3832804941,4057252645,2512040507,1461471049,1629709000,1621017000,2067877000,1459103000,1844389000,3684702000,4265220000,5156515000,4536924000,4001821000,5108357000,4707704000,5477373000,- -
44,Other Non-Current Assets,16157498862,16987316454,16121610713,14783826641,13282819359,8482693848,7925317885,8784842742,7493772829,2516356000,2328779000,2970847000,2515123000,1206829000,4709444000,3221314000,2819572000,2442773000,17425157000,19339805000,13829603000,13801271000,30789000000
45,Total Non-Current Assets,54947905250,77553503419,76676689363,78022889882,82783096357,97919204278,83798083160,88264439733,95480504980,105823136000,100647894000,122540840000,133746405000,148461792000,154545601000,173763627000,208535409000,215161517000,218984000000,332503052000,355222588000,359564027000,380576000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,78716664021,108341149840,106326343982,105118995246,114209414567,133763989113,131594819295,137019733680,152385575187,152189987000,162060896000,208139765000,223878095000,246504115000,286722083000,333718817000,365268249000,357951176000,363922272000,534061927000,557223706000,583576894000,672934000000
48,Accounts Payable,3208844825,3859900338,2968776651,4056800152,- -,7868430794,10927389535,- -,149834593,5167347000,8954015000,24389249000,21191923000,24226701000,28988976000,35411281000,34138564000,35803984000,41672233000,56884116000,56065639000,73268234000,- -
49,Short-Term Debt,8527741280,13767945863,13166680218,13485774419,20558473569,6863676470,10636159975,15801527257,24867547885,11473245000,13960332000,17173532000,26426093000,40098703000,50625839000,44007040000,53726706000,37181433000,32385293000,54042503000,43334598000,41315355000,139936000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1265274000,1181485000,2739711000,2400592000,2784310000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167017000,19248000,480325000,2703706000,60550000,- -,- -,- -,- -,- -
52,Other Current Liabilities,6215688777,8245495996,5133462278,6905461129,7075790019,10436608203,9467492845,12204374664,10735486401,8630102000,11659742000,18171721000,19143869000,20210988000,22425734000,33781481000,32127333000,33923607000,34319211000,47705463000,54900065000,60008742000,70992000000
53,Total Current Liabilities,17952274882,25873342198,21268919147,24448035699,27634263588,25168715468,31031042355,28005901921,35752868879,25270694000,34574089000,59734502000,66761885000,84703409000,102059797000,113680127000,122696309000,106969574000,108376737000,158632082000,154300302000,174592331000,210928000000
54,Long-Term Debt,20935918362,22559037840,27879444574,28256453234,30809068586,46464721083,42973197220,29393760963,23937308574,51230492000,49080336000,52374500000,50166877000,44591685000,50163226000,55374555000,66234052000,73889555000,44126586000,144105231000,177414108000,156614367000,164311000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6709326,511456911,- -,- -,34634977,32393026,- -,25872466,150029183,151729000,180955000,372525000,624740000,946577000,2663767000,3932819000,4987549000,4856549000,4961487000,5806713000,5772237000,6551233000,- -
57,Other Non-Current Liabilities,4248131941,3666357308,3089301144,2787652278,586689349,2464881057,2468676950,2479325197,2800706908,3576330000,3511822000,3818913000,4042099000,3803376000,6091281000,5039922000,5144002000,5373733000,5147275000,6489979000,6934747000,14087803000,23062000000
58,Total Non-Current Liabilities,25190759629,26736852059,30968745718,31044105512,31430392913,48961995166,45441874170,31898958627,26888044664,54958551000,52773113000,56565938000,54833716000,49341638000,58918274000,64347296000,76365603000,84119837000,54235348000,156401923000,190121092000,177253403000,187373000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,197242466,202242750,67874493,24518388,39060000,15773000,39620000,66086000,50696000,- -,- -,- -,- -,- -,- -,5808925000,5875830000,- -
61,Total Liabilities,43143034511,52610194256,52237664865,55492141211,59064656500,74130710633,76472916525,59904860547,62640913543,80229245000,87347202000,116300440000,121595601000,134045047000,160978071000,178027423000,199061912000,191089411000,162612085000,315034005000,344421394000,351845734000,398301000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20154846235,27519997688,32548011680,32625496876,35766827881,40942787831,45691833055,45917990270,54478495737,56904278000,54798783000,60519872000,67571325000,76047667000,78180258000,78715179000,79185660000,79568040000,87380787000,43217144000,43305287000,43515920000,- -
