,https://roic.ai/company/DESP,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,421711000,411162000,523940000,530614000,524876000,131334000,322843000
2,COGS,154213000,126675000,142479000,172110000,179565000,85676000,157003000
3,Gross Profit,267498000,284487000,381461000,358504000,345311000,45658000,165840000
4,Gross Profit Ratio,0.6343,0.6919,0.7281,0.6756,0.6579,0.3476,0.5137
5,Research and Development Exp.,73535000,63251000,71308000,71154000,73375000,67043000,74743000
6,General and Administrative Exp.,78181000,64683000,72626000,67240000,92962000,94997000,86907000
7,Selling and Marketing Exp.,170149000,121466000,166288000,174357000,187894000,57292000,95290000
8,"Selling, General and Administrative Exp.",248330000,186149000,238914000,241597000,280856000,152289000,182197000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,321865000,249400000,310222000,312751000,354231000,219332000,256940000
11,COGS and Expenses,476078000,376075000,452701000,484861000,533796000,305008000,413943000
12,Interest Income ,10797000,8327000,2389000,7621000,7944000,3857000,- -
13,Interest Expense (Gain),23702000,15079000,19268000,26788000,25159000,- -,- -
14,Depreciation and Amortization,14439000,12924000,13826000,15125000,26719000,33242000,39526000
15,EBITDA,-29131000,56338000,87454000,68136000,25743000,-128509000,-65334000
16,EBITDA ratio,-0.0691,0.1370,0.1669,0.1284,0.0490,-0.9785,-0.2024
17,Operating Income,-54367000,35087000,71239000,45390000,-8920000,-177217000,-95864000
18,Operating Income ratio,-0.1289,0.0853,0.1360,0.0855,-0.0170,-1.3494,-0.2969
19,Total Other Income Expenses (Gains),-12905000,-6752000,-16879000,-19167000,-17215000,15184000,-10233000
20,Income Before Tax,-67272000,28335000,54360000,26223000,-26135000,-162033000,-106097000
21,Income Before Tax Ratio,-0.1595,0.0689,0.1038,0.0494,-0.0498,-1.2337,-0.3286
22,Income Tax expense (Gain),18004000,10538000,11994000,7069000,-5225000,-21384000,-2486000
23,Net Income,-85276000,17797000,42366000,19154000,-20910000,-140367000,-102374000
24,Net Income ratio,-0.2022,0.0433,0.0809,0.0361,-0.0398,-1.0688,-0.3171
25,EPS,-1.27,0.27,0.69,0.28,-0.30,-2.06,-1.58
26,EPS Diluted,-1.27,0.26,0.69,0.27,-0.30,-2.06,-1.58
27,Weighted Average Shares Outstanding,67182110,67182110,61457000,69235699,69465000,73001000,69465000
28,Weighted Average Shares Outstanding Diluted,69097610,69097610,61548000,69235699,70615000,73001000,69465000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1703141/000119312518128984/d534838d20f.htm,https://www.sec.gov/Archives/edgar/data/1703141/000119312519122677/d710852d20f.htm,https://www.sec.gov/Archives/edgar/data/1703141/000119312520103936/d908027d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,102116000,75968000,371013000,346480000,309187000,334430000,246078000
32,Short-Term Investments,40013000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,142129000,75968000,371013000,346480000,309187000,334430000,246078000
34,Net Receivables,77344000,143920000,227392000,270143000,270173000,87809000,151971000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,33097000,29340000,35303000,41138000,37084000,80101000,88924000
37,Total Current Assets,252570000,249228000,633708000,657761000,616444000,502340000,486973000
38,PP&E,15168000,13717000,16171000,19716000,62843000,54213000,41765000
39,Goodwill,38554000,38894000,38733000,36207000,46956000,117756000,122426000
40,Intangible Assets,27226000,31412000,35424000,37512000,49619000,98445000,88483000
41,Intangible Assets,65780000,70306000,74157000,73719000,96575000,216201000,210909000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,4658000,12751000,25351000,- -,- -
44,Other Non-Current Assets,14697000,20459000,10000000,- -,- -,71988000,84102000
45,Total Non-Current Assets,95645000,104482000,104986000,106186000,184769000,342402000,336776000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,348215000,353710000,738694000,763947000,801213000,844742000,823749000
48,Accounts Payable,143683000,123529000,213164000,219290000,266627000,261989000,315107000
49,Short-Term Debt,2019000,7179000,8220000,31162000,25707000,17540000,22239000
50,Tax Payable,8234000,14914000,5517000,8586000,10958000,32955000,- -
51,Deferred Revenue,36681000,29095000,30113000,8229000,8853000,9324000,13556000
52,Other Current Liabilities,101112000,128348000,136109000,130481000,139621000,96670000,122851000
53,Total Current Liabilities,283495000,288151000,387606000,389162000,440808000,385523000,473753000
54,Long-Term Debt,- -,- -,- -,- -,- -,10367000,32319000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,147853000,147822000,133130000,127211000,166169000,355999000,344556000
58,Total Non-Current Liabilities,147853000,147822000,133130000,127211000,166169000,366366000,376875000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,40967000,37285000,27875000
61,Total Liabilities,431348000,435973000,520736000,516373000,606977000,751889000,850628000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6000,6000,253535000,255254000,261608000,265697000,279931000
64,Retained Earnings,-427779000,-409982000,-367616000,-305600000,-326510000,-467951000,-572552000
65,Other Comprehensive Income/Loss,33059000,15558000,15595000,2323000,-118000,-13308000,-18588000
66,Other Total Stockholders Equity,311581000,312155000,316444000,295597000,259256000,309292000,281734000
67,Total Stockholders Equity,-83133000,-82263000,217958000,247574000,194236000,93730000,-29475000
68,Total Liabilities And Stockholders Equity,348215000,353710000,738694000,763947000,801213000,845619000,821153000
69,Minority Interest,- -,- -,- -,- -,- -,-877000,2596000
70,Total Liabilities & Equity,348215000,353710000,738694000,763947000,801213000,844742000,823749000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1703141/000119312518128984/d534838d20f.htm,https://www.sec.gov/Archives/edgar/data/1703141/000119312519122677/d710852d20f.htm,https://www.sec.gov/Archives/edgar/data/1703141/000119312520103936/d908027d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-85276000,17797000,42366000,19154000,-20910000,-140367000,-102374000
74,Depreciation and Amortization,14439000,12924000,13826000,15125000,26719000,33242000,39526000
75,Deferred Income Tax,8340000,3846000,5507000,2876000,-9666000,-21424000,-14881000
76,Stock Based Compensation,861000,574000,4289000,6766000,11686000,7312000,12338000
77,Change in Working Capital,19697000,-83467000,-5369000,-64393000,21939000,-32840000,11421000
78,Accounts Receivable,-22834000,-71389000,-85383000,-54705000,13823000,103307000,-70976000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,7610000,-34016000,101198000,47066000,-2808000,-113638000,66175000
81,Other Working Capital,5766000,-5628000,2461000,6009000,628000,10000,5207000
82,Other Non-Cash Items,17690000,5034000,607000,2852000,14470000,50221000,15762000
83,Cash Provided by Operating Activities,-24249000,-43292000,61226000,-17620000,44238000,-103856000,-38208000
84,CAPEX,-20637000,-16578000,-21675000,-26579000,-30556000,-17528000,-21191000
85,Acquisitions Net,- -,- -,- -,- -,-228000,2743000,-5750000
86,Purchases of Investments,-40013000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,40013000,- -,- -,- -,- -,- -
88,Other Investing Activites,-20336000,-9051000,3414000,- -,- -,-13789000,-18822000
89,Cash Used for Investing Activites,-80986000,14384000,-18261000,-26579000,-30784000,-14784000,-26940000
90,Debt Repayment,-50000000,- -,-29574000,-42177000,-67159000,-54805000,-5518000
91,Common Stock Issued,267593000,- -,253529000,- -,- -,- -,- -
92,Common Stock Repurchased,-45000000,- -,- -,-26030000,-42237000,- -,- -
