,https://roic.ai/company/SCTC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,309000,491000,387000
2,COGS,- -,- -,- -,- -,- -,- -,- -,542000,994000,1108000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-233000,-503000,-721000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-0.7540,-1.0244,-1.8630
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,274000,725000,- -
6,General and Administrative Exp.,- -,- -,39682,25304,64049,33408,23373,1117000,3035000,5481000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,183000,443000,908000
8,"Selling, General and Administrative Exp.",- -,- -,39682,25304,64049,33408,23373,1300000,3478000,6389000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,39682,25304,64049,33408,23373,1574000,4203000,6389000
11,COGS and Expenses,- -,- -,39682,25304,64049,33408,23373,2116000,5197000,7497000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,41000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,261,2774,4602,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,6000,66000,114000
15,EBITDA,- -,- -,-39682,-25304,-64049,-33408,-23373,-1821000,-4599000,-8873000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.8932,-9.3666,-22.9276
17,Operating Income,- -,- -,-39682,-25304,-64049,-33408,-23373,-1807000,-4706000,-7110000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.8479,-9.5845,-18.3721
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-261,47226,-4602,-20000,41000,-1877000
20,Income Before Tax,- -,- -,-39682,-25304,-64310,13818,-27975,-1827000,-4665000,-8987000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-5.9126,-9.5010,-23.2222
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,2000,2000,- -
23,Net Income,- -,- -,-39682,-25304,-64310,13818,-27975,-1829000,-4667000,-8987000
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-5.9191,-9.5051,-23.2222
25,EPS,- -,- -,-0.18,-0.09,-0.27,0.09,-0.09,-0.99,-1.35,-2.55
26,EPS Diluted,- -,- -,-0.18,-0.09,-0.27,0.09,-0.09,-0.99,-1.35,-2.55
27,Weighted Average Shares Outstanding,- -,- -,275430,281075,281075,281075,281075,1798887,3528107,3528107
28,Weighted Average Shares Outstanding Diluted,- -,- -,275430,281075,281075,281075,281075,1798887,3528107,3528107
