,https://roic.ai/company/ALXO,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,2067000,4796000,1182000,- -
2,COGS,1880000,4360000,1075000,- -
3,Gross Profit,187000,436000,107000,- -
4,Gross Profit Ratio,0.0905,0.0909,0.0905,- -
5,Research and Development Exp.,11270000,16306000,28961000,60170000
6,General and Administrative Exp.,2601000,3313000,14809000,23385000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2601000,3313000,14809000,23385000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,13871000,19619000,43770000,83555000
11,COGS and Expenses,15751000,23979000,44845000,- -
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,21000,811000,-13000
14,Depreciation and Amortization,431000,429000,202000,51000
15,EBITDA,-13255000,-18759000,-44486000,-83446000
16,EBITDA ratio,-6.4127,-3.9114,-37.6362,-Infinity
17,Operating Income,-13684000,-19183000,-43663000,-83555000
18,Operating Income ratio,-6.6202,-3.9998,-36.9399,-Infinity
19,Total Other Income Expenses (Gains),-2000,-26000,-1836000,71000
20,Income Before Tax,-13686000,-19209000,-45499000,-83484000
21,Income Before Tax Ratio,-6.6212,-4.0052,-38.4932,-Infinity
22,Income Tax expense (Gain),45000,34000,241000,21000
23,Net Income,-13731000,-19243000,-45740000,-83505000
24,Net Income ratio,-6.6430,-4.0123,-38.6971,-Infinity
25,EPS,-0.79,-1.34,-2.76,-4.52
26,EPS Diluted,-0.79,-1.34,-2.76,-4.52
27,Weighted Average Shares Outstanding,21951361,14330300,18485343,18485343
28,Weighted Average Shares Outstanding Diluted,21951361,14330300,18485343,18485343
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810182/000156459021014169/0001564590-21-014169-index.htm,https://www.sec.gov/Archives/edgar/data/1810182/000156459022007364/0001564590-22-007364-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,8262000,9017000,434219000,363667000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,8262000,9017000,434219000,363667000
34,Net Receivables,932000,536000,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,1014000,256000,1773000,3352000
37,Total Current Assets,10208000,9809000,435992000,367019000
38,PP&E,956000,860000,52000,897000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,7000,10000,12267000
45,Total Non-Current Assets,956000,867000,62000,13164000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,11164000,10676000,436054000,380183000
48,Accounts Payable,697000,3748000,4000,3764000
49,Short-Term Debt,- -,- -,- -,- -
50,Tax Payable,- -,- -,179000,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,1176000,1236000,6200000,11531000
53,Total Current Liabilities,1873000,4984000,6204000,15295000
54,Long-Term Debt,- -,5421000,- -,- -
55,Deferred Revenue,136000,135000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,412000,5000,1839000
58,Total Non-Current Liabilities,136000,5968000,5000,1839000
59,Other Liabilities,- -,- -,- -,- -
