,https://roic.ai/company/ARR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,497461,9388286,12176396,247656000,-149903000,-141450000,5744000,-14498000,216985000,-68941000,-211425000,-22207000,19170000
2,COGS,- -,- -,14153,1319333,11855947,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,483308,8068953,320449,- -,- -,- -,- -,- -,- -,- -,211425000,- -,- -
4,Gross Profit Ratio,- -,- -,0.9715,0.8595,0.0263,- -,- -,- -,- -,- -,- -,- -,-1.0000,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,255098,1265954,8458185,21588000,31731000,31379000,30273000,29340000,29716000,31680000,34173000,6339000,7401000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",163275,2309375,255098,1265954,8458185,2129000,3590000,3522000,2981000,3270000,3134000,4434000,4602000,6339000,7401000
9,Other Expenses,- -,- -,161390,417509,1253005,22871000,33410000,34478000,30019000,31730000,30866000,32566000,32398000,-1084000,-2340000
10,Operating Expenses,- -,- -,416488,1683463,9711190,25000000,37000000,38000000,33000000,35000000,34000000,37000000,37000000,- -,- -
11,COGS and Expenses,163275,2309375,430641,3002796,21567137,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,388994000,505443000,450927000,365300000,263995000,254433000,283148000,439565000,169754000,80791000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,61195000,83218000,65113000,59278000,73107000,94558000,154230000,288229000,62971000,7110000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53909000,- -,- -
15,EBITDA,- -,- -,-1543617,6385490,-9390741,283477000,-103836000,-113935000,28073000,27590000,275712000,48264000,92233000,-152141000,22473000
16,EBITDA ratio,- -,- -,-3.1030,0.6802,-0.7712,1.1446,0.6927,0.8055,4.8874,-1.9030,1.2707,-0.7001,-0.4362,6.8510,1.1723
17,Operating Income,-163275,-2309375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1652252,5425560,-1610437,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1488977,3116185,-1543617,6385490,-9390741,222282000,-187054000,-179048000,-31205000,-45517000,181154000,-105966000,-249905000,-215112000,15363000
21,Income Before Tax Ratio,Infinity,Infinity,-3.1030,0.6802,-0.7712,0.8975,1.2478,1.2658,-5.4326,3.1395,0.8349,1.5371,1.1820,9.6867,0.8014
22,Income Tax expense (Gain),621662,2041750,-394190,-151367,51313,-24000,-10000,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,867315,1074435,-1149427,6536857,-9442054,222306000,-187044000,-179048000,-31205000,-45517000,181154000,-105966000,-249905000,-215112000,15363000
24,Net Income ratio,Infinity,Infinity,-2.3106,0.6963,-0.7754,0.8976,1.2478,1.2658,-5.4326,3.1395,0.8349,1.5371,1.1820,9.6867,0.8014
25,EPS,0.56,0.16,-0.88,8.96,-1.20,7.92,-4.40,-4.32,-1.09,-1.67,4.22,-2.92,-4.59,-3.57,0.24
26,EPS Diluted,0.40,0.16,-0.88,8.96,-1.20,7.84,-4.40,-4.32,-1.09,-1.67,4.17,-2.92,-4.59,-3.57,0.24
27,Weighted Average Shares Outstanding,1623791,2968750,2557458,731821,7677647,27953375,45353750,44654125,42780000,36698000,39170000,42128000,57833000,63070000,63070000
28,Weighted Average Shares Outstanding Diluted,2016233,2968750,2557458,731821,7677647,28032875,45353750,44654125,42780000,36698000,39642000,42128000,57833000,63070000,63070000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1428205/000139843211000258/i11266.htm,https://www.sec.gov/Archives/edgar/data/1428205/000139843212000199/0001398432-12-000199-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000143774913001878/0001437749-13-001878-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000144530514000633/arr10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820515000051/arr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820516000300/0001428205-16-000300-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820517000035/0001428205-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820518000036/0001428205-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820519000045/0001428205-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820520000085/0001428205-20-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820521000051/0001428205-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820522000026/0001428205-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33381,834194,6653331,35343907,252372445,771282000,496478000,494561000,289925000,271773000,265232000,221668000,181395000,167671000,337664000
32,Short-Term Investments,- -,- -,118648724,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5178322000,- -
33,Cash and Short-Term Investments,33381,834194,125302055,35343907,252372445,771282000,496478000,494561000,289925000,271773000,265232000,221668000,181395000,5345993000,337664000
34,Net Receivables,- -,- -,879544,7082557,414061262,739711000,42104000,302606000,34537000,18452000,22165000,22505000,35085000,12833000,10570000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,137656,62881,461646,4946806,147638363,18412281000,14648108000,15036838000,12461519000,6511164000,7478966000,7051954000,-35085000,- -,- -
37,Total Current Assets,171037,897075,126643245,47373270,814072070,19923274000,15186690000,15834005000,12785981000,6801389000,7766363000,7296127000,181395000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
