,https://roic.ai/company/ABUS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1227372,1140395,1767901,3459447,5072132,2732099,12169619,13291042,13604332,15923349,9639750,13779406,21351323,16304548,14180793,15464150,14953000,24873000,1491000,10700000,5945000,6011000,6914000,10988000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,6186097,- -,13248318,16965313,22130442,19489686,18125426,21458258,38713000,51505000,61253000,62676000,57934000,57601000,47481000,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,7418234,15923349,-3608568,-3185907,-779119,-3185138,-3944634,-5994108,-23760000,-26632000,-59762000,-51976000,-51989000,-51590000,-40567000,10988000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.5453,1.0000,-0.3743,-0.2312,-0.0365,-0.1954,-0.2782,-0.3876,-1.5890,-1.0707,-40.0818,-4.8576,-8.7450,-8.5826,-5.8674,1.0000
5,Research and Development Exp.,8650737,7746311,8716006,12848985,21608641,23705879,22316491,8763227,4525637,8429989,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47481000,65502000
6,General and Administrative Exp.,1330500,1567119,2254821,3101327,5524942,6784786,7756832,3784925,3853303,4442618,3618758,3965753,4779980,6182651,26892606,5546273,8683000,26438000,39438000,16129000,16002000,17727000,14724000,17136000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1330500,1567119,2254821,3101327,5524942,6784786,7756832,3784925,3853303,4442618,3618758,3965753,4779980,6182651,26892606,5546273,8683000,26438000,39438000,16129000,16002000,17727000,14724000,17136000
9,Other Expenses,- -,-0,- -,3920655,5655470,6887237,5477765,1830594,720514,411652,1114846,1914248,6954210,955448,-64507463,612837,529000,589000,1092000,2027000,2181000,2028000,-45503000,1872000
10,Operating Expenses,9981237,9313429,10970827,19870967,32789054,37377902,35551089,14378746,9099454,13284259,4733604,5880001,11734191,7138099,-37614857,6159110,9212000,27027000,40530000,18156000,18183000,19755000,16702000,84510000
11,COGS and Expenses,9981237,9313429,10970827,19870967,32789054,37377902,35551089,14378746,15285551,13284259,17981922,22845314,33864633,26627785,27172770,27617368,47925000,78532000,101783000,80832000,76117000,77356000,64183000,- -
12,Interest Income ,- -,- -,- -,1031093,1020939,1140390,750852,439392,316809,1022703,738373,156333,106940,122284,138949,539996,853000,674000,1391000,1538000,3047000,2111000,741000,127000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000,226000,2108000,4011000,-2857000
14,Depreciation and Amortization,989779,1304540,1257163,3850999,5585033,6801724,1200167,2397486,599774,411652,1114846,1914248,1038407,955448,869537,612837,529000,589000,1092000,2027000,2181000,2028000,1978000,1753000
15,EBITDA,-7764086,-6868493,-7945763,-10164236,-21209309,-27274763,-26849712,-5273548,18677995,-2170919,-10603251,-7411420,-11375087,-8777095,30817415,-13451389,-38308000,-76717000,-488074000,-106445000,-58935000,-162243000,-57756000,-77351000
16,EBITDA ratio,-6.3258,-6.0229,-4.4945,-2.9381,-4.1815,-9.9831,-2.2063,-0.3968,1.3729,-0.1363,-1.1000,-0.5379,-0.5328,-0.5383,2.1732,-0.8698,-2.5619,-3.0843,-327.3467,-9.9481,-9.9134,-26.9910,-8.3535,-7.0396
17,Operating Income,-8753865,-8173034,-9202926,-16411520,-27716922,-34645803,-27634845,-5957897,-1681219,2639090,-10949028,-9065908,-12513310,-10323237,-12991978,-12153218,-32972000,-102322000,-491639000,-110930000,-89780000,-144074000,-57806000,-73522000
18,Operating Income ratio,-7.1322,-7.1668,-5.2056,-4.7440,-5.4646,-12.6810,-2.2708,-0.4483,-0.1236,0.1657,-1.1358,-0.6579,-0.5861,-0.6332,-0.9162,-0.7859,-2.2050,-4.1138,-329.7378,-10.3673,-15.1018,-23.9684,-8.3607,-6.6911
19,Total Other Income Expenses (Gains),- -,- -,- -,455258,- -,- -,-2167555,-1713137,19759441,-5221661,-769069,-416093,-7124,468410,42939856,-1911008,-5865000,25016000,2473000,2197000,28438000,-22305000,-5939000,-2725000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-7671034,18078222,-2582571,-11718097,- -,- -,- -,29947879,-14064226,-38837000,-77306000,-489166000,-108733000,-61342000,-166379000,-63745000,-76247000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-0.5772,1.3289,-0.1622,-1.2156,- -,- -,- -,2.1119,-0.9095,-2.5973,-3.1080,-328.0791,-10.1620,-10.3183,-27.6791,-9.2197,-6.9391
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,388324,-2306,- -,- -,- -,- -,- -,- -,- -,- -,-16185000,-105002000,-24320000,-4282000,-12656000,- -,- -
23,Net Income,-8753865,-8173034,-9202926,-14015235,-26794342,-34076487,-28049879,-8059359,18080528,-2582571,-11718097,-9325668,-12413494,-9732543,29947879,-14064226,-38837000,-61121000,-384164000,-84413000,-57060000,-153723000,-63745000,-76247000
24,Net Income ratio,-7.1322,-7.1668,-5.2056,-4.0513,-5.2827,-12.4726,-2.3049,-0.6064,1.3290,-0.1622,-1.2156,-0.6768,-0.5814,-0.5969,2.1119,-0.9095,-2.5973,-2.4573,-257.6553,-7.8891,-9.5980,-25.5736,-9.2197,-6.9391
25,EPS,-4.03,-2.90,-1.87,-2.76,-4.32,-5.09,-3.66,-1.03,2.36,-0.56,-1.44,-0.91,-1.20,-0.86,2.18,-0.92,-1.73,-1.34,-7.24,-1.56,-1.21,-2.89,-1.00,-0.83
26,EPS Diluted,-4.03,-2.90,-1.87,-2.76,-4.32,-5.09,-3.66,-1.03,2.36,-0.56,-1.44,-0.91,-1.20,-0.86,2.09,-0.92,-1.73,-1.34,-7.24,-1.56,-1.21,-2.89,-1.00,-0.83
27,Weighted Average Shares Outstanding,2163746,2817151,4936942,5070903,6203324,6695358,7704402,7713357,7713357,4769653,8116349,10325807,10332941,11318766,13727925,15302680,22438169,45462324,53052486,54102564,55304083,57093454,75835378,106242452
28,Weighted Average Shares Outstanding Diluted,2163746,2817151,4936942,5070903,6203324,6695358,7704402,7713357,7715830,4769653,8116349,10325807,10332941,11318766,14320814,15302680,22438169,45462324,53052486,54102564,55304083,57093454,75835378,106242452
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447028/000117184314001457/0001171843-14-001457-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184315001398/0001171843-15-001398-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828016012462/0001628280-16-012462-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828017002760/0001628280-17-002760-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828018003276/0001628280-18-003276-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702819000006/0001447028-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702820000038/0001447028-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702821000021/0001447028-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702822000019/0001447028-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,797591,10907135,2048213,25634242,20504450,35555846,24993575,10481335,4865089,21130482,21543420,23300296,12344035,8995234,47028656,68716531,72187000,166779000,23413000,54292000,36942000,31799000,52251000,155317000
32,Short-Term Investments,5659885,8707515,21925527,21928216,17666868,3649288,- -,- -,- -,- -,4708716,- -,- -,- -,- -,- -,39974000,14525000,107146000,72060000,87675000,59035000,71017000,155317000
33,Cash and Short-Term Investments,6457476,19614650,23973741,47562458,38171318,39205134,24993575,10481335,4865089,21130482,26252136,23300296,12344035,8995234,47028656,68716531,112161000,181304000,130559000,126352000,124617000,90834000,123268000,310634000
34,Net Receivables,212381,532009,801058,1995293,520376,390248,1799814,259964,604550,1837967,519671,1273066,3721714,1368346,3458981,369140,2527000,1382000,694000,870000,1820000,1204000,1312000,5344000
35,Inventory,- -,- -,208309,- -,- -,- -,- -,- -,- -,215106,143405,- -,150707,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,148230,71219,246806,220799,201221,500868,1940813,180093,65245,110223,414801,216771,1689507,1187559,760763,1256982,1730000,1196000,1311000,2144000,2792000,1790000,3124000,-155317000
37,Total Current Assets,6818087,20217878,25229914,49778549,38892916,40096250,28734202,10921391,5534884,23293778,27330012,24790133,17905962,11551139,51248400,70342653,116418000,183882000,132564000,129366000,129229000,93828000,127704000,160661000
38,PP&E,3015381,2876675,2432139,2789779,3744068,4097240,3431473,953306,499745,1540500,2144776,2685837,3112918,2152379,1351861,1373157,1760000,3183000,6945000,12183000,10145000,11414000,9332000,8075000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162514000,24364000,24364000,22471000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12867279,14470853,- -,- -,- -,- -,- -,352642000,99445000,58647000,43836000,- -,- -,- -
