,https://roic.ai/company/MTTR,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,85884000,111174000
2,COGS,37945000,51203000
3,Gross Profit,47939000,59971000
4,Gross Profit Ratio,0.5582,0.5394
5,Research and Development Exp.,17710000,55379000
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",- -,152360000
9,Other Expenses,41791000,- -
10,Operating Expenses,59501000,207739000
11,COGS and Expenses,97446000,258942000
12,Interest Income ,19000,1811000
13,Interest Expense (Gain),1501000,-676000
14,Depreciation and Amortization,4778000,5824
15,EBITDA,-7665000,-338947176
16,EBITDA ratio,-0.0892,-3.0488
17,Operating Income,-11562000,-147768000
18,Operating Income ratio,-0.1346,-1.3292
19,Total Other Income Expenses (Gains),-2382000,-190509000
20,Income Before Tax,-13944000,-338277000
21,Income Before Tax Ratio,-0.1624,-3.0428
22,Income Tax expense (Gain),77000,-217000
23,Net Income,-14021000,-338060000
24,Net Income ratio,-0.1633,-3.0408
25,EPS,-0.06,-2.58
26,EPS Diluted,-0.06,-2.58
27,Weighted Average Shares Outstanding,241956549,131278000
28,Weighted Average Shares Outstanding Diluted,241956549,131278000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1819394/000156459021028777/0001564590-21-028777-index.htm,https://www.sec.gov/Archives/edgar/data/1819394/000181939422000023/0001819394-22-000023-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,51850000,139519000
32,Short-Term Investments,- -,264931000
33,Cash and Short-Term Investments,51850000,404450000
34,Net Receivables,3924000,10879000
35,Inventory,3646000,5593000
36,Other Current Assets,2853000,16781000
37,Total Current Assets,62273000,437703000
38,PP&E,8210000,14118000
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,263659000
43,Tax Assets,- -,- -
44,Other Non-Current Assets,1369000,3696000
45,Total Non-Current Assets,9579000,281473000
46,Other Assets,- -,- -
47,Total Assets,71852000,719176000
48,Accounts Payable,3434000,12227000
49,Short-Term Debt,8215000,- -
50,Tax Payable,1164000,- -
51,Deferred Revenue,4606000,11074000
52,Other Current Liabilities,6995000,10026000
53,Total Current Liabilities,23250000,33327000
54,Long-Term Debt,4502000,- -
55,Deferred Revenue,297000,874000
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,164503000,416812000
58,Total Non-Current Liabilities,169302000,417686000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,192552000,451013000
62,Preferred Stock,- -,- -
63,Common Stock,4000,25000
64,Retained Earnings,-129998000,-468058000
65,Other Comprehensive Income/Loss,135000,-1539000
66,Other Total Stockholders Equity,- -,737735000
67,Total Stockholders Equity,-120700000,268163000
68,Total Liabilities And Stockholders Equity,71852000,719176000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,71852000,719176000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1819394/000156459021028777/0001564590-21-028777-index.htm,https://www.sec.gov/Archives/edgar/data/1819394/000181939422000023/0001819394-22-000023-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-14021000,-338060000
74,Depreciation and Amortization,4778000,5824
75,Deferred Income Tax,- -,-385
76,Stock Based Compensation,2505000,100605
77,Change in Working Capital,1121000,365353000
78,Accounts Receivable,-3264000,-7170
79,Inventory,-1731000,-1946
80,Accounts Payable,616000,8812
81,Other Working Capital,39023000,404376000
82,Other Non-Cash Items,2020000,-27437852
83,Cash Provided by Operating Activities,-3597000,-38808
84,CAPEX,-4884000,-8010
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,-532561
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,-4854000,-8450
89,Cash Used for Investing Activites,-4884000,-541821
90,Debt Repayment,-8049000,-13067
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,-438000,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,58949000,681516
95,Cash Used/Provided by Financing Activities,50462000,668449
96,Effect of Forex Changes on Cash,117000,-83
97,Net Change In Cash,42098000,87737
98,Cash at the End of Period,52250000,139987
99,Cash at the Beginning of Period,10152000,52250
100,Free Cash Flow,-8481000,-46818
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1819394/000156459021028777/0001564590-21-028777-index.htm,https://www.sec.gov/Archives/edgar/data/1819394/000181939422000023/0001819394-22-000023-index.htm
102,false,,
