,https://roic.ai/company/CCNC,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,38751770,1453080,19584480,11852883,25029949
2,COGS,- -,- -,19234020,1119170,19022240,10748354,16779949
3,Gross Profit,- -,- -,19517750,333910,562240,1104529,8250000
4,Gross Profit Ratio,- -,- -,0.5037,0.2298,0.0287,0.0932,0.3296
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,627580,8233160,747820,851640,1727741,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,627580,8233160,747820,851640,1727741,22896602
9,Other Expenses,257570,-1,-7326881,1644744,-2,330045,- -
10,Operating Expenses,257570,627579,906279,2392564,851638,2057786,22896602
11,COGS and Expenses,257570,627580,31305450,1866990,19873880,12806140,39676551
12,Interest Income ,- -,85963,332524,2410,2022,8123,51233
13,Interest Expense (Gain),23360,85960,-172560,-16890,-20200,18235,96
14,Depreciation and Amortization,- -,- -,- -,671707,113950,20010,1299
15,EBITDA,-210850,-455660,5994860,2109137,-16603790,2488186,-25674356
16,EBITDA ratio,-Infinity,-Infinity,0.1547,1.4515,-0.8478,0.2099,-1.0257
17,Operating Income,- -,-627579,-906279,2127059,-289403,-953257,-14646602
18,Operating Income ratio,- -,-Infinity,-0.0234,1.4638,-0.0148,-0.0804,-0.5852
19,Total Other Income Expenses (Gains),23360,85959,7073699,-2527859,3923,-3895433,117918
20,Income Before Tax,-234210,-541620,6167420,-400800,-285480,-4848690,-14528684
21,Income Before Tax Ratio,-Infinity,-Infinity,0.1592,-0.2758,-0.0146,-0.4091,-0.5805
22,Income Tax expense (Gain),- -,- -,1953940,4330,128800,-60515,1295141
23,Net Income,-234210,-541620,4213480,1449990,-16826340,2510456,-26970892
24,Net Income ratio,-Infinity,-Infinity,0.1087,0.9979,-0.8592,0.2118,-1.0775
25,EPS,-0.06,-0.10,-0.11,0.06,-0.79,0.09,-0.95
26,EPS Diluted,-0.06,-0.10,-0.11,0.06,-0.79,0.09,-0.95
27,Weighted Average Shares Outstanding,4182820,5125000,5125000,23349524,21212735,28452328,28452328
28,Weighted Average Shares Outstanding Diluted,4182820,5125000,5125000,23349524,21212735,28452328,28452328
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1641398/000121390016011910/0001213900-16-011910-index.htm,https://www.sec.gov/Archives/edgar/data/1641398/000121390017002919/0001213900-17-002919-index.htm,https://www.sec.gov/Archives/edgar/data/1641398/000121390018003859/0001213900-18-003859-index.htm,https://www.sec.gov/Archives/edgar/data/1641398/000121390019005477/0001213900-19-005477-index.htm,https://www.sec.gov/Archives/edgar/data/1641398/000121390020012330/0001213900-20-012330-index.htm,https://www.sec.gov/Archives/edgar/data/1641398/000121390021017928/0001213900-21-017928-index.htm,https://www.sec.gov/Archives/edgar/data/1641398/000121390022016836/0001213900-22-016836-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,623044,150306,72178,726737,2483938,998717,14588330
32,Short-Term Investments,- -,- -,- -,- -,- -,3295070,- -
33,Cash and Short-Term Investments,623044,150306,72178,726737,2483938,4293787,14588330
34,Net Receivables,- -,- -,- -,4749299,2292883,1857157,728361
35,Inventory,- -,- -,- -,1965433,1197065,1047274,3714
36,Other Current Assets,188367,15580,10000,2218148,5613020,4780975,610948
37,Total Current Assets,811411,165886,82178,9659617,11586906,11979193,15931353
38,PP&E,- -,- -,- -,5761332,109307,151871,22733
39,Goodwill,- -,- -,- -,14339050,7289454,11650157,6590339
40,Intangible Assets,- -,- -,- -,2790095,- -,1226521,255
41,Intangible Assets,- -,- -,- -,17129145,7289454,12876678,6590594
42,Investments,- -,- -,40407026,- -,- -,-3291775,- -
43,Tax Assets,- -,- -,- -,205863,37532,127377,- -
44,Other Non-Current Assets,50023363,50109326,- -,97020,3424390,3291775,27990577
45,Total Non-Current Assets,50023363,50109326,40407026,23193360,10860683,13155926,34603904
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,50834774,50275212,40489204,32852977,22447589,25135119,50535257
