,https://roic.ai/company/SLNO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,3000000,- -,387555,1450788,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,352683,1509306,- -,- -,- -,- -,- -
3,Gross Profit,- -,3000000,- -,34872,-58518,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,0.0900,-0.0403,- -,- -,- -,- -,- -
5,Research and Development Exp.,2469913,2379832,2242216,4536244,5184803,3068742,7178000,16267000,23191000,21453000
6,General and Administrative Exp.,1127193,1466951,2665154,6140821,6736203,6584650,6556000,6930000,8758000,10806000
7,Selling and Marketing Exp.,- -,- -,252359,1737470,1630591,25731,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1127193,1466951,2917513,7878291,8366794,6610381,6556000,6930000,8758000,10806000
9,Other Expenses,- -,- -,- -,-219917,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3597106,3846783,5159729,12194618,13551597,9679123,13734000,23197000,31949000,32259000
11,COGS and Expenses,3597106,3846783,5159729,12547301,15060903,9679123,13734000,23197000,31949000,- -
12,Interest Income ,3096,1772,1085,- -,- -,- -,- -,- -,- -,110000
13,Interest Expense (Gain),2865463,2860267,4130394,- -,- -,- -,62000,- -,- -,- -
14,Depreciation and Amortization,43788,42114,28516,108228,131640,1611271,1963000,1958000,1954000,1963000
15,EBITDA,-3572633,-804862,-5131213,-15800318,-11911874,-8067852,-11771000,-21239000,-29995000,1963000
16,EBITDA ratio,-Infinity,-0.2683,-Infinity,-40.7692,-8.2106,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,-3597106,-846783,-5159729,-12159746,-13610115,-12171315,-14301000,-23486000,-36289000,- -
18,Operating Income ratio,-Infinity,-0.2823,-Infinity,-31.3755,-9.3812,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),-2884778,-2860460,-8714784,-3748800,1566601,-1553002,2460000,-7288000,11650000,- -
20,Income Before Tax,-6481884,-3707243,-13874513,-15908546,-12043514,-13724317,-11841000,-30774000,-24639000,-30910000
21,Income Before Tax Ratio,-Infinity,-1.2357,-Infinity,-41.0485,-8.3014,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,21700,-1650467,- -,- -,- -,- -
23,Net Income,-6481884,-3707243,-13874513,-15908546,-12065214,-15667425,-13335000,-30774000,-24639000,-30910000
24,Net Income ratio,-Infinity,-1.2357,-Infinity,-41.0485,-8.3163,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-23.13,-13.25,-54.60,-8.45,-5.05,-1.75,-0.64,-0.90,-0.39,-0.49
26,EPS Diluted,-23.13,-13.25,-54.60,-8.45,-5.05,-1.75,-0.64,-0.90,-0.39,-0.49
27,Weighted Average Shares Outstanding,280215,280215,254006,1885176,3101496,8977795,20975479,34142478,62620227,62620227
28,Weighted Average Shares Outstanding Diluted,280215,280215,254006,1885176,3101496,8977795,20975479,34142478,62620227,62620227
