,https://roic.ai/company/BICX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,771762,868161,714962,1170922,924732,701772,657271,376656,240259,122621,48272
2,COGS,- -,- -,- -,400414,402482,160187,220959,151970,175430,323608,170953,81670,95948,64328
3,Gross Profit,- -,- -,- -,371348,465679,554775,949963,772762,526342,333663,205703,158589,26673,-16056
4,Gross Profit Ratio,- -,- -,- -,0.4812,0.5364,0.7760,0.8113,0.8357,0.7500,0.5076,0.5461,0.6601,0.2175,-0.3326
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,450722,151768,1125098,4273815,1605907
6,General and Administrative Exp.,5021,13197,24157,712683,- -,2919625,3867047,2125882,2545311,2739967,4422600,4565346,3167577,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5021,13197,24157,712683,- -,2919625,3867047,2125882,2545311,2739967,4422600,4565346,3167577,3740783
9,Other Expenses,- -,- -,-1,2192,1088371,135515,135491,125070,30248,33888,7353,-1061648,173202,147361
10,Operating Expenses,5021,13197,24156,714875,1088371,3055140,4002538,2250952,2575559,3224577,4581721,4628796,7614594,5494051
11,COGS and Expenses,5021,13197,24156,1115289,1490853,3215327,4223497,2402922,2750989,3548185,4752674,4710466,7710542,5558379
12,Interest Income ,- -,- -,1070,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,65440,260246,310403,- -,- -,- -,- -,1959207,- -,510959,565684
14,Depreciation and Amortization,- -,- -,- -,1291,1988,135514,135491,125070,30248,33888,7353,96504,77254,64328
15,EBITDA,-5021,-13197,-24156,-342236,-621973,-3391005,-2992289,-4540920,-5873734,-29671781,-4545331,-5943126,-2918294,-4580626
