,https://roic.ai/company/HUSA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14814,25805,220600,1182063,2874648,3202731,4977172,10622050,8116275,19508894,1156178,411349,347139,363455,429435,165910,630392,2356660,997992,552345,1330198
2,COGS,11019,19397,183854,455667,1015124,1017440,1841119,3366740,4746295,8142444,854319,262352,106728,473130,904824,399985,377918,1272091,1228261,- -,- -
3,Gross Profit,3795,6408,36746,726396,1859524,2185291,3136053,7255310,3369980,11366450,301859,148997,240411,-109675,-475389,-234075,252474,1084569,-230269,552345,- -
4,Gross Profit Ratio,0.2562,0.2483,0.1666,0.6145,0.6469,0.6823,0.6301,0.6830,0.4152,0.5826,0.2611,0.3622,0.6925,-0.3018,-1.1070,-1.4109,0.4005,0.4602,-0.2307,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,197518,182293,327354,835829,1398102,1717428,3336440,2941085,5053641,4966490,5027024,3417292,2356519,1541294,1830670,2128667,1422560,1357723,1447298,1492580
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,197518,182293,327354,835829,1398102,1717428,3336440,2941085,5053641,4966490,5027024,3417292,2356519,1541294,1830670,2128667,1422560,1357723,1447298,1492580
9,Other Expenses,318482,24166,56434,211759,363196,887911,1099826,-1798545,1900631,-23997748,185931,1689039,- -,400000,- -,- -,- -,- -,- -,3287816,871816
10,Operating Expenses,318482,221684,238727,539113,1199025,2286013,2817254,1537895,4841716,-18944107,5152421,6716063,3417292,2756519,1541294,1830670,2128667,1422560,1357723,4735114,2364396
11,COGS and Expenses,329501,241081,422581,994780,2214149,3303453,4658373,4904635,9588011,-10801663,6006740,6978415,3524020,3229649,2446118,2230655,2506585,2694651,2585984,4735114,- -
12,Interest Income ,- -,- -,- -,- -,34191,496490,649792,295375,64882,65155,66852,10844,33238,7349,20533,7206,184,102,1961,12748,12964
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,4772,- -,- -,- -,- -,- -,- -,171605,- -,183972,31759,296
14,Depreciation and Amortization,37592,24166,56434,211759,363196,1036468,1122331,5816099,1897669,3156034,- -,- -,- -,- -,- -,- -,- -,- -,515047,364810,246
15,EBITDA,-895028,-370218,-287896,327042,100617,1035009,1742903,6207783,490815,33544610,-5906190,-56540526,-3185755,-4350996,-3811341,-2641625,-1866009,-251336,-1816675,-3640505,-1058189
16,EBITDA ratio,-60.4177,-14.3468,-1.3051,0.2767,0.0350,0.3232,0.3502,0.5844,0.0605,1.7195,-5.1084,-137.4515,-9.1772,-11.9712,-8.8752,-15.9220,-2.9601,-0.1066,-1.8203,-6.5910,-0.7955
17,Operating Income,-889018,-281979,-201981,187283,241055,-100722,-29220,96309,-1471736,30310557,-4850562,-56467207,-3217913,-3958342,-3734771,-2648831,-1876193,-337991,-2333683,-4182769,-1034198
18,Operating Income ratio,-60.0120,-10.9273,-0.9156,0.1584,0.0839,-0.0314,-0.0059,0.0091,-0.1813,1.5537,-4.1953,-137.2732,-9.2698,-10.8909,-8.6969,-15.9655,-2.9762,-0.1434,-2.3384,-7.5727,-0.7775
19,Total Other Income Expenses (Gains),-1148662,-133406,- -,- -,-503634,99263,649792,295375,64882,73247,-1055628,-73319,32158,-392654,-76570,7206,-161421,86655,-182011,145695,-24533
20,Income Before Tax,- -,- -,- -,- -,-262579,-1459,620572,391684,-1406854,30383804,-5906190,-56540526,-3185755,-4350996,-3811341,-2641625,-2037614,-251336,-2515694,-4037074,-1058731
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0913,-0.0005,0.1247,0.0369,-0.1733,1.5574,-5.1084,-137.4515,-9.1772,-11.9712,-8.8752,-15.9220,-3.2323,-0.1066,-2.5208,-7.3090,-0.7959
22,Income Tax expense (Gain),- -,- -,- -,- -,239201,510637,127116,-73261,-737406,9353864,-1570816,216923,-12274,2183,18865,- -,- -,- -,- -,- -,- -
23,Net Income,-932620,-394384,-344330,115283,-501780,-512096,493456,464945,-669448,21029940,-4335374,-56757449,-3173481,-4353179,-3830206,-2641625,-2037614,-251336,-2515694,-4037074,-1058731
24,Net Income ratio,-62.9553,-15.2832,-1.5609,0.0975,-0.1746,-0.1599,0.0991,0.0438,-0.0825,1.0780,-3.7497,-137.9788,-9.1418,-11.9772,-8.9192,-15.9220,-3.2323,-0.1066,-2.5208,-7.3090,-0.7959
25,EPS,-1.00,-0.38,-0.25,0.13,-0.38,-0.25,0.25,0.25,-0.25,8.50,-1.75,-18.25,-0.75,-1.00,-0.88,-0.63,-0.50,-0.13,-0.50,-0.62,-0.15
26,EPS Diluted,-1.00,-0.38,-0.25,0.13,-0.38,-0.25,0.25,0.25,-0.25,8.25,-1.75,-18.25,-0.75,-1.00,-0.88,-0.63,-0.50,-0.13,-0.50,-0.62,-0.15
27,Weighted Average Shares Outstanding,912273,969587,1231845,1569526,1597644,2007027,2233613,2239424,2257164,2485608,2491077,3103954,4174054,4173595,4172778,4117769,4310368,4849297,5275811,6939305,6939305
28,Weighted Average Shares Outstanding Diluted,912273,969587,1231845,1569526,1605597,2007027,2250590,2243107,2257164,2556645,2491077,3103954,4174054,4173595,4172778,4117769,4310368,4849297,5275811,6939305,6939305
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1156041/000119312509055217/0001193125-09-055217-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000119312510068851/0001193125-10-068851-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036111016532/form10k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000114036112013863/0001140361-12-013863-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036113014794/0001140361-13-014794-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036114012768/form10k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000114036115012458/0001140361-15-012458-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000156761916002037/0001567619-16-002037-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315217002481/0001493152-17-002481-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315218004278/0001493152-18-004278-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315219004519/0001493152-19-004519-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315220005273/0001493152-20-005273-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315221007599/0001493152-21-007599-index.htm,https://www.sec.gov/Archives/edgar/data/1156041/000149315222008596/0001493152-22-008596-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,939,663422,721613,1724100,409008,417818,9910694,14010637,26656450,9930284,5626345,7578730,4052212,2123520,481172,392062,755702,97915,1243,4895
