,https://roic.ai/company/CNIG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,16673295,16276170,24303894,31300864,23846446,25530063,21995505,22877858,26920000,24500000,25780000,23700000,22450000,22830000,19440000,23470000,25460000,22503410,19709250,30042167,34277161,35539980,32385885,35235545
2,COGS,9409388,9459613,9574415,17035326,10763813,13531489,14109162,14487154,19430000,14850000,14700000,13040000,9650000,9710000,6780000,8580000,9750000,7107530,4152700,20240294,22098547,10549640,7110551,9317025
3,Gross Profit,7263907,6816557,14729479,14265538,13082633,11998574,7886343,8390704,7490000,9650000,11080000,10660000,12800000,13120000,12660000,14890000,15710000,15395880,15556550,9801873,12178614,24990340,25275334,25918520
4,Gross Profit Ratio,0.4357,0.4188,0.6061,0.4558,0.5486,0.4700,0.3585,0.3668,0.2782,0.3939,0.4298,0.4498,0.5702,0.5747,0.6512,0.6344,0.6170,0.6842,0.7893,0.3263,0.3553,0.7032,0.7804,0.7356
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144360,- -,428115,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,5945139,5695134,13063711,12590887,11566771,10924216,6489007,6265428,8239053,8987109,8493829,8999479,9260943,10890275,10137532,4546080,3962178,3886470,4160002,5260652,6251320,6576831,6772846,14138983
10,Operating Expenses,5945139,5695134,13063711,12590887,11566771,10924216,6489007,6265428,8239053,8987109,8493829,8999479,9405303,10890275,10565647,4546080,3962178,3886470,4160002,5260652,6251320,6576831,6772846,14138983
11,COGS and Expenses,15354527,15154747,22638126,29626213,22330584,24455705,20598169,20752582,29550000,23830000,23490000,22030000,19050000,20610000,17350000,20020000,21280000,18800530,14717730,25500946,28349867,28095500,18050417,21559791
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-1390000,-520000,-1500000,-960000,-810000,-720000,-610000,935273,841177,917818,903307,1895170,2132511,2325642,2567064,-3433379
14,Depreciation and Amortization,837151,895280,- -,- -,- -,- -,- -,- -,520000,630000,690000,762197,713066,1478953,1698458,2204869,1538377,1620700,1757604,2143084,2375500,2499558,2621385,3338769
15,EBITDA,1477308,1333228,483529,748590,613690,-243443,674886,1051786,-5530000,360000,330000,692197,2513066,2338953,2888458,5810142,5759554,5390228,6858771,6838929,8335538,9272120,9350145,5125819
16,EBITDA ratio,0.0886,0.0819,0.0199,0.0239,0.0257,-0.0095,0.0307,0.0460,-0.2054,0.0147,0.0128,0.0292,0.1119,0.1025,0.1486,0.2476,0.2262,0.2395,0.3480,0.2276,0.2432,0.2609,0.2887,0.1455
17,Operating Income,1318768,1121423,1665768,1674651,1515862,1074358,1397336,2125276,-743978,464240,2589301,1662818,3392502,2222646,2088725,3457405,4188281,3702884,3759431,4541221,5927294,7444475,7224917,4358729
