,https://roic.ai/company/ETSY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,74602000,125022000,195591000,273499000,364967000,441231000,603693000,818379000,1725625000,2329114000
2,COGS,24493000,47779000,73633000,96979000,123328000,150986000,190762000,271036000,464745000,654512000
3,Gross Profit,50109000,77243000,121958000,176520000,241639000,290245000,412931000,547343000,1260880000,1674602000
4,Gross Profit Ratio,0.6717,0.6178,0.6235,0.6454,0.6621,0.6578,0.6840,0.6688,0.7307,0.7190
5,Research and Development Exp.,18653000,27548000,36634000,42694000,55083000,74616000,97249000,121878000,180080000,271535000
6,General and Administrative Exp.,21909000,31112000,51920000,68939000,86180000,91486000,82883000,121134000,156035000,282531000
7,Selling and Marketing Exp.,10902000,17850000,39655000,66771000,82799000,109085000,158013000,215570000,500756000,654804000
8,"Selling, General and Administrative Exp.",32811000,48962000,91575000,135710000,168979000,200571000,240896000,336704000,656791000,937335000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,51464000,76510000,128209000,178404000,224062000,275187000,338145000,458582000,836871000,1208870000
11,COGS and Expenses,75957000,124289000,201842000,275383000,347390000,426173000,528907000,729618000,1301616000,1863382000
12,Interest Income ,48000,46000,41000,324000,1702000,2394000,8957000,13199000,7102000,2137000
13,Interest Expense (Gain),486000,302000,590000,1526000,7204000,11130000,22178000,24320000,42025000,9885000
14,Depreciation and Amortization,7930000,12380000,17223000,18550000,22525000,27197000,26742000,48031000,58189000,74267000
15,EBITDA,5886000,12740000,7553000,-7918000,26853000,70592000,103998000,152997000,465923000,555806000
16,EBITDA ratio,0.0789,0.1019,0.0386,-0.0290,0.0736,0.1600,0.1723,0.1870,0.2700,0.2386
17,Operating Income,-1355000,733000,-6251000,-1884000,17577000,11896000,74786000,88761000,424009000,465732000
18,Operating Income ratio,-0.0182,0.0059,-0.0320,-0.0069,0.0482,0.0270,0.1239,0.1085,0.2457,0.2000
