,https://roic.ai/company/MSC,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,69334000,424531000,539814000,571213000,626733000,49208000,106868000
2,COGS,28760000,166495000,130247000,123809000,136775000,74797000,76215000
3,Gross Profit,40574000,258036000,409567000,447404000,489958000,-25589000,30653000
4,Gross Profit Ratio,0.5852,0.6078,0.7587,0.7833,0.7818,-0.5200,0.2868
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,188886000,140940000,152791000,141651000,140019000,89207000,88561000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",188886000,140940000,152791000,141651000,140019000,89207000,88561000
9,Other Expenses,40965000,171862000,176326000,167891000,171943000,165132000,133665000
10,Operating Expenses,229851000,312802000,329117000,309542000,311962000,254339000,222226000
11,COGS and Expenses,258611000,479297000,459364000,433351000,448737000,329136000,298441000
12,Interest Income ,4641000,1152000,2171000,3578000,5861000,1276000,3060000
13,Interest Expense (Gain),23285000,159236000,152318000,160508000,132291000,104799000,90967000
14,Depreciation and Amortization,40965000,171862000,176326000,167891000,171943000,160334000,127634000
15,EBITDA,-167957000,88783000,251968000,307345000,338200000,-57504000,-83858000
16,EBITDA ratio,-2.4224,0.2091,0.4668,0.5381,0.5396,-1.1686,-0.7847
17,Operating Income,-189277000,-54766000,80450000,137862000,177996000,-279928000,-191573000
18,Operating Income ratio,-2.7299,-0.1290,0.1490,0.2413,0.2840,-5.6887,-1.7926
19,Total Other Income Expenses (Gains),-42930000,-187549000,-157126000,-158063000,-133965000,-126175000,-110886000
20,Income Before Tax,-232207000,-242315000,-76676000,-20201000,44031000,-406103000,-302459000
21,Income Before Tax Ratio,-3.3491,-0.5708,-0.1420,-0.0354,0.0703,-8.2528,-2.8302
22,Income Tax expense (Gain),353000,474000,-239000,544000,402000,-1011000,-457000
23,Net Income,-232560000,-242789000,-76437000,-21598000,33564000,-321626000,-302002000
24,Net Income ratio,-3.3542,-0.5719,-0.1416,-0.0378,0.0536,-6.5361,-2.8259
25,EPS,-1.88,-3.27,-0.78,-0.45,0.56,-4.33,-5.00
26,EPS Diluted,-1.88,-3.27,-0.78,-0.45,0.56,-4.33,-5.00
27,Weighted Average Shares Outstanding,74269944,74269944,74269944,47883364,60454504,92588175,60454504
28,Weighted Average Shares Outstanding Diluted,74269944,74269944,74269944,47883364,60454504,92588175,60454504
29,SEC Link,https://www.sec.gov/Archives/edgar/data/13239/000001323916000082/0000013239-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323917000009/0000013239-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323918000007/0000013239-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1713334/000119312519091865/0001193125-19-091865-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323920000006/0000013239-20-000006-index.html,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,336783000,348399000,345854000,299367000,575215000,499289000
32,Short-Term Investments,- -,- -,9884000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,336783000,358283000,345854000,299367000,575215000,499289000
34,Net Receivables,- -,4398000,40171000,44051000,63387000,10829000,15944000
35,Inventory,- -,9484000,10143000,9904000,9763000,9297000,5828000
36,Other Current Assets,- -,46553000,52330000,59232000,41923000,12480000,42633000
37,Total Current Assets,- -,397218000,460927000,459041000,414440000,607821000,563694000
38,PP&E,- -,- -,- -,- -,- -,2229204000,2570628000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,121544000,118888000,120114000,114891000
41,Intangible Assets,- -,- -,- -,121544000,118888000,120114000,114891000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2624781000,2466640000,2221753000,2178912000,86758000,69754000
45,Total Non-Current Assets,- -,2624781000,2466640000,2343297000,2297800000,2436076000,2755273000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3021999000,2927567000,2802338000,2712240000,3043897000,3318967000
48,Accounts Payable,- -,3482000,2722000,6421000,3337000,206000,211000
49,Short-Term Debt,- -,- -,- -,347740000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,21000
51,Deferred Revenue,- -,4213000,4409000,4380000,3946000,2403000,- -
52,Other Current Liabilities,- -,185744000,170939000,80431000,92888000,159542000,254519000
53,Total Current Liabilities,- -,193439000,178070000,438972000,100171000,162151000,254730000
54,Long-Term Debt,- -,1992123000,1999354000,1261904000,1435088000,1584660000,2102283000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,827000,588000,1044000,1453000,448000,- -
57,Other Non-Current Liabilities,- -,19130000,9512000,4017000,16869000,28915000,17771000
58,Total Non-Current Liabilities,- -,2012080000,2009454000,1266965000,1453410000,1614023000,2120054000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,14615000,18132000,14797000
61,Total Liabilities,- -,2205519000,2187524000,1705937000,1553581000,1776174000,2374784000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,18000,18000,31000,31000,44000,44000
64,Retained Earnings,- -,-696731000,-773168000,-798098000,-764534000,-1086160000,-1338715000
65,Other Comprehensive Income/Loss,- -,-224878000,-380269000,-14000000,-664444000,-729741000,-6136000
66,Other Total Stockholders Equity,- -,1738071000,1893462000,1908468000,2587606000,3083580000,2288990000
67,Total Stockholders Equity,- -,816480000,740043000,1096401000,1158659000,1267723000,944183000
68,Total Liabilities And Stockholders Equity,- -,3021999000,2927567000,2802338000,2712240000,3043897000,3318967000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3021999000,2927567000,2802338000,2712240000,3043897000,3318967000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/13239/000001323917000009/0000013239-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323918000007/0000013239-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1713334/000119312519091865/0001193125-19-091865-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323920000006/0000013239-20-000006-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-232560000,-242789000,-76437000,-21598000,33564000,-321626000,-302002000
74,Depreciation and Amortization,40965000,171862000,176326000,167891000,171943000,160334000,127634000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,55235000,34200000,-60197000,-19320000,-6316000,49336000,5638000
78,Accounts Receivable,-6245000,2837000,442000,241000,324000,1241000,-91000
79,Inventory,-20638000,6125000,-7223000,-9390000,3621000,1931000,-1789000
80,Accounts Payable,33223000,-4255000,5817000,-4806000,9521000,22134000,-6024000
81,Other Working Capital,7789000,-8700000,-7910000,4401000,7169000,- -,- -
82,Other Non-Cash Items,23306000,51306000,28621000,12545000,29313000,-55469000,1466000
