,https://roic.ai/company/TS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3174299000,3219384000,3179652000,4136063000,6736197000,7727745000,10042008000,12131836000,8149320000,7711598000,9972478000,10834030000,10596781000,10337962000,7100753000,4293592000,5288504000,7658588000,7294055000,5146734000,6521207000
2,COGS,2165568000,2168594000,2207827000,2776936000,3942758000,3884226000,5515767000,6799189000,4864922000,4700810000,6229526000,6637293000,6456786000,6287460000,4885078000,3165684000,3685057000,5279300000,5107495000,4087317000,4611602000
3,Gross Profit,1008731000,1050790000,971825000,1359127000,2793439000,3843519000,4526241000,5332647000,3284398000,3010788000,3742952000,4196737000,4139995000,4050502000,2215675000,1127908000,1603447000,2379288000,2186560000,1059417000,1909605000
4,Gross Profit Ratio,0.3178,0.3264,0.3056,0.3286,0.4147,0.4974,0.4507,0.4396,0.4030,0.3904,0.3753,0.3874,0.3907,0.3918,0.3120,0.2627,0.3032,0.3107,0.2998,0.2058,0.2928
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,713770000,246700000,746214000,861001000,882218000,911015000,830058000,609333000,654659000,698422000,725292000,601744000,588850000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,368451000,420417000,545228000,550611000,600239000,598138000,351657000,243401000,339759000,491555000,441442000,310815000,415895000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1082221000,667117000,1291442000,1411612000,1482457000,1509153000,1181715000,852734000,994418000,1189977000,1166734000,912559000,1004745000
9,Other Expenses,567099000,578913000,683635000,545609000,844993000,1051033000,1569016000,2304783000,388570000,757766000,427691000,409053000,455016000,430561000,435534000,329492000,269490000,311028000,181325000,180039000,138893000
10,Operating Expenses,567099000,578913000,683635000,545609000,844993000,1051033000,1569016000,2304783000,1470791000,1424883000,1719133000,1820665000,1937473000,1939714000,1617249000,1182226000,1263908000,1501005000,1348059000,1092598000,1143638000
11,COGS and Expenses,2732667000,2747507000,2891462000,3322545000,4787751000,4935259000,7084783000,9103972000,6335713000,6125693000,7948659000,8457958000,8394259000,8227174000,6502327000,4347910000,4948965000,6780305000,6455554000,5179915000,5755240000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,48873000,30831000,32855000,30840000,33459000,33094000,39574000,39516000,60405000,47605000,42244000,48061000,21625000,38048000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,185836000,118301000,64103000,52407000,55507000,70450000,44273000,23058000,22329000,27072000,36942000,43381000,27014000,23677000
14,Depreciation and Amortization,- -,176315000,199799000,208119000,214227000,255004000,514820000,532934000,504864000,506902000,554345000,567654000,610054000,615629000,658778000,662412000,608640000,664357000,510584000,678806000,594721000
15,EBITDA,374741000,478390000,474025000,1213198000,2060527000,3070295000,3262492000,4006065000,2297931000,2148376000,2463156000,2863766000,2859775000,2404480000,846179000,757141000,1163313000,1806569000,1499103000,94552000,1908037000
16,EBITDA ratio,0.1181,0.1486,0.1491,0.2933,0.3059,0.3973,0.3249,0.3302,0.2820,0.2786,0.2470,0.2643,0.2699,0.2326,0.1192,0.1763,0.2200,0.2359,0.2055,0.0184,0.2926
17,Operating Income,441632000,471877000,288190000,813518000,1948446000,2792486000,2957225000,3027864000,1813607000,1573547000,1894758000,2356607000,2184830000,1898816000,195428000,-59057000,334588000,871813000,832391000,-663071000,707509000
18,Operating Income ratio,0.1391,0.1466,0.0906,0.1967,0.2893,0.3614,0.2945,0.2496,0.2225,0.2040,0.1900,0.2175,0.2062,0.1837,0.0275,-0.0138,0.0633,0.1138,0.1141,-0.1288,0.1085
19,Total Other Income Expenses (Gains),-66891000,-27399000,-29420000,5802000,7639000,89715000,-91734000,-151679000,-64659000,17504000,51210000,-113638000,17419000,-131579000,-25348000,93487000,93123000,231294000,101319000,43804000,535257000
20,Income Before Tax,374741000,444478000,258770000,819320000,1956085000,2882201000,2865491000,2876185000,1748948000,1591051000,1945968000,2242969000,2202249000,1767237000,170080000,34430000,427711000,1103107000,933710000,-619267000,1242766000
