,https://roic.ai/company/CPRX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,488958,- -,- -,- -,- -,- -,- -,- -,500000,102306337,119072803,140833000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14759139,17039157,21884000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,488958,- -,- -,- -,- -,- -,- -,- -,- -,87547198,102033646,118949000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,0.8557,0.8569,0.8446
5,Research and Development Exp.,137680,- -,378254,1462889,989144,2990659,8710441,5097440,2306781,3383965,2659597,8096774,10117774,11801342,11369941,11375237,19919204,18842752,16496715,16936000
6,General and Administrative Exp.,- -,- -,- -,- -,1913183,2036470,2183504,2177954,2206358,2698174,2561543,2214884,4473654,8597010,7910260,7304399,15875961,36881187,20666533,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23567221,- -
8,"Selling, General and Administrative Exp.",- -,- -,164704,359279,1913183,2036470,2183504,2177954,2206358,2698174,2561543,2214884,4473654,8597010,7910260,7304399,15875961,36881187,44233754,49628000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21884000
10,Operating Expenses,- -,- -,542958,1822168,2902327,5027129,10893945,7275394,4513139,6082139,5221140,10311658,14591428,20398352,19280201,18679636,35795165,55723939,60730469,88448000
11,COGS and Expenses,255945,- -,542958,1822168,2902327,5027129,10893945,7275394,4513139,6082139,5221140,10311658,14591428,20398352,19280201,18679636,35795165,70483078,77769626,88448000
12,Interest Income ,- -,- -,- -,- -,- -,- -,329348,33466,17858,10985,14976,47421,76233,100389,321612,454163,1291651,1585774,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,366,1374,4927,15761,32757,30227,25741,42835,10889,22483,26574,34468,43406,45689,37978,297726,885317,- -
15,EBITDA,-255945,- -,-542592,-1820794,-2897400,-5011368,-10861188,-7245167,-3980582,-6039304,-5210251,-10289175,-14564854,-20363884,-19236795,-18633947,-33965536,33706759,42775391,52667000
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.1409,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-67.9311,0.3295,0.3592,0.3740
17,Operating Income,-255945,- -,-542958,-1822168,-2902327,-5027129,-10893945,-7275394,-4024181,-6082139,-5221140,-10311658,-14591428,-20398352,-19280201,-18679636,-35295165,31823259,41303177,52385000
18,Operating Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.2301,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-70.5903,0.3111,0.3469,0.3720
19,Total Other Income Expenses (Gains),- -,- -,3138,16788,172873,887636,329348,33466,17858,-308923,1144754,-1842938,-917633,165394,1207749,267259,1291651,1585774,586897,282000
20,Income Before Tax,-255945,- -,-539820,-1805380,-2729454,-4139493,-10564597,-7241928,-4006323,-6391062,-4076386,-12154596,-15509061,-20232958,-18072452,-18412377,-34003514,33409033,41890074,52667000
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.1936,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-68.0070,0.3266,0.3518,0.3740
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1533696,-33092926,13185000
23,Net Income,-255945,-428615,-539820,-1805380,-2729454,-4139493,-10564597,-7241928,-4006323,-6391062,-4076386,-12154596,-15509061,-20232958,-18072452,-18412377,-34003514,31875337,74983000,39482000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.1936,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-68.0070,0.3116,0.6297,0.2803
25,EPS,-0.11,-0.15,-0.18,-0.29,-0.36,-0.33,-0.81,-0.48,-0.22,-0.29,-0.14,-0.27,-0.24,-0.25,-0.22,-0.21,-0.33,0.31,0.72,0.38
26,EPS Diluted,-0.11,-0.15,-0.18,-0.29,-0.36,-0.33,-0.81,-0.48,-0.22,-0.29,-0.14,-0.27,-0.24,-0.25,-0.22,-0.21,-0.33,0.30,0.71,0.37
27,Weighted Average Shares Outstanding,2358737,2918438,2918438,6204918,7687630,12525405,13013041,15066799,18580223,21728292,30033108,45452447,64142534,80858393,82875281,85802487,102633884,102944316,103512913,103379349
28,Weighted Average Shares Outstanding Diluted,2358737,2918438,2918438,6204918,7687630,12525405,13013041,15066799,18580223,21728292,30033108,45452447,64142534,80858393,82875281,85802487,102633884,106020936,106242273,107795585
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1369568/000095014407002985/0000950144-07-002985-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000095014408002272/0000950144-08-002272-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312509064431/0001193125-09-064431-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312510073610/0001193125-10-073610-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312511084965/0001193125-11-084965-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312512143728/0001193125-12-143728-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312513136777/0001193125-13-136777-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312514104658/0001193125-14-104658-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312515091323/0001193125-15-091323-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312516505167/0001193125-16-505167-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312517083667/0001193125-17-083667-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312518082292/0001193125-18-082292-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312519078253/0001193125-19-078253-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312520075048/0001193125-20-075048-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312521081545/0001193125-21-081545-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312522077228/0001193125-22-077228-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,107089,- -,183911,771127,20434702,15943896,11766629,7779277,5475158,6029067,1409939,2215958,9096778,28235016,13893064,57496702,16559400,89511710,130237109,171445000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14007269,21494638,30178345,30161379,26512753,26516711,36922213,5007050,10041068,- -
33,Cash and Short-Term Investments,107089,- -,183911,771127,20434702,15943896,11766629,7779277,5475158,6029067,15417208,23710596,39275123,58396395,40405817,84013413,53481613,94518760,140278177,171445000
34,Net Receivables,- -,- -,- -,- -,85787,63709,12153,- -,134025,- -,- -,- -,- -,- -,- -,- -,- -,10536997,7792674,6619000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56012,1956792,4650600,7870000
36,Other Current Assets,- -,- -,- -,440,67333,524081,136374,108147,166221,199116,1309470,1609442,4552698,1504738,1047944,1173744,1649781,4351074,6522523,24172000
37,Total Current Assets,- -,- -,183911,771567,20587822,16531686,11915156,7887424,5775404,6228183,16726678,25320038,43827821,59901133,41453761,85187157,55187406,111363623,159243974,210106000
38,PP&E,- -,- -,1465,4031,20157,127788,96376,68447,45573,12186,53679,40628,71377,191549,244204,191385,245425,1003719,129800,3976000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8888,- -,- -,- -,- -,- -,5008243,- -,- -,19821000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32971264,23697000
44,Other Non-Current Assets,- -,- -,- -,13852,11500,20448,21436,10511,10511,8888,- -,8888,8888,8888,8888,8888,8888,8888,8888,-19812000
45,Total Non-Current Assets,- -,- -,1465,17883,31657,148236,117812,78958,56084,21074,62567,49516,80265,200437,253092,200273,5262556,1012607,33109952,27682000
46,Other Assets,111589,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,111589,- -,185376,789450,20619479,16679922,12032968,7966382,5831488,6249257,16789245,25369554,43908086,60101570,41706853,85387430,60449962,112376230,192353926,237788000
48,Accounts Payable,- -,- -,30734,67753,448072,219866,332707,249635,105933,263934,1365663,850789,1814210,1794127,933176,1945575,2337367,4117447,4256020,2768000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300518,28772,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1533696,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,37066,275235,324774,83419,1097410,44517,193028,569867,281002,1288820,4040816,1646476,1161359,2320587,7173987,19680777,18471495,24295000
53,Total Current Liabilities,- -,- -,67800,342988,772846,303285,1430117,294152,298961,833801,1646665,2139609,5855026,3440603,2094535,4266162,9511354,24098742,22756287,27063000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3894000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
