,https://roic.ai/company/PPSI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,40598576,47236000,68790000,83960000,88162000,92191000,106522000,114402000,101390000,106390000,20582000,19490000,3498000
2,COGS,- -,- -,28733839,35637000,52813000,65020000,66392000,74022000,85417000,90991000,81400000,87139000,19417000,36672000,6946000
3,Gross Profit,- -,- -,11864737,11599000,15977000,18940000,21770000,18169000,21105000,23411000,19990000,19251000,1165000,-17182000,-3448000
4,Gross Profit Ratio,- -,- -,0.2922,0.2456,0.2323,0.2256,0.2469,0.1971,0.1981,0.2046,0.1972,0.1809,0.0566,-0.8816,-0.9857
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,8048000,11070000,13181000,14719000,15222000,21194000,19994000,16712000,21465000,12681000,5165000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,4052459,8048000,11070000,13181000,14719000,15222000,21194000,19994000,16712000,21465000,12681000,5028000,1518000
9,Other Expenses,- -,- -,-104412,-139000,- -,- -,- -,- -,- -,- -,- -,- -,237000,137000,- -
10,Operating Expenses,- -,- -,3948047,7909000,11070000,13181000,14719000,15222000,21194000,19994000,16712000,21465000,12918000,5165000,1518000
11,COGS and Expenses,- -,3500,32681886,43546000,63883000,78201000,81111000,89244000,106611000,110985000,98112000,108604000,32335000,41837000,8464000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99000
13,Interest Expense (Gain),- -,- -,311498,183000,646000,933000,754000,582000,2294000,1736000,2343000,2662000,396000,- -,- -
14,Depreciation and Amortization,- -,- -,307077,767000,1086000,1536000,1555000,1601000,3159000,3087000,3059000,3304000,1437000,464000,438000
15,EBITDA,- -,-3500,8223767,4223000,2445000,7192000,8261000,2438000,-3130000,4647000,-388000,605000,1672000,-2517000,-957000
16,EBITDA ratio,- -,-Infinity,0.2026,0.0894,0.0355,0.0857,0.0937,0.0264,-0.0294,0.0406,-0.0038,0.0057,0.0812,-0.1291,-0.2736
17,Operating Income,- -,-3500,7916690,3690000,4710000,5947000,7134000,1750000,-5300000,1355000,3387000,-1873000,-11753000,-4284000,-1493000
18,Operating Income ratio,- -,-Infinity,0.1950,0.0781,0.0685,0.0708,0.0809,0.0190,-0.0498,0.0118,0.0334,-0.0176,-0.5710,-0.2198,-0.4268
