,https://roic.ai/company/ONCY,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1,310000,- -,208867,313305,699756,783456,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,4311575,3782507,4190403,5334582,4851528,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4311575,-3782507,-4190403,-5334582,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,486662,3689815,5116660,4283743,3314188,7107999,9308977,10535688,11315088,13351875,11606514,12191809,22077263,31402625,18506064,13824252,8601864,9770007,9392623,9417888,11134716,12944510,12920371
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,64039,424273,3251041,1137467,730751,372744,- -,5135426,5362267,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,64039,424273,3251041,1137467,730751,372744,- -,5135426,5362267,- -,- -,- -,- -,- -
9,Other Expenses,90709,1265839,2020581,2676509,3617364,6223994,4004992,4960376,5529985,341971,425396,409842,- -,4554674,5019916,4998694,180411,162233,6212831,7244791,9558641,12514496,13314574
10,Operating Expenses,577371,4955654,7137241,6960252,6931552,13331993,13313969,15496064,16845073,13757885,12456183,15852692,23214730,36688050,23898724,18822946,13917701,15294507,15605454,16662679,20693357,25459006,26234945
11,COGS and Expenses,577371,4955654,7137241,6960252,6931552,13331993,13313969,15496064,16845073,18069460,16238690,20043095,28549312,36688050,23898724,18822946,13917701,15294507,15605454,16662679,20693357,25459006,26234945
12,Interest Income ,- -,905690,655212,208867,313305,699756,783456,1233809,1211744,519256,29441,76934,416247,345003,371485,210390,197859,163902,130101,173496,179277,121194,98612
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1679,205196,465454,574237,663524,751755,855991,926681,1003141,410254,245680,63156,92590,109275,131623,163501,180411,162233,90768,95375,485574,446187,452065
15,EBITDA,-572783,-3534768,-6671787,-6177148,-7846956,-12204365,-11927364,-14534113,-15833070,-17659206,-15993010,-19979939,-27585086,-36578775,-23767101,-18659445,-13737290,-15132274,-15514686,-16567304,-7598975,-27845574,-25664361
16,EBITDA ratio,-572783.0000,-11.4025,-Infinity,-29.5746,-25.0457,-17.4409,-15.2240,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-577370,-4645654,-7137241,-6751385,-6618247,-12632237,-12530513,-15496064,-16845073,-18069460,-16238690,-20043095,-28721267,-36688050,-23898724,-18822946,-13917701,-15294507,-15605454,-16662679,-20693357,-25459006,-26234945
18,Operating Income ratio,-577370.0000,-14.9860,-Infinity,-32.3238,-21.1240,-18.0523,-15.9939,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,905690,655210,- -,-1892232,-323883,-252843,1198540,1202882,519256,29441,76934,-283434,345003,371485,210390,197859,163902,130101,173496,-12429531,2953949,-19907
20,Income Before Tax,- -,-3739964,-6482031,-6751385,-8510479,-12956120,-12783356,-14297524,-15642191,-17550204,-16209249,-19966161,-29004701,-36343047,-23527239,-18612556,-13719842,-15130605,-15475353,-16489183,-33122888,-22505057,-26254852
21,Income Before Tax Ratio,- -,-12.0644,-Infinity,-32.3238,-27.1636,-18.5152,-16.3166,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-126812,-310570,-659899,33551,- -,-1525,- -,- -,- -,22000,7611,40000,30474,5408,6779,3153,9374,141498,548042,- -,- -,49427
23,Net Income,-574462,-3613152,-6171461,-6091486,-8544031,-12956120,-12781830,-14297524,-15642191,-17550204,-16231249,-19973772,-29044701,-36373521,-23532647,-18619335,-13722995,-15139979,-15616851,-17037225,-33122888,-22505057,-26304279
