,https://roic.ai/company/CERE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,2720000,- -,- -,- -,- -,- -,- -
2,COGS,5267000,- -,- -,- -,- -,- -,- -
3,Gross Profit,-2547000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-0.9364,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,9684000,- -,- -,- -,50294000,103303000,161855000
6,General and Administrative Exp.,15946000,- -,- -,- -,33169000,45813000,58243000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15946000,- -,- -,- -,33169000,45813000,58243000
9,Other Expenses,5267000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,30897000,- -,- -,- -,83463000,149116000,220098000
11,COGS and Expenses,30897000,- -,- -,- -,83463000,149116000,- -
12,Interest Income ,- -,- -,- -,- -,1552000,224000,- -
13,Interest Expense (Gain),30000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,657000,- -,- -,- -,177000,397000,2731000
15,EBITDA,-27470000,- -,- -,- -,-83286000,-148719000,-217367000
16,EBITDA ratio,-10.0993,- -,- -,- -,-Infinity,-Infinity,-Infinity
17,Operating Income,-28177000,- -,- -,- -,-83463000,-149116000,-220098000
18,Operating Income ratio,-10.3592,- -,- -,- -,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),22000,- -,- -,- -,-44881000,-3050000,-5236000
20,Income Before Tax,-28155000,- -,- -,- -,-128344000,-152166000,-225334000
21,Income Before Tax Ratio,-10.3511,- -,- -,- -,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),-1000,- -,- -,- -,45000,-24000,- -
23,Net Income,-28156000,- -,- -,- -,-128389000,-152142000,-225334000
24,Net Income ratio,-10.3515,- -,- -,- -,-Infinity,-Infinity,-Infinity
25,EPS,-1.98,- -,- -,- -,-1.01,-2.01,-1.56
26,EPS Diluted,-4.57,- -,- -,- -,-1.01,-2.01,-1.56
27,Weighted Average Shares Outstanding,14238649,- -,- -,- -,127123954,73643000,144022109
28,Weighted Average Shares Outstanding Diluted,6166006,- -,- -,- -,127123954,73643000,144022109
29,SEC Link,https://www.sec.gov/Archives/edgar/data/767884/000114420415067580/0001144204-15-067580-index.html,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1805387/000156459021015106/0001564590-21-015106-index.htm,https://www.sec.gov/Archives/edgar/data/1805387/000095017022002516/0000950170-22-002516-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,8095000,- -,- -,- -,79551000,383623000,193018000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,372670000
33,Cash and Short-Term Investments,8095000,- -,- -,- -,79551000,383623000,565688000
34,Net Receivables,577000,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
