,https://roic.ai/company/MGA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,745900000,868200000,1205400000,1629300000,1673000000,1752500000,1854500000,2028300000,2573600000,3309600000,4261600000,5580400000,3396000000,9359000000,10513000000,11026000000,12971000000,15345000000,20653000000,22811000000,24180000000,26067000000,23704000000,17367000000,24102000000,28748000000,30837000000,34835000000,36641000000,32134000000,36445000000,38946000000,40827000000,39431000000,32647000000,36242000000
2,COGS,- -,565800000,659700000,936500000,1300000000,1360700000,1409500000,1481900000,1637300000,2055400000,2677600000,3501100000,4618700000,2833000000,7622000000,8264000000,8588000000,10827000000,12805000000,17696000000,19831000000,21211000000,22599000000,20982000000,15697000000,20924000000,25401000000,27010000000,30287000000,31623000000,27559000000,31123000000,33258000000,35055000000,34022000000,28207000000,31097000000
3,Gross Profit,- -,180100000,208500000,268900000,329300000,312300000,343000000,372600000,391000000,518200000,632000000,760500000,961700000,563000000,1737000000,2249000000,2438000000,2144000000,2540000000,2957000000,2980000000,2969000000,3468000000,2722000000,1670000000,3178000000,3347000000,3827000000,4548000000,5018000000,4575000000,5322000000,5688000000,5772000000,5409000000,4440000000,5145000000
4,Gross Profit Ratio,- -,0.2415,0.2402,0.2231,0.2021,0.1867,0.1957,0.2009,0.1928,0.2014,0.1910,0.1785,0.1723,0.1658,0.1856,0.2139,0.2211,0.1653,0.1655,0.1432,0.1306,0.1228,0.1330,0.1148,0.0962,0.1319,0.1164,0.1241,0.1306,0.1370,0.1424,0.1460,0.1460,0.1414,0.1372,0.1360,0.1420
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219200000,274900000,349500000,- -,607000000,655000000,685000000,780000000,1007000000,1186000000,1198000000,1360000000,1461000000,1319000000,1261000000,1340000000,1415000000,1519000000,1616000000,1707000000,1448000000,1601000000,1668000000,1664000000,1697000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,78000000,93000000,147300000,172600000,176300000,134100000,122600000,139400000,177300000,219200000,274900000,349500000,229000000,607000000,655000000,685000000,780000000,1007000000,1186000000,1198000000,1360000000,1461000000,1319000000,1261000000,1340000000,1415000000,1519000000,1616000000,1707000000,1448000000,1601000000,1668000000,1664000000,1697000000,1587000000,1717000000
9,Other Expenses,- -,26400000,41400000,61600000,84200000,90500000,91500000,80500000,81300000,85900000,108800000,138500000,168400000,126000000,354000000,372000000,399000000,422000000,493000000,598000000,840000000,817000000,855000000,1075000000,730000000,628000000,686000000,801000000,1063000000,890000000,802000000,1056000000,1173000000,1278000000,1345000000,1366000000,1512000000
10,Operating Expenses,- -,104400000,134400000,208900000,256800000,266800000,225600000,203100000,220700000,263200000,328000000,413400000,517900000,355000000,961000000,1027000000,1084000000,1202000000,1500000000,1784000000,2038000000,2177000000,2316000000,2394000000,1991000000,1968000000,2101000000,2320000000,2679000000,2597000000,2250000000,2657000000,2841000000,2942000000,3042000000,2953000000,3229000000
11,COGS and Expenses,- -,670200000,794100000,1145400000,1556800000,1627500000,1635100000,1685000000,1858000000,2318600000,3005600000,3914500000,5136600000,3188000000,8583000000,9291000000,9672000000,12029000000,14305000000,19480000000,21869000000,23388000000,24915000000,23376000000,17688000000,22892000000,27502000000,29330000000,32966000000,34220000000,29809000000,33780000000,36099000000,37997000000,37064000000,31160000000,34326000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,32000000,33000000,46000000,- -,35000000,- -,- -,- -,- -,20000000,22000000,25000000,18000000,18000000,18000000,14000000,12000000,20000000,20000000,22000000,19000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,45000000,35000000,33000000,- -,30000000,- -,- -,- -,- -,27000000,12000000,19000000,34000000,34000000,47000000,58000000,100000000,90000000,113000000,104000000,105000000,78000000
14,Depreciation and Amortization,- -,26400000,41400000,61600000,84200000,90500000,91500000,80500000,81300000,85900000,108800000,138500000,168400000,126000000,362000000,392000000,425000000,445000000,505000000,598000000,711000000,790000000,872000000,873000000,737000000,661000000,686000000,914000000,1201000000,1038000000,912000000,1191000000,1307000000,1450000000,1450000000,1581000000,1512000000
15,EBITDA,- -,89000000,92500000,88200000,132400000,-83500000,129300000,196700000,237700000,347800000,444600000,476900000,774900000,336000000,1068000000,1383000000,1330000000,1349000000,1400000000,1718000000,1642000000,1582000000,2024000000,1201000000,253000000,1882000000,1925000000,2705000000,3156000000,3626000000,3694000000,4028000000,4347000000,4478000000,3910000000,2772000000,3499000000
16,EBITDA ratio,- -,0.1193,0.1065,0.0732,0.0813,-0.0499,0.0738,0.1061,0.1172,0.1351,0.1343,0.1119,0.1389,0.0989,0.1141,0.1316,0.1206,0.1040,0.0912,0.0832,0.0720,0.0654,0.0776,0.0507,0.0146,0.0781,0.0670,0.0877,0.0906,0.0990,0.1150,0.1105,0.1116,0.1097,0.0992,0.0849,0.0965
17,Operating Income,- -,75700000,74100000,60000000,72500000,45500000,117400000,169500000,170300000,255000000,304000000,347100000,443800000,208000000,776000000,1222000000,1354000000,942000000,1040000000,1173000000,942000000,792000000,1152000000,328000000,-321000000,1210000000,1246000000,1507000000,1869000000,2421000000,2325000000,2665000000,2847000000,2830000000,2367000000,1487000000,1916000000
18,Operating Income ratio,- -,0.1015,0.0853,0.0498,0.0445,0.0272,0.0670,0.0914,0.0840,0.0991,0.0919,0.0814,0.0795,0.0612,0.0829,0.1162,0.1228,0.0726,0.0678,0.0568,0.0413,0.0328,0.0442,0.0138,-0.0185,0.0502,0.0433,0.0489,0.0537,0.0661,0.0724,0.0731,0.0731,0.0693,0.0600,0.0455,0.0529
19,Total Other Income Expenses (Gains),- -,-13100000,-23000000,-33400000,-24300000,-219500000,-79600000,-53300000,-13900000,6900000,31800000,-8700000,162700000,2000000,-94000000,-250000000,-436000000,-14000000,-78000000,-17000000,-11000000,- -,- -,- -,-190000000,-13000000,-29000000,243000000,36000000,118000000,326000000,115000000,152000000,121000000,-144000000,-481000000,32000000
20,Income Before Tax,- -,62600000,51100000,26600000,48200000,-174000000,37800000,116200000,156400000,261900000,335800000,338400000,606500000,210000000,682000000,972000000,918000000,928000000,962000000,1156000000,931000000,792000000,1152000000,328000000,-511000000,1197000000,1217000000,1750000000,1905000000,2539000000,2651000000,2780000000,2999000000,2951000000,2223000000,1006000000,1948000000
21,Income Before Tax Ratio,- -,0.0839,0.0589,0.0221,0.0296,-0.1040,0.0216,0.0627,0.0771,0.1018,0.1015,0.0794,0.1087,0.0618,0.0729,0.0925,0.0833,0.0715,0.0627,0.0560,0.0408,0.0328,0.0442,0.0138,-0.0294,0.0497,0.0423,0.0568,0.0547,0.0693,0.0825,0.0763,0.0770,0.0723,0.0564,0.0308,0.0537
22,Income Tax expense (Gain),- -,28300000,20700000,10500000,19700000,20700000,23500000,39200000,47200000,92900000,103300000,113500000,168700000,73000000,233000000,348000000,290000000,317000000,373000000,398000000,292000000,264000000,489000000,257000000,-18000000,236000000,202000000,324000000,360000000,659000000,711000000,706000000,744000000,619000000,591000000,329000000,395000000
23,Net Income,- -,34300000,30400000,16100000,28500000,-194700000,14300000,77000000,109200000,169000000,232500000,224900000,437800000,137000000,430000000,598000000,580000000,554000000,522000000,692000000,639000000,528000000,663000000,71000000,-493000000,973000000,1018000000,1433000000,1561000000,1882000000,2013000000,2031000000,2206000000,2296000000,1765000000,757000000,1514000000
24,Net Income ratio,- -,0.0460,0.0350,0.0134,0.0175,-0.1164,0.0082,0.0415,0.0538,0.0657,0.0703,0.0528,0.0785,0.0403,0.0459,0.0569,0.0526,0.0427,0.0340,0.0335,0.0280,0.0218,0.0254,0.0030,-0.0284,0.0404,0.0354,0.0465,0.0448,0.0514,0.0626,0.0557,0.0566,0.0562,0.0448,0.0232,0.0418
25,EPS,- -,0.35,0.29,0.14,0.26,-1.75,0.13,0.57,0.60,0.75,0.95,0.90,1.50,0.41,1.27,1.76,1.64,1.46,1.31,1.79,1.50,1.22,1.49,0.16,-1.10,2.12,2.13,3.08,3.42,4.41,4.94,5.19,5.93,6.65,5.61,2.52,5.04
26,EPS Diluted,- -,0.35,0.29,0.14,0.25,-1.75,0.13,0.41,0.49,0.70,0.94,0.85,1.41,0.39,1.19,1.58,1.55,1.46,1.30,1.78,1.48,1.20,1.47,0.15,-1.10,2.09,2.10,3.04,3.38,4.34,4.88,5.16,5.90,6.61,5.59,2.52,5.00
27,Weighted Average Shares Outstanding,- -,98000000,103050847,111034483,111764706,111257143,112156863,134497817,182000000,224584718,244094488,249196676,290897010,338271605,314000000,314000000,320400000,354800000,383600000,386800000,426800000,434400000,445600000,451200000,447200000,460000000,478600000,464800000,455800000,427200000,407500000,391000000,371800000,345400000,314700000,299700000,300600000
28,Weighted Average Shares Outstanding Diluted,- -,98000000,105739130,111034483,112871287,111257143,114400000,187804878,220606061,242293907,246031746,263040936,311601423,353548387,367200000,373200000,365600000,368000000,385200000,389200000,436000000,445600000,456400000,455600000,447200000,466000000,485600000,470400000,461600000,433200000,412700000,393200000,373900000,347500000,315800000,300400000,302800000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749098/000110465909021369/0001104659-09-021369-index.html,https://www.sec.gov/Archives/edgar/data/749098/000110465910017713/0001104659-10-017713-index.html,- -,https://www.sec.gov/Archives/edgar/data/749098/000119312512143610/0001193125-12-143610-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312513131919/0001193125-13-131919-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/749098/000119312516521370/0001193125-16-521370-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312517102145/0001193125-17-102145-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312518099856/0001193125-18-099856-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312519092912/0001193125-19-092912-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312520088979/0001193125-20-088979-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296400000,793000000,637600000,- -,632000000,620000000,890000000,1227000000,1528000000,1519000000,1682000000,1885000000,2954000000,2757000000,1334000000,2105000000,1325000000,1522000000,1554000000,1253000000,2863000000,974000000,726000000,684000000,1276000000,3268000000,2948000000
