,https://roic.ai/company/RBBN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1000,51770000,173199000,62558000,93210000,170738000,194610000,279483000,320310000,313145000,227496000,249307000,259696000,254134000,276733000,296326000,249034000,252591000,329942000,577905000,563111000,843795000,844957000
2,COGS,- -,-4026000,22736000,75698000,30868000,37909000,50567000,77520000,100432000,129568000,129872000,83360000,96155000,113575000,111540000,104273000,102921000,87377000,84980000,128446000,269573000,246027000,350688000,400297000
3,Gross Profit,- -,4027000,29034000,97501000,31690000,55301000,120171000,117090000,179051000,190742000,183273000,144136000,153152000,146121000,142594000,172460000,193405000,161657000,167611000,201496000,308332000,317084000,493107000,444660000
4,Gross Profit Ratio,- -,4027.0000,0.5608,0.5629,0.5066,0.5933,0.7038,0.6017,0.6407,0.5955,0.5853,0.6336,0.6143,0.5627,0.5611,0.6232,0.6527,0.6491,0.6636,0.6107,0.5335,0.5631,0.5844,0.5263
5,Research and Development Exp.,5824000,10780000,26430000,65004000,45308000,32190000,36174000,46385000,55446000,79129000,72223000,59864000,62786000,64410000,67341000,69559000,79396000,77908000,72841000,101481000,145462000,141060000,194525000,194948000
6,General and Administrative Exp.,919000,- -,- -,- -,- -,- -,- -,- -,- -,- -,61739000,43217000,49391000,34957000,34283000,40107000,43937000,39846000,35948000,47642000,66036000,53870000,63286000,53661000
7,Selling and Marketing Exp.,426000,- -,- -,- -,- -,- -,- -,- -,- -,- -,73499000,48929000,51033000,59279000,76341000,78365000,80141000,72841000,68539000,83403000,128276000,117962000,139318000,150279000
8,"Selling, General and Administrative Exp.",1345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,135238000,92146000,100424000,94236000,110624000,118472000,124078000,112687000,104487000,131045000,194312000,171832000,202604000,203940000
9,Other Expenses,- -,17620000,58887000,613329000,56861000,39470000,62637000,71114000,101114000,163382000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60910000,28283000
10,Operating Expenses,7169000,28400000,85317000,678333000,102169000,71660000,98811000,117499000,156560000,242511000,207461000,152010000,163210000,158646000,177965000,188031000,203474000,190595000,177328000,232526000,339774000,312892000,458039000,427171000
11,COGS and Expenses,7228000,24374000,108053000,754031000,133037000,109569000,149378000,195019000,256992000,372079000,337333000,235370000,259365000,272221000,289505000,292304000,306395000,277972000,262308000,360972000,609347000,558919000,808727000,827468000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12643000,4105000,1740000,1287000,814000,502000,326000,406000,866000,1000000,300000,600000,471000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291000,183000,191000,- -,202000,97000,251000,199000,97000,700000,4500000,4500000,21513000,15831000
14,Depreciation and Amortization,- -,5887000,5112000,122948000,16988000,12132000,8198000,7976000,9508000,13687000,12816000,10336000,11946000,12029000,15664000,16875000,16085000,19068000,15470000,25598000,60923000,61174000,78098000,83588000
15,EBITDA,-7228000,-18000000,-44926000,-522484000,-51482000,-2702000,33362000,16955000,47404000,-18772000,-26132000,3128000,2139000,791000,-31862000,-3695000,1695000,-10621000,4151000,-27394000,-7987000,-57219000,192928000,-108724000
16,EBITDA ratio,-Infinity,-18000.0000,-0.8678,-3.0167,-0.8229,-0.0290,0.1954,0.0871,0.1696,-0.0586,-0.0835,0.0137,0.0086,0.0030,-0.1254,-0.0134,0.0057,-0.0426,0.0164,-0.0830,-0.0138,-0.1016,0.2286,-0.1287
17,Operating Income,-7228000,-24373000,-56283000,-650439000,-69788000,-16359000,21360000,-409000,22491000,-51769000,-46717000,-11384000,-11559000,-12525000,-48542000,-21075000,-17252000,-31217000,-13609000,-55229000,-65408000,-189460000,1669000,-117796000
