,https://roic.ai/company/TAOP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,93967,2175204,30342709,85301184,100996094,163845597,114535553,86377455,76145384,68157699,10284868,10193590,18189274,20578340,13791303,11062775
2,COGS,- -,89934,12714170,46222320,50344427,93282442,70216049,65877975,58870240,45688175,6381205,7607190,9867508,10924246,7189092,7119125
3,Gross Profit,93967,2085270,17628539,39078864,50651667,70563155,44319504,20499480,17275144,22469524,3903663,2586400,8321766,9654094,6602211,3943650
4,Gross Profit Ratio,1.0000,0.9587,0.5810,0.4581,0.5015,0.4307,0.3869,0.2373,0.2269,0.3297,0.3796,0.2537,0.4575,0.4691,0.4787,0.3565
5,Research and Development Exp.,- -,- -,424104,2596430,2705669,3016693,4483754,4951166,2915641,3037161,3446867,3044972,4031313,4756088,3592843,3889126
6,General and Administrative Exp.,34444,- -,- -,- -,12653175,18623523,22785631,64609752,92930409,27608259,11223502,8342842,3621570,4299820,6657972,16707106
7,Selling and Marketing Exp.,1417,- -,- -,- -,3136380,6359487,7522986,9786220,8820434,9042005,2661545,1334147,1119586,429362,523557,714147
8,"Selling, General and Administrative Exp.",35861,202523,3893958,12599552,15789555,24983010,30308617,74395972,101750843,36650264,13885047,9676989,4741156,4729182,7181529,17421253
9,Other Expenses,10582,- -,- -,- -,- -,- -,- -,-1709246,-3063005,-2237079,-501404,-223166,-476517,-556187,-431555,-556186
10,Operating Expenses,46443,202523,4318062,15195982,18495224,27999703,34792371,77637892,101603479,37450346,16830510,12498795,8295952,8929083,10342817,20754193
11,COGS and Expenses,46443,292457,17032232,61418302,68839651,121282145,105008420,143515867,160473719,83138521,23211715,20105985,18163460,19853329,17531909,27873318
12,Interest Income ,- -,- -,138840,214850,270666,126459,317190,343289,460381,435381,76716,17420,7900,36381,133517,4798
13,Interest Expense (Gain),1257,- -,- -,179130,388686,1539407,2948406,4646818,5553522,6593549,3116777,498931,450024,484403,499852,1018013
14,Depreciation and Amortization,10432,1131,1443515,4345833,5855564,9509568,12611639,13825153,10601420,4766987,2541494,2581756,2856906,3674537,2900951,3479644
15,EBITDA,57955,1885183,14882267,29859448,40226314,53314416,24273592,-70346283,-101185336,-22259712,2459037,-15032070,3095192,4649692,-456009,-13268434
16,EBITDA ratio,0.6168,0.8667,0.4905,0.3500,0.3983,0.3254,0.2119,-0.8144,-1.3288,-0.3266,0.2391,-1.4747,0.1702,0.2260,-0.0331,-1.1994
17,Operating Income,47524,1882747,13310477,23882882,32156443,42563452,9527133,-85679913,-119376579,-29959364,-26963357,-14577928,-450703,168824,-4172161,-17366729
18,Operating Income ratio,0.5058,0.8655,0.4387,0.2800,0.3184,0.2598,0.0832,-0.9919,-1.5677,-0.4396,-2.6217,-1.4301,-0.0248,0.0082,-0.3025,-1.5698
19,Total Other Income Expenses (Gains),-1258,1305,218275,974641,1868697,773615,-152805,-4130391,-932903,-4181835,22573625,-3888705,319669,508731,303420,-1035795
20,Income Before Tax,46266,1884052,13528752,24857523,34025140,43337067,9374328,-89810304,-120309482,-34141199,-4389732,-18466633,-131034,677555,-3868741,-18402524
21,Income Before Tax Ratio,0.4924,0.8661,0.4459,0.2914,0.3369,0.2645,0.0818,-1.0397,-1.5800,-0.5009,-0.4268,-1.8116,-0.0072,0.0329,-0.2805,-1.6635
22,Income Tax expense (Gain),8505,289403,107300,1547509,3887495,7863437,804149,812254,1896545,-4388901,4305028,57844,-1070343,-1201231,-274480,-71316
23,Net Income,37761,1594649,13331452,23786976,30094569,34402004,7909398,-89630508,-119236823,-29231347,-7504262,-18170601,858605,1691983,-3582332,-17694775
24,Net Income ratio,0.4019,0.7331,0.4394,0.2789,0.2980,0.2100,0.0691,-1.0377,-1.5659,-0.4289,-0.7296,-1.7826,0.0472,0.0822,-0.2598,-1.5995
25,EPS,0.14,0.72,4.08,6.12,7.44,7.92,1.80,-19.92,-26.16,-5.76,-1.32,-2.70,0.12,0.24,-0.54,-2.40
26,EPS Diluted,0.14,0.71,3.96,6.12,7.44,7.92,1.74,-19.92,-26.16,-5.76,-1.32,-2.70,0.12,0.24,-0.54,-2.40
27,Weighted Average Shares Outstanding,292311,2246513,3309920,3866557,4056374,4317878,4456281,4502972,4559426,5100211,5685058,6695919,6705206,7049943,6964753,7372823
28,Weighted Average Shares Outstanding Diluted,292311,2246513,3346077,3904410,4056374,4345426,4494176,4502972,4559426,5100211,5685058,6695919,6722287,7049943,6964753,7372823
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
