,https://roic.ai/company/GLRE,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,10152000,29257000,86148000,- -,-11177000,419079000,56407000,403146000,545396000,765089000,-49133000,-19246000,-24543000,-19863000,-11221000,700000,475669000,50152000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,338493000,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,56407000,403146000,545396000,426596000,49133000,19246000,24543000,19863000,11221000,700000,- -,50152000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,0.5576,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,1.0000,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,9063000,11918000,13756000,18994000,16187000,- -,17539000,21718000,21926000,23434000,9225000,11218000,12059000,15560000,14036000,4263000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,9063000,11918000,13756000,18994000,16187000,13892000,17539000,21718000,21926000,23434000,9225000,11218000,12059000,15560000,14036000,4263000
9,Other Expenses,- -,- -,- -,-8984000,- -,- -,-12099000,- -,- -,- -,345225000,433304000,531932000,679282000,522462000,519833000,- -,- -
10,Operating Expenses,- -,- -,- -,2934000,- -,- -,4088000,13892000,17539000,21718000,367151000,456738000,541157000,690500000,534521000,535393000,- -,4263000
11,COGS and Expenses,- -,- -,29149000,2934000,110890000,209583000,4088000,13892000,17539000,360211000,367151000,456738000,541157000,690500000,534521000,535393000,471379000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,-17414000,-25400000,-7470000,-15779000,1581000,1573000,- -,11261000,3544000,- -
