,https://roic.ai/company/TRI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7229996333,7722582999,5849000000,6269000000,5752000000,6514000000,7237000000,7756000000,7606000000,8098000000,8703000000,6641000000,7296000000,11707000000,12997000000,13070000000,13807000000,13278000000,12702000000,12607000000,11257000000,11166000000,5297000000,5501000000,5906000000,5984000000,6348000000
2,COGS,5962082875,6386647209,4440000000,4713000000,4345000000,4980000000,5451000000,5696000000,5542000000,5851000000,6308000000,4702000000,5275000000,8700000000,1047000000,1006000000,1044000000,1027000000,997000000,1009000000,885000000,836000000,226000000,240000000,313000000,2269000000,- -
3,Gross Profit,1267913458,1335935790,1409000000,1556000000,1407000000,1534000000,1786000000,2060000000,2064000000,2247000000,2395000000,1939000000,2021000000,3007000000,11950000000,12064000000,12763000000,12251000000,11705000000,11598000000,10372000000,10330000000,5071000000,5261000000,5593000000,3715000000,- -
4,Gross Profit Ratio,0.1754,0.1730,0.2409,0.2482,0.2446,0.2355,0.2468,0.2656,0.2714,0.2775,0.2752,0.2920,0.2770,0.2569,0.9194,0.9230,0.9244,0.9227,0.9215,0.9200,0.9214,0.9251,0.9573,0.9564,0.9470,0.6208,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8658000000,8938000000,9102000000,8699000000,8214000000,8156000000,7283000000,7376000000,3353000000,3896000000,3971000000,1466000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4366000000,4193000000,4319000000,4006000000,3612000000,3589000000,1440000000,1531000000,1466000000,- -
9,Other Expenses,477301063,553958409,667016439,644033852,695030068,842112282,920000000,830000000,873000000,906000000,931000000,681000000,724000000,1314000000,1547000000,1590000000,1505000000,-1391000000,-496000000,-1415000000,-498000000,-474000000,-564000000,-448000000,-852000000,330000000,5106000000
