,https://roic.ai/company/NVCR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,10359000,15490000,33087000,82888000,177026000,248069000,351318000,494366000,535031000
2,COGS,7013000,10036000,20610000,46282000,55609000,80048000,88606000,106501000,114877000
3,Gross Profit,3346000,5454000,12477000,36606000,121417000,168021000,262712000,387865000,420154000
4,Gross Profit Ratio,0.3230,0.3521,0.3771,0.4416,0.6859,0.6773,0.7478,0.7846,0.7853
5,Research and Development Exp.,34797000,40381000,43748000,41467000,38103000,50574000,79003000,132010000,201303000
6,General and Administrative Exp.,16602000,24052000,33864000,51007000,59114000,73456000,87948000,107437000,126127000
7,Selling and Marketing Exp.,16406000,21177000,38861000,59449000,63528000,77663000,96675000,118017000,137057000
8,"Selling, General and Administrative Exp.",33008000,45229000,72725000,110456000,122642000,151119000,184623000,225454000,263184000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,67805000,85610000,116473000,151923000,160745000,201693000,263626000,357464000,464487000
11,COGS and Expenses,74818000,95646000,137083000,198205000,216354000,281741000,352232000,463965000,579364000
12,Interest Income ,267000,143000,84000,659000,1116000,2652000,4402000,1787000,791000
13,Interest Expense (Gain),7158000,41000,2373000,5937000,10261000,13491000,13718000,13147000,3440000
14,Depreciation and Amortization,1216000,1962000,3153000,5652000,7677000,9006000,8460000,9150000,10251000
15,EBITDA,-68643000,-78297000,-101621000,-109875000,-30559000,-23445000,13354000,40399000,-38384000
16,EBITDA ratio,-6.6264,-5.0547,-3.0713,-1.3256,-0.1726,-0.0945,0.0380,0.0817,-0.0717
17,Operating Income,-64459000,-80156000,-103996000,-115317000,-39328000,-33672000,-914000,30401000,-44333000
18,Operating Income ratio,-6.2225,-5.1747,-3.1431,-1.3912,-0.2222,-0.1357,-0.0026,0.0615,-0.0829
19,Total Other Income Expenses (Gains),-12558000,-144000,-3151000,-6147000,-9169000,-12270000,-7910000,-12299000,-7742000
20,Income Before Tax,-77017000,-80300000,-107147000,-121464000,-48497000,-45942000,-8824000,18102000,-52075000
21,Income Before Tax Ratio,-7.4348,-5.1840,-3.2383,-1.4654,-0.2740,-0.1852,-0.0251,0.0366,-0.0973
22,Income Tax expense (Gain),353000,382000,4434000,10381000,13165000,17617000,-1594000,-1706000,6276000
23,Net Income,-77370000,-80682000,-111581000,-131845000,-61662000,-63559000,-7230000,19808000,-58351000
24,Net Income ratio,-7.4689,-5.2087,-3.3724,-1.5906,-0.3483,-0.2562,-0.0206,0.0401,-0.1091
25,EPS,-1.07,-1.13,-3.67,-1.54,-0.70,-0.69,-0.07,0.20,-0.56
26,EPS Diluted,-1.07,-1.13,-3.67,-1.54,-0.70,-0.69,-0.07,0.18,-0.56
27,Weighted Average Shares Outstanding,72137939,71166032,30401603,85558448,88546719,91828043,97237549,100930866,103731147
28,Weighted Average Shares Outstanding Diluted,72137939,71166032,30401603,85558448,88546719,91828043,97237549,108877648,103731147
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1645113/000156459016013777/0001564590-16-013777-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459017002097/0001564590-17-002097-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459018002766/0001564590-18-002766-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459019005146/0001564590-19-005146-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000164511320000025/0001645113-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000164511321000017/0001645113-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1645113/000164511322000011/0001645113-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,175894000,57613000,119423000,99780000,78592000,140622000,177321000,234674000,208802000
32,Short-Term Investments,- -,44999000,150001000,119854000,104719000,105256000,148769000,607902000,728898000
33,Cash and Short-Term Investments,175894000,102612000,269424000,219634000,183311000,245878000,326090000,842576000,937700000
34,Net Receivables,3881000,4858000,9509000,14185000,34782000,47271000,85809000,113981000,105881000
35,Inventory,1892000,3446000,13594000,25549000,22025000,22555000,23701000,27422000,24427000
36,Other Current Assets,1816000,914000,1377000,2505000,5016000,5665000,4347000,15462000,5518000
37,Total Current Assets,183483000,111830000,293904000,261873000,245134000,321369000,439947000,999441000,1073526000
38,PP&E,5176000,5749000,- -,- -,- -,- -,- -,41634000,53883000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,252000,297000,13432000,20208000,20164000,18424000,39501000,10908000,12086000
45,Total Non-Current Assets,5428000,6046000,13432000,20208000,20164000,18424000,39501000,52542000,65969000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,188911000,117876000,307336000,282081000,265298000,339793000,479448000,1051983000,1139495000
48,Accounts Payable,10286000,10033000,16755000,18356000,17206000,26708000,36925000,53647000,72600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2267000,4959000,8840000,11773000,17765000,17762000
52,Other Current Liabilities,5312000,7636000,11872000,16259000,28037000,29012000,37613000,42200000,52240000
53,Total Current Liabilities,15598000,17669000,28627000,36882000,50202000,64560000,86311000,113612000,142602000
54,Long-Term Debt,346000,321000,23097000,96231000,97961000,149268000,149424000,444198000,575213000
55,Deferred Revenue,- -,- -,- -,- -,- -,9929000,7807000,12139000,6477000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,124000,- -,- -,- -
57,Other Non-Current Liabilities,1188000,2011000,4792000,6623000,3571000,3653000,18116000,5508000,4709000
58,Total Non-Current Liabilities,1534000,2332000,27889000,102854000,101532000,162974000,175347000,461845000,586399000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,14140000,14293000,12997000
61,Total Liabilities,17132000,20001000,56516000,139736000,151734000,227534000,261658000,575457000,729001000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-195818000,-276500000,-388081000,-519926000,-582258000,-643655000,-650885000,-631077000,-685926000
65,Other Comprehensive Income/Loss,-2414000,-4276000,-2000000,-2000000,-1000000,-1000000,-3000000,-3832000,-3169000
66,Other Total Stockholders Equity,370011000,378651000,640901000,664271000,696822000,756914000,871675000,- -,- -
67,Total Stockholders Equity,171779000,97875000,250820000,142345000,113564000,112259000,217790000,476526000,410494000
68,Total Liabilities And Stockholders Equity,188911000,117876000,307336000,282081000,265298000,339793000,479448000,1051983000,1139495000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,188911000,117876000,307336000,282081000,265298000,339793000,479448000,1051983000,1139495000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1645113/000156459016013777/0001564590-16-013777-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459017002097/0001564590-17-002097-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459018002766/0001564590-18-002766-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459019005146/0001564590-19-005146-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000164511320000025/0001645113-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000164511321000017/0001645113-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1645113/000164511322000011/0001645113-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-77370000,-80682000,-111581000,-131845000,-61662000,-63559000,-7230000,19808000,-58351000
74,Depreciation and Amortization,1216000,1962000,3153000,5652000,7677000,9006000,8460000,9150000,10251000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,5120000,4624000,11860000,22139000,27116000,39846000,52416000,75721000,94900000
77,Change in Working Capital,6796000,-73724000,171116000,-40286000,-30059000,61877000,96827000,532193000,29069000
78,Accounts Receivable,- -,- -,- -,-6339000,-23228000,-4151000,-36496000,-30354000,5270000
79,Inventory,1479000,-1554000,-10148000,-11955000,3524000,-529000,-1159000,-2935000,2483000
80,Accounts Payable,5695000,-492000,6961000,1601000,-1150000,9503000,- -,- -,- -
81,Other Working Capital,167885000,94161000,265277000,224991000,194932000,256809000,353636000,885829000,- -
82,Other Non-Cash Items,11521000,73576000,-174432000,36748000,23794000,-49035000,-123853000,-537724000,6887000
83,Cash Provided by Operating Activities,-52717000,-74244000,-99884000,-107592000,-33134000,-1865000,26620000,99148000,82756000
84,CAPEX,-3627000,-2319000,-10271000,-17664000,-7366000,-6711000,-10485000,-14968000,-24170000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-137980000,-208998000,-239341000,-104006000,-253782000,-461843000,-607879000,-1078664000
87,Sales/Maturities of Investments,15048000,93000000,104000000,270000000,120000000,255000000,420661000,150000000,958000000
88,Other Investing Activites,-1019000,1117000,-26000,-180000,-1858000,- -,- -,- -,- -
89,Cash Used for Investing Activites,10402000,-46182000,-115295000,12815000,6770000,-5493000,-51667000,-472847000,-144834000
90,Debt Repayment,-58047000,-63000,-63000,-70000,-76000,-100084000,-31000,-150028000,-26000
91,Common Stock Issued,191738000,- -,252133000,616000,1540000,1835000,2467000,3370000,4546000
92,Common Stock Repurchased,- -,- -,-5000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,49627000,2208000,24924000,74578000,3704000,167618000,59245000,586867000,21182000
95,Cash Used/Provided by Financing Activities,183318000,2145000,276989000,75124000,5168000,69369000,61681000,440209000,25702000
96,Effect of Forex Changes on Cash,- -,- -,- -,10000,8000,27000,26000,247000,-188000
97,Net Change In Cash,141003000,-118281000,61810000,-19643000,-21188000,62038000,36660000,66757000,-36564000
98,Cash at the End of Period,175894000,57613000,119423000,99780000,78592000,142756000,179416000,246173000,209609000
99,Cash at the Beginning of Period,34891000,175894000,57613000,119423000,99780000,80718000,142756000,179416000,246173000
100,Free Cash Flow,-56344000,-76563000,-110155000,-125256000,-40500000,-8576000,16135000,84180000,58586000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1645113/000156459016013777/0001564590-16-013777-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459017002097/0001564590-17-002097-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459018002766/0001564590-18-002766-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000156459019005146/0001564590-19-005146-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000164511320000025/0001645113-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1645113/000164511321000017/0001645113-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1645113/000164511322000011/0001645113-22-000011-index.htm
102,false,,,,,,,,,
