,https://roic.ai/company/STCB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,20000,49080,1496590,426150,8190,126160,240290,1365360
2,COGS,- -,- -,- -,70000,69440,1118380,503950,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,-50000,-20360,378210,-77800,8190,- -,240290,1365360
4,Gross Profit Ratio,- -,- -,- -,-2.5000,-0.4148,0.2527,-0.1826,1.0000,- -,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,210000,2262651,877462,1133541,1168167,1259875,592074,684904,606810,388065,507278
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",210000,2262651,877462,1133541,1168167,1259875,592074,684904,606810,388065,507278
9,Other Expenses,- -,- -,- -,261661,152831,7085776,36820,5763,- -,- -,330953
10,Operating Expenses,210000,2262651,877462,1395202,1320998,8345651,628894,690667,606810,388065,838231
11,COGS and Expenses,210000,2260000,860000,1340000,1754860,9641870,1112210,696630,552690,368630,838231
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,79,47,- -,- -
13,Interest Expense (Gain),- -,6145,7653,11666,18493,23184,7319,49035,31972,32620,37173
14,Depreciation and Amortization,- -,3124,20421,33928,41786,38431,14839,- -,- -,- -,- -
15,EBITDA,-190000,-2280000,-840000,-1314406,-1664001,-8176965,-691872,-679365,-409978,-107340,580459
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-65.7203,-33.9039,-5.4637,-1.6235,-82.9505,-3.2497,-0.4467,0.4251
17,Operating Income,-210000,-2262651,-875267,-1440899,-1287466,-7394744,-706686,-682482,-480648,-147778,527129
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-72.0450,-26.2320,-4.9411,-1.6583,-83.3311,-3.8098,-0.6150,0.3861
19,Total Other Income Expenses (Gains),20000,-7349,5267,80899,-436814,-843836,-7344,-45918,38698,7818,16157
20,Income Before Tax,-190000,-2270000,-870000,-1360000,-1724280,-8238580,-714030,-728400,-441950,-139960,543286
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-68.0000,-35.1320,-5.5049,-1.6755,-88.9377,-3.5031,-0.5825,0.3979
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-190000,-2270000,-870000,-1360000,-1724280,-8238580,-714030,-728400,-441950,-139960,543286
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-68.0000,-35.1320,-5.5049,-1.6755,-88.9377,-3.5031,-0.5825,0.3979
25,EPS,-0.37,-4.50,-1.80,-2.40,-2.40,-8.70,-0.60,-0.47,-0.00,-0.00,0.00
26,EPS Diluted,-0.37,-4.50,-1.80,-2.40,-2.40,-8.70,-0.60,-0.47,-0.00,-0.00,0.00
27,Weighted Average Shares Outstanding,520000,504059,520614,597677,707276,869792,876672,1558503,133511633,159090914,159112859
28,Weighted Average Shares Outstanding Diluted,520000,504059,520614,597677,707276,869792,876672,1558503,133511633,159090914,159112859
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1539850/000109181813000128/0001091818-13-000128-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181814000113/0001091818-14-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181815000060/0001091818-15-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181816000326/0001091818-16-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181817000059/0001091818-17-000059-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181818000069/0001091818-18-000069-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181819000099/0001091818-19-000099-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181820000097/0001091818-20-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181821000049/0001091818-21-000049-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,40000,70000,10000,200,40490,- -,314180,720,4750,773
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,40000,70000,10000,200,40490,- -,314180,720,4750,773
34,Net Receivables,- -,- -,- -,- -,7020,158480,- -,4690,17500,14500,46
35,Inventory,- -,- -,120000,30000,- -,503950,- -,- -,- -,- -,- -
36,Other Current Assets,- -,20000,60000,70000,289000,84070,6600,43220,25980,38660,20
37,Total Current Assets,- -,60000,250000,110000,296220,786990,6600,362090,44200,57910,839
38,PP&E,10000,40000,90000,70000,72600,35300,- -,- -,- -,85080,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,10610,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,-610,10000,99510,10160,3500,3500,3500,3500,4
45,Total Non-Current Assets,10000,50000,100000,80000,172110,45460,3500,3500,3500,88580,4
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,110000,350000,190000,468330,832450,10100,365590,47700,146490,842
48,Accounts Payable,- -,40000,80000,120000,145480,522100,417390,194460,171950,188040,208
49,Short-Term Debt,- -,- -,100288,177311,7442,370671,21400,395822,400077,447491,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,270000,659712,142689,247958,1063199,360230,306198,326773,409589,889
53,Total Current Liabilities,- -,310000,840000,440000,400880,1955970,799020,896480,898800,1045120,1096
54,Long-Term Debt,90000,110000,20000,- -,- -,- -,- -,- -,- -,45632,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,10000,10000,- -,- -,- -,- -,- -,- -,- -,-2,- -
58,Total Non-Current Liabilities,100000,120000,20000,- -,- -,- -,- -,- -,- -,45630,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,86438,- -
61,Total Liabilities,100000,430000,860000,440000,400880,1955970,799020,896480,898800,1090750,1096
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,20000,20000,20000,24580,26300,27610,2420,159090,159090,159
64,Retained Earnings,-190000,-2460000,-3330000,-4690000,-6417380,-14655960,-15369990,-16098390,-16540340,-16680310,- -
65,Other Comprehensive Income/Loss,- -,- -,-30000,-40000,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,100000,2117796,2830006,4456133,6460248,14092731,14553463,15565078,15530154,15576960,-254333
67,Total Stockholders Equity,-90000,-322204,-509994,-253867,67448,-536929,-788917,-530892,-851096,-944260,-254174
68,Total Liabilities And Stockholders Equity,10000,107796,350006,186133,468328,1419041,10103,365588,47704,146490,-253078
69,Minority Interest,- -,2204,-6,3867,2,-586591,-3,2,-4,- -,253920
70,Total Liabilities & Equity,10000,110000,350000,190000,468330,832450,10100,365590,47700,146490,842
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1539850/000109181813000128/0001091818-13-000128-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181814000113/0001091818-14-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181815000060/0001091818-15-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181816000326/0001091818-16-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181817000059/0001091818-17-000059-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181818000069/0001091818-18-000069-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181819000099/0001091818-19-000099-index.html,https://www.sec.gov/Archives/edgar/data/1539850/000109181820000097/0001091818-20-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1539850/000109181821000049/0001091818-21-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-190000,-2270000,-870000,-1360000,-1724280,-8238580,-714030,-728400,-441950,-139960,543286
74,Depreciation and Amortization,- -,3124,20421,33928,41786,38431,14839,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,65251,- -,59854,21082,- -,5468,39847,- -,100000
77,Change in Working Capital,10000,-250000,-340000,260000,225340,-1064320,376560,258030,-320210,-132610,986952
78,Accounts Receivable,- -,- -,- -,- -,-7016,-165127,158482,-4692,-12812,3008,-31021
79,Inventory,- -,- -,-120573,34527,-119163,-359053,4085,- -,- -,- -,- -
80,Accounts Payable,- -,34838,30205,40116,22620,423246,194703,9449,28767,34154,19629
81,Other Working Capital,- -,-250000,-590000,-330000,-104660,-1168980,-792420,-534390,-854600,-987210,-258
82,Other Non-Cash Items,100000,2327709,603557,279915,850179,8623295,273562,-132073,404599,229188,-964468
83,Cash Provided by Operating Activities,-80000,-189167,-520771,-786157,-547121,-620092,-49069,-596975,-317714,-43382,665770
84,CAPEX,-10000,-29786,-74150,-52858,-59954,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-10000,-29786,-74150,-52858,-59954,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-4886,-23784,-328689,-47874,-114971,-87114,-48112,-46128,-110806,-217770
91,Common Stock Issued,- -,235000,613500,603000,88000,- -,- -,600000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,90000,27832,34072,505242,558747,775352,95698,359268,50382,158221,320568
95,Cash Used/Provided by Financing Activities,90000,257946,623788,779553,598873,660381,8584,911156,4254,47415,102798
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,257946,28867,-59462,-8202,40289,8584,911156,-313460,4033,768568
98,Cash at the End of Period,- -,38993,67860,8398,196,40485,- -,314181,721,4754,773322
99,Cash at the Beginning of Period,- -,- -,38993,67860,8398,196,40485,- -,314181,721,4754
100,Free Cash Flow,-90000,-218953,-594921,-839015,-607075,-620092,-49069,-596975,-317714,-43382,665770
