,https://roic.ai/company/ECPG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,26900000,28200000,36560000,47845000,90380000,117502000,178475000,221835000,255140000,254011000,255889000,316419000,381308000,467371000,555872000,773364000,1072789000,1161572000,1029258000,1187038000,1362030000,1397681000,1501400000,1614499000
2,COGS,1900000,5500000,- -,- -,18962000,27162000,28202000,69350000,52079000,100169000,119839000,- -,- -,- -,116416000,198137000,279590000,308192000,317238000,359445000,417012000,440230000,427930000,432235000
3,Gross Profit,25000000,22700000,- -,- -,71418000,90340000,150273000,152485000,203061000,153842000,136050000,316419000,381308000,467371000,439456000,575227000,793199000,853380000,712020000,827593000,945018000,957451000,1073470000,1182264000
4,Gross Profit Ratio,0.9294,0.8050,- -,- -,0.7902,0.7688,0.8420,0.6874,0.7959,0.6057,0.5317,1.0000,1.0000,1.0000,0.7906,0.7438,0.7394,0.7347,0.6918,0.6972,0.6938,0.6850,0.7150,0.7323
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201899000,224306000,287998000,61798000,109713000,146286000,196827000,134046000,158080000,158352000,148256000,388184000,391975000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19278000,20385000,14162000,15332000,33097000,33343000,37858000,36141000,43703000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221177000,244691000,302160000,77130000,142810000,179629000,234685000,170187000,201783000,158352000,148256000,388184000,391975000
9,Other Expenses,9500000,20700000,- -,- -,43904000,47818000,76787000,68471000,131450000,101680000,97061000,28605000,39586000,44437000,39447000,47099000,88465000,94269000,99464000,101212000,176162000,149462000,151724000,157017000
10,Operating Expenses,9500000,20700000,- -,- -,43904000,47818000,76787000,68471000,131450000,101680000,97061000,249782000,284277000,346597000,116577000,189909000,268094000,328954000,269651000,302995000,334514000,297718000,539908000,548992000
11,COGS and Expenses,11400000,26200000,58261000,46824000,62866000,74980000,104989000,137821000,183529000,201849000,216900000,249782000,284277000,346597000,232993000,388046000,547684000,637146000,586889000,662440000,751526000,737948000,967838000,981227000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10460000,15906000,27969000,28440000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16160000,19349000,21116000,23275000,68750000,157893000,174764000,185749000,190659000,214716000,205983000,193013000,153424000
14,Depreciation and Amortization,700000,-1100000,1963000,4084000,3225000,3496000,2136000,3594000,5234000,4570000,4191000,2592000,3199000,6494000,5840000,13547000,27949000,33945000,34868000,39977000,41228000,41029000,42780000,50079000
15,EBITDA,13100000,-1200000,-29024000,-5632000,11311000,32919000,40982000,55820000,46422000,28043000,36005000,72495000,100546000,126874000,150346000,202984000,342293000,267441000,335392000,365913000,418582000,447214000,518015000,639625000
16,EBITDA ratio,0.4870,-0.0426,-0.7939,-0.1177,0.1251,0.2802,0.2296,0.2516,0.1819,0.1104,0.1407,0.2291,0.2637,0.2715,0.2705,0.2625,0.3191,0.2302,0.3259,0.3083,0.3073,0.3200,0.3450,0.3962
17,Operating Income,15500000,2000000,-23089000,1021000,27514000,42522000,73486000,84014000,71611000,52162000,38989000,66637000,97031000,120774000,154176000,198359000,319444000,245302000,241514000,324540000,405300000,446345000,533562000,633272000
18,Operating Income ratio,0.5762,0.0709,-0.6315,0.0213,0.3044,0.3619,0.4117,0.3787,0.2807,0.2054,0.1524,0.2106,0.2545,0.2584,0.2774,0.2565,0.2978,0.2112,0.2346,0.2734,0.2976,0.3193,0.3554,0.3922
19,Total Other Income Expenses (Gains),-2900000,200000,-7898000,-10737000,-19428000,-13099000,-34640000,-31788000,-30423000,-28689000,-7175000,-12894000,-19033000,-21510000,-23851000,-77491000,-166829000,-184321000,-184139000,-193314000,-248812000,-245103000,-250664000,-196731000
20,Income Before Tax,12600000,- -,-30987000,-9716000,8086000,29423000,38846000,52226000,41188000,23473000,31814000,53743000,77998000,99264000,130325000,120868000,152615000,60981000,57375000,131226000,156488000,201242000,282898000,436541000
21,Income Before Tax Ratio,0.4684,- -,-0.8476,-0.2031,0.0895,0.2504,0.2177,0.2354,0.1614,0.0924,0.1243,0.1698,0.2046,0.2124,0.2345,0.1563,0.1423,0.0525,0.0557,0.1105,0.1149,0.1440,0.1884,0.2704
22,Income Tax expense (Gain),5100000,- -,-7257000,1149000,-5703000,11003000,15670000,21135000,17180000,8431000,12980000,20696000,28946000,38306000,51754000,45388000,52725000,13597000,38205000,52049000,46752000,32333000,70374000,85340000
