,https://roic.ai/company/ALPP,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,21840,7861040,10091491,14261794,28151524,33454349
2,COGS,- -,1170,5622880,7524814,9440998,22509046,28090722
3,Gross Profit,- -,20670,2238160,2566677,4820796,5642478,5363627
4,Gross Profit Ratio,- -,0.9464,0.2847,0.2543,0.3380,0.2004,0.1603
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,605230,13293644,4381770,3612885,5470148,8122204,9695891
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",605230,13293644,4381770,3612885,5470148,8122204,9695891
9,Other Expenses,- -,- -,265970,763503,- -,- -,- -
10,Operating Expenses,605230,13293644,4647740,4376388,5470148,8122204,9695891
11,COGS and Expenses,605230,13294814,10270620,11901202,14911146,30631250,37786613
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,131006,-959760,1540226,3121201,5237205,5463597
14,Depreciation and Amortization,- -,- -,265980,763503,947259,1255517,2070262
15,EBITDA,-605230,-13272974,-4045700,-952083,-3882956,3272503,-609065
16,EBITDA ratio,-Infinity,-607.7369,-0.5147,-0.0943,-0.2723,0.1162,-0.0182
17,Operating Income,-605230,-13272974,-2409580,-1809711,-649352,-2479726,-5893864
18,Operating Income ratio,-Infinity,-607.7369,-0.3065,-0.1793,-0.0455,-0.0881,-0.1762
19,Total Other Income Expenses (Gains),- -,-131006,-942340,-1446101,-2390940,-3160342,-2249060
20,Income Before Tax,-605230,-13403980,-3351920,-3255812,-3040292,-5640068,-8142924
21,Income Before Tax Ratio,-Infinity,-613.7353,-0.4264,-0.3226,-0.2132,-0.2003,-0.2434
22,Income Tax expense (Gain),- -,- -,-84460,-258392,-43399,-87054,-93051
23,Net Income,-605230,-13403980,-3267460,-2997420,-7908017,-3133165,-8049873
24,Net Income ratio,-Infinity,-613.7353,-0.4157,-0.2970,-0.5545,-0.1113,-0.2406
25,EPS,-0.03,-0.17,-0.15,-0.13,-0.28,-0.04,-0.06
26,EPS Diluted,-0.03,-0.17,-0.15,-0.13,-0.28,-0.04,-0.06
27,Weighted Average Shares Outstanding,22685880,77738500,21294890,23858031,28447969,75206998,132987390
28,Weighted Average Shares Outstanding Diluted,22685880,77738500,21294890,23858031,28447969,75206998,139611790
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1606698/000109690615000469/0001096906-15-000469-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1606698/000109690617000244/0001096906-17-000244-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606698/000109690621000759/0001096906-21-000759-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,758,174988,209494,128512,207205,302486,277738
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
