,https://roic.ai/company/GLXZ,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,1441066,939663,549205,- -,- -,- -,2770000,3050000,3680000,7220000,8220000,9845110,10951670,12450710,14855580,18560670,21301000,10230316,- -
2,COGS,491028,- -,- -,- -,- -,- -,220000,140000,100000,70000,110000,80530,95930,134280,226080,142780,230460,72684,2939824
3,Gross Profit,950038,- -,- -,- -,- -,- -,2550000,2910000,3580000,7150000,8110000,9764580,10855740,12316430,14629500,18417890,21070540,10157632,-2939824
4,Gross Profit Ratio,0.6593,- -,- -,- -,- -,- -,0.9206,0.9541,0.9728,0.9903,0.9866,0.9918,0.9912,0.9892,0.9848,0.9923,0.9892,0.9929,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,230000,290000,290000,330000,470000,472570,454940,353820,488830,926470,821130,487679,520449
6,General and Administrative Exp.,- -,- -,- -,920000,410000,252736,2520000,2680000,3200000,4110000,4220000,5860920,7238790,6875950,9870510,11737480,14223170,8964930,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,920000,410000,252736,2520000,2680000,3200000,4110000,4220000,5860920,7238790,6875950,9870510,11737480,14223170,8964930,10646524
9,Other Expenses,1718822,- -,- -,-69400,1859,- -,-7688,-3280,451801,1621495,1628625,1671441,1688430,1698026,1766535,1782095,1953558,- -,- -
10,Operating Expenses,1718822,- -,- -,850600,411859,252736,2742312,2966720,3941801,6061495,6318625,8004931,9382160,8927796,12125875,14446045,16997858,9452609,11166973
11,COGS and Expenses,2209850,3788403,2491903,1030000,710000,252736,2970000,3100000,4040000,6080000,6570000,8613690,9463520,8879900,12351950,15995590,17228320,12485326,15639252
12,Interest Income ,10326,22065,28846,574,- -,- -,29265,26150,24821,21600,23259,23478,13337,202,188,1504,68634,25702,2048
