,https://roic.ai/company/GLOB,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,90073000,128849000,158324000,199605000,253796000,322856000,413439000,522310000,659325000,814139000,1297078000
2,COGS,53604000,80612000,99603000,121693000,160292000,191395000,263171000,318554000,405164000,509812000,802090000
3,Gross Profit,36469000,48237000,58721000,77912000,93504000,131461000,150268000,203756000,254161000,304327000,494988000
4,Gross Profit Ratio,0.4049,0.3744,0.3709,0.3903,0.3684,0.4072,0.3635,0.3901,0.3855,0.3738,0.3816
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,23269000,40716000,44190000,53067000,66734000,76879000,99019000,113150000,131646000,158319000,- -
7,Selling and Marketing Exp.,710000,1074000,1251000,- -,- -,- -,- -,- -,- -,3517000,- -
8,"Selling, General and Administrative Exp.",23979000,41790000,45441000,53067000,66734000,76879000,99019000,113150000,131646000,161836000,343004000
9,Other Expenses,2559000,5890000,9400000,4221000,4860000,5010000,11789000,20037000,40832000,55386000,- -
10,Operating Expenses,26538000,47680000,54841000,57288000,71594000,81889000,110808000,133187000,172478000,217222000,343004000
11,COGS and Expenses,80142000,128292000,154444000,164847000,210964000,273284000,380273000,455516000,577021000,727034000,1145094000
12,Interest Income ,- -,68000,38000,99000,8000,60000,479000,407000,958000,1920000,652000
13,Interest Expense (Gain),371000,1297000,1819000,-944000,3217000,-1623000,-75000,-2550000,-11491000,8875000,12708000
14,Depreciation and Amortization,2499000,4770000,7156000,8034000,9301000,10918000,16128000,20543000,38839000,48480000,80286000
15,EBITDA,11647000,4606000,28753000,41222000,62591000,59498000,54673000,85538000,96380000,133879000,217846000
16,EBITDA ratio,0.1293,0.0357,0.1816,0.2065,0.2466,0.1843,0.1322,0.1638,0.1462,0.1644,0.1680
17,Operating Income,9931000,557000,-5699000,22129000,23730000,49572000,33166000,66794000,80735000,83942000,144433000
18,Operating Income ratio,0.1103,0.0043,-0.0360,0.1109,0.0935,0.1535,0.0802,0.1279,0.1225,0.1031,0.1114
19,Total Other Income Expenses (Gains),-1154000,-2018000,25477000,12065000,26310000,617000,5378000,670000,-11703000,-7418000,-19581000
20,Income Before Tax,8777000,-1461000,19778000,34194000,50040000,50189000,38544000,67464000,69032000,76524000,124852000
21,Income Before Tax Ratio,0.0974,-0.0113,0.1249,0.1713,0.1972,0.1555,0.0932,0.1292,0.1047,0.0940,0.0963
22,Income Tax expense (Gain),1689000,-160000,6009000,8931000,18420000,14327000,8081000,15868000,15017000,22307000,28497000
23,Net Income,7088000,-1301000,13769000,25201000,31653000,35876000,30539000,51677000,54015000,54217000,96355000
24,Net Income ratio,0.0787,-0.0101,0.0870,0.1263,0.1247,0.1111,0.0739,0.0989,0.0819,0.0666,0.0743
25,EPS,0.21,-0.04,0.41,0.81,0.93,1.07,0.89,1.44,1.48,1.41,2.56
26,EPS Diluted,0.21,-0.04,0.41,0.79,0.90,1.04,0.86,1.41,1.43,1.37,2.56
27,Weighted Average Shares Outstanding,33345158,33345158,33345158,30926000,33960000,34402000,34919000,35746000,36586000,38515000,37674000
28,Weighted Average Shares Outstanding Diluted,33345158,33345158,33345158,31867000,35013000,35413000,36096000,36685000,37674000,39717000,37674000
