,https://roic.ai/company/CRAI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,44800000,53000000,74000000,82547000,109804000,130690000,163458000,216735000,295474000,349894000,394645000,376751000,301639000,287424000,305228000,270390000,278432000,- -,306371000,324779000,370075000,417648000,451370000,- -,508373000
2,COGS,27700000,30700000,40200000,44297000,65590000,80659000,100168000,127716000,174724000,221342000,246014000,250109000,199861000,197140000,199383000,182381000,189262000,- -,206813000,227380000,258829000,289185000,317761000,- -,370709000
3,Gross Profit,17100000,22300000,33800000,38250000,44214000,50031000,63290000,89019000,120750000,128552000,148631000,126642000,101778000,90284000,105845000,88009000,89170000,- -,99558000,97399000,111246000,128463000,133609000,- -,137664000
4,Gross Profit Ratio,0.3817,0.4208,0.4568,0.4634,0.4027,0.3828,0.3872,0.4107,0.4087,0.3674,0.3766,0.3361,0.3374,0.3141,0.3468,0.3255,0.3203,- -,0.3250,0.2999,0.3006,0.3076,0.2960,- -,0.2708
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71752000,- -,- -,- -,- -,- -,- -,- -,93613000,- -,90028000
9,Other Expenses,12400000,12800000,19500000,23979000,31556000,36600000,43055000,57286000,76562000,80601000,99861000,105496000,84645000,79883000,5029000,74425000,70653000,- -,75517000,78480000,95482000,99528000,10648000,- -,12840000
10,Operating Expenses,12400000,12800000,19500000,23979000,31556000,36600000,43055000,57286000,76562000,80601000,99861000,105496000,84645000,79883000,76781000,74425000,70653000,- -,75517000,78480000,95482000,99528000,104261000,- -,102868000
11,COGS and Expenses,40100000,43500000,59700000,68276000,97146000,117259000,143223000,185002000,251286000,301943000,345875000,355605000,284506000,277023000,276164000,256806000,259915000,- -,282330000,305860000,354311000,388713000,422022000,- -,473577000
12,Interest Income ,- -,- -,- -,1542000,1045000,337000,85000,904000,2149000,5089000,5514000,3132000,451000,390000,332000,264000,155000,- -,163000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1751000,3369000,3424000,3338000,3478000,2918000,3356000,911000,300000,574000,- -,594000,469000,484000,647000,1254000,- -,1216000
14,Depreciation and Amortization,700000,900000,2100000,2142000,3371000,2968000,3761000,5125000,8121000,10275000,10162000,9393000,7830000,6362000,5103000,5841000,6460000,- -,6438000,7875000,8859000,9942000,21268000,- -,24877000
15,EBITDA,6000000,11600000,17300000,17147000,16658000,17283000,23927000,37167000,54620000,62326000,65799000,35811000,26655000,16577000,34003000,-52029000,25087000,- -,30578000,28888000,24430000,39542000,49319000,- -,59715000
16,EBITDA ratio,0.1339,0.2189,0.2338,0.2077,0.1517,0.1322,0.1464,0.1715,0.1849,0.1781,0.1667,0.0951,0.0884,0.0577,0.1114,-0.1924,0.0901,- -,0.0998,0.0889,0.0660,0.0947,0.1093,- -,0.1175
17,Operating Income,4700000,9500000,14300000,14271000,12658000,13431000,20235000,31733000,44188000,47951000,48770000,21146000,17133000,9601000,29064000,-57810000,18517000,- -,24041000,18919000,15764000,28935000,29348000,- -,34796000
18,Operating Income ratio,0.1049,0.1792,0.1932,0.1729,0.1153,0.1028,0.1238,0.1464,0.1495,0.1370,0.1236,0.0561,0.0568,0.0334,0.0952,-0.2138,0.0665,- -,0.0785,0.0583,0.0426,0.0693,0.0650,- -,0.0684
19,Total Other Income Expenses (Gains),600000,1200000,900000,734000,1045000,884000,-69000,-1107000,-999000,1462000,1735000,2121000,-1843000,-3368000,-981000,-213000,-599000,- -,-726000,2970000,-600000,-2000,-2551000,- -,-1174000
20,Income Before Tax,5300000,10700000,15200000,15005000,13703000,14315000,20166000,30626000,43189000,49413000,50505000,23267000,15290000,6233000,28083000,-58023000,17918000,- -,23315000,21889000,15164000,28933000,26797000,- -,33622000
21,Income Before Tax Ratio,0.1183,0.2019,0.2054,0.1818,0.1248,0.1095,0.1234,0.1413,0.1462,0.1412,0.1280,0.0618,0.0507,0.0217,0.0920,-0.2146,0.0644,- -,0.0761,0.0674,0.0410,0.0693,0.0594,- -,0.0661
22,Income Tax expense (Gain),300000,4300000,6200000,6166000,5848000,5879000,8737000,13947000,18530000,21182000,19697000,14236000,8090000,4273000,11138000,-5180000,6683000,- -,9908000,7656000,7463000,6461000,6050000,- -,9115000
23,Net Income,5000000,6400000,9000000,8839000,7439000,8436000,11429000,16344000,24600000,27445000,32602000,8704000,7817000,2586000,16851000,-52990000,11370000,- -,13638000,12888000,7624000,22492000,20747000,- -,24507000
24,Net Income ratio,0.1116,0.1208,0.1216,0.1071,0.0677,0.0645,0.0699,0.0754,0.0833,0.0784,0.0826,0.0231,0.0259,0.0090,0.0552,-0.1960,0.0408,- -,0.0445,0.0397,0.0206,0.0539,0.0460,- -,0.0482
25,EPS,0.78,0.84,1.07,1.01,0.82,0.93,1.21,1.63,2.34,2.40,2.91,0.82,0.74,0.18,1.60,-5.21,1.13,- -,1.40,1.50,0.91,2.76,2.63,- -,3.14
26,EPS Diluted,0.78,0.84,1.05,1.01,0.81,0.91,1.16,1.55,2.13,2.24,2.68,0.80,0.73,0.18,1.57,-5.21,1.12,- -,1.38,1.49,0.89,2.61,2.53,- -,3.07
27,Weighted Average Shares Outstanding,6410256,7570493,8477204,8727705,9107000,9047000,9438000,10016000,10526000,11418000,11220000,10610000,10608000,10636300,10555000,10167000,10084000,- -,9747000,8503000,8292000,8107000,7866000,- -,7768000
28,Weighted Average Shares Outstanding Diluted,6410256,7619945,8571042,8774422,9218000,9283000,9843000,10520000,11564000,12272000,12149000,10904000,10718000,10754900,10739000,10167000,10173000,- -,9897000,8601000,8497000,8570000,8167000,- -,7948000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1053706/000105370621000008/0001053706-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2100000,32000000,20200000,20300000,21900000,18846000,60500000,65600000,115200000,131600000,100500000,119300000,82800000,74200000,61587000,55500000,51251000,- -,48199000,53530000,54035000,38028000,25639000,- -,45677000
32,Short-Term Investments,- -,- -,8700000,5800000,1700000,152000,- -,2200000,- -,- -,- -,- -,23700000,6300000,14495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2100000,32000000,28900000,26100000,23600000,18998000,60500000,67800000,115200000,131600000,100500000,119300000,106500000,80500000,76082000,55500000,51251000,- -,48199000,53530000,54035000,38028000,25639000,- -,45677000
34,Net Receivables,14800000,16500000,26600000,29500000,37300000,41906000,49500000,75500000,92800000,110500000,131000000,101200000,88200000,94200000,84720000,81400000,83895000,- -,85614000,97686000,118873000,136689000,151161000,- -,167225000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,300000,1100000,1900000,1200000,2300000,3902000,8700000,19500000,19000000,17600000,16900000,32600000,35100000,22900000,29122000,34800000,27817000,- -,10716000,19295000,11373000,6423000,7277000,- -,7068000
37,Total Current Assets,17200000,49600000,57400000,56800000,63200000,64806000,118700000,162800000,227000000,259700000,248400000,253100000,229800000,197600000,189924000,171700000,162963000,- -,144529000,170511000,184281000,181140000,184077000,- -,219970000
38,PP&E,2900000,3500000,4100000,5900000,7600000,9397000,12700000,18500000,25900000,25100000,27900000,23700000,19100000,17700000,21611000,18000000,15655000,- -,14696000,36381000,44643000,48088000,191468000,- -,185022000
39,Goodwill,- -,- -,10600000,14800000,17900000,- -,24800000,91500000,115200000,141300000,152200000,154000000,142000000,141200000,140654000,70800000,81573000,- -,82303000,74764000,89000000,88208000,88504000,- -,89187000
40,Intangible Assets,- -,- -,1300000,1200000,1000000,26476000,1200000,3000000,7300000,8300000,7000000,6400000,6200000,3300000,2472000,1800000,4537000,- -,4757000,2685000,9208000,7846000,6476000,- -,5108000
41,Intangible Assets,- -,- -,11900000,16000000,18900000,26476000,26000000,94500000,122500000,149600000,159200000,160400000,148200000,144500000,143126000,72600000,86110000,- -,87060000,77449000,98208000,96054000,94980000,- -,94295000
42,Investments,- -,- -,- -,- -,3400000,- -,5200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,131000,1200000,900000,3000000,3300000,2700000,3500000,8100000,6500000,105000,1300000,955000,- -,1608000,10049000,365000,302000,10670000,- -,9667000
44,Other Non-Current Assets,300000,200000,100000,1200000,3800000,8359000,400000,12100000,9100000,8200000,15700000,9000000,16900000,7400000,17341000,28400000,54621000,- -,65579000,29252000,34260000,45262000,52048000,- -,49556000
45,Total Non-Current Assets,3200000,3700000,16100000,23100000,33700000,44363000,45500000,126000000,160500000,186200000,205500000,196600000,192300000,176100000,182183000,120300000,157341000,- -,168943000,153131000,177476000,189706000,349166000,- -,338540000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20400000,53300000,73500000,79900000,96900000,109169000,164200000,288800000,387500000,445900000,453900000,449700000,422100000,373700000,372107000,292000000,320304000,- -,313472000,323642000,361757000,370846000,533243000,- -,558510000
48,Accounts Payable,900000,2500000,3600000,4000000,6000000,7894000,9600000,11600000,13700000,11900000,14700000,13800000,13400000,12900000,10469000,9800000,13766000,- -,13700000,13729000,18473000,21938000,26069000,- -,19430000
49,Short-Term Debt,300000,- -,- -,- -,- -,987000,1038000,1082000,972000,3242000,- -,875000,700000,- -,3520000,691000,- -,- -,- -,- -,- -,- -,12847000,- -,13557000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2602000,626000,3503000,- -,490000,534000,153000,514000,430000,- -,1927000
51,Deferred Revenue,- -,- -,- -,- -,1437000,910000,5510000,12389000,13343000,13998000,11039000,16350000,16695000,11143000,7707000,15955000,6098000,- -,20638000,3021000,8713000,9330000,6723000,- -,9866000
52,Other Current Liabilities,8300000,14200000,15800000,10000000,14663000,17306000,23552000,36429000,50585000,70560000,73061000,78975000,48305000,74257000,60577000,42754000,68096000,- -,53935000,77350000,94795000,111229000,125771000,- -,157278000
53,Total Current Liabilities,9500000,16700000,19400000,14000000,22100000,27097000,39700000,61500000,78600000,99700000,98800000,110000000,79100000,98300000,82273000,69200000,87960000,- -,88273000,94100000,121981000,142497000,171410000,- -,200131000
54,Long-Term Debt,800000,500000,500000,100000,600000,413000,1600000,91200000,90200000,87000000,90000000,82500000,64900000,2200000,1631000,1000000,1007000,- -,981000,- -,- -,- -,146551000,- -,139447000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5608000,- -,- -,4535000,- -,11526000,23618000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8659000,1275000,1585000,- -,3027000,122000,365000,302000,504000,- -,725000
57,Other Non-Current Liabilities,1300000,1500000,1300000,3400000,4200000,1605000,4900000,9100000,14100000,10400000,14000000,19800000,25200000,17500000,11137000,3617000,5115000,- -,2571000,21537000,20977000,7957000,17027000,- -,9188000
58,Total Non-Current Liabilities,2100000,2000000,1800000,3500000,4800000,2018000,6500000,100300000,104300000,97400000,104000000,102300000,90100000,19700000,21427000,11500000,7707000,- -,11114000,21659000,32868000,31877000,164082000,- -,149360000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159398000,- -,153004000
61,Total Liabilities,11600000,18700000,21200000,17500000,26900000,29115000,46200000,161800000,182900000,197100000,202800000,212300000,169200000,118000000,103700000,80700000,95667000,- -,99387000,115759000,154849000,174374000,335492000,- -,349491000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,31000000,40200000,45700000,46100000,45596000,72800000,61800000,118800000,128600000,92000000,89100000,94700000,103100000,- -,93200000,93242000,- -,73171000,54124000,47414000,22837000,9265000,- -,503000
64,Retained Earnings,7800000,3600000,12500000,21400000,28800000,37217000,48600000,65000000,89600000,117000000,149600000,158300000,163200000,159400000,175600000,122600000,133980000,- -,147618000,166914000,169390000,186229000,200249000,- -,216999000
65,Other Comprehensive Income/Loss,-3200000,-3500000,-600000,-600000,-600000,-4455000,-3407000,205000,-3760000,3159000,9433000,-10085000,-5069000,-5662000,-6338000,-4388000,-3424000,- -,-6704000,-13818000,-9896000,-12594000,-11763000,- -,-8483000
66,Other Total Stockholders Equity,4200000,3500000,200000,- -,- -,- -,38000,21000,-20000,17000,49000,25000,66000,-2084000,- -,-136000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,8800000,34600000,52300000,62300000,70000000,78358000,118031000,127026000,204620000,248776000,251082000,237340000,252897000,254754000,267604000,211276000,223798000,- -,214085000,207220000,206908000,196472000,197751000,- -,209019000
68,Total Liabilities And Stockholders Equity,20400000,53300000,73500000,79800000,96900000,107473000,164231000,288826000,387520000,445876000,453882000,449640000,422097000,372754000,371304000,291976000,319465000,- -,313472000,322979000,361757000,370846000,533243000,- -,558510000
69,Minority Interest,- -,- -,- -,100000,- -,1696000,-31000,-26000,-20000,24000,18000,60000,3000,946000,803000,24000,839000,- -,- -,663000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20400000,53300000,73500000,79900000,96900000,109169000,164200000,288800000,387500000,445900000,453900000,449700000,422100000,373700000,372107000,292000000,320304000,- -,313472000,323642000,361757000,370846000,533243000,- -,558510000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1053706/000105370621000008/0001053706-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5000000,6400000,9000000,8839000,7439000,8436000,11429000,16344000,24600000,27445000,32602000,8704000,7817000,2586000,16851000,-52990000,11370000,- -,13638000,12888000,7624000,22492000,20747000,- -,24507000
74,Depreciation and Amortization,700000,900000,2100000,2142000,3371000,2968000,3761000,5125000,8121000,10275000,10162000,9393000,7830000,6362000,5103000,5841000,6460000,- -,6438000,7875000,8859000,9942000,21268000,- -,24877000
75,Deferred Income Tax,100000,-1100000,-800000,722000,-1129000,-292000,-2266000,1434000,3955000,2463000,3238000,-4255000,7047000,3779000,-8739000,-9882000,3924000,- -,-1431000,8399000,1651000,-829000,-1159000,- -,1114000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6824000,7367000,5769000,4947000,3035000,- -,5619000,6867000,6616000,4819000,3461000,- -,3235000
77,Change in Working Capital,-1900000,7700000,25200000,5100000,4800000,-1700000,-3391000,41291000,22300000,47100000,11600000,-10400000,-6500000,7600000,-51400000,8351000,-5151000,- -,-27497000,-1920000,22075000,-14111000,-16691000,- -,1020000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10270000,3550000,-12545000,10271000,9917000,- -,1929000,-8801000,-14358000,-14427000,-12759000,- -,-1948000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
