,https://roic.ai/company/BLRX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,31894115,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,7207179,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,24686935,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.7740,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,15492152,11198896,17212268,12650969,10899785,11489000,11177000,19510000,19808000,23438000,18173000,19466000
6,General and Administrative Exp.,4142345,3342617,3230512,3332089,3055525,3224000,3470000,3568000,3873000,3372000,3844000,4266000
7,Selling and Marketing Exp.,1299045,869154,863772,1177602,1459965,1003000,1352000,1693000,1362000,857000,840000,1003000
8,"Selling, General and Administrative Exp.",5441391,4211771,4094284,4509691,4515489,4227000,4822000,5261000,5235000,4229000,4684000,5269000
9,Other Expenses,50169,0,523831,465470,434779,480000,514000,469000,562000,444000,- -,42000
10,Operating Expenses,20983712,15410667,21830383,17626131,15850054,16196000,16513000,25240000,25605000,28111000,22857000,24777000
11,COGS and Expenses,28190891,15410667,21830383,17626131,15850054,16196000,16513000,25240000,25605000,28111000,22927000,24777000
12,Interest Income ,861333,3344719,2360584,746590,3275354,457000,480000,824000,719000,777000,236000,559000
13,Interest Expense (Gain),16629,1120074,25964,20675,17977,15000,14000,21000,21000,1853000,1470000,984000
14,Depreciation and Amortization,511275,410667,407929,329361,246538,441000,482000,481000,545000,940000,861000,703000
15,EBITDA,2624866,-15000000,-21806025,-17531371,-15835416,-16169000,-16483000,-25211000,-25578000,-28033000,-22338000,-23431000
16,EBITDA ratio,0.0823,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,3703224,-15410667,-21830383,-17626131,-15850054,-16196000,-16513000,-25240000,-25605000,-28111000,-22927000,-24777000
18,Operating Income ratio,0.1161,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-1606262,- -,1415173,-15793,5675243,1796000,672000,888000,2643000,2665000,-7094000,-2277000
20,Income Before Tax,2096962,- -,-20415210,-17641924,-10174811,-14400000,-15841000,-24352000,-22962000,-25446000,-30021000,-27054000
21,Income Before Tax Ratio,0.0657,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,2096962,-13186022,-20415210,-17641924,-10174811,-14400000,-15841000,-24352000,-22962000,-25446000,-30021000,-27054000
24,Net Income ratio,0.0657,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,2.54,-16.16,-18.07,-11.63,-4.62,-4.20,-4.20,-4.05,-3.15,-2.55,-1.80,-1.60
26,EPS Diluted,2.54,-16.16,-18.07,-11.63,-4.62,-4.20,-4.20,-4.05,-3.15,-2.55,-1.80,-1.60
27,Weighted Average Shares Outstanding,823413,824020,1129367,1499233,2162259,3427096,3742982,5998048,7239713,9760470,16856293,16856293
28,Weighted Average Shares Outstanding Diluted,830313,824020,1129367,1499233,2162259,3427096,3742982,5998048,7239713,9760470,16856293,16856293
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1498403/000117891312000763/0001178913-12-000763-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891313000655/0001178913-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891314000942/0001178913-14-000942-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891315000957/0001178913-15-000957-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891316004649/0001178913-16-004649-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891317000871/0001178913-17-000871-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891318000765/0001178913-18-000765-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891319000965/0001178913-19-000965-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891320000790/0001178913-20-000790-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8686548,18292317,8869490,5783103,5544000,2469000,5110000,3404000,5297000,16831000,12990000
32,Short-Term Investments,- -,17283762,3067233,9287868,28853626,42119000,33154000,44373000,26747000,22192000,5756000,44145000
