,https://roic.ai/company/DFFN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,2560000,- -,- -,- -,40189,- -,40189,570476,374542,71667,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,2530000,- -,- -,- -,24679,- -,210393,2308610,235803,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,30000,- -,- -,- -,15510,- -,-170204,-1738134,138739,71667,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.0117,- -,- -,- -,0.3859,- -,-4.2351,-3.0468,0.3704,1.0000,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2860658,3852973,7252241,5088621,5751940,6619597,9427667,8499414000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,950751,1739665,6767080,12761627,6829060,3079510,4760145,8879799,11094146,6191845,6167177,4834284,6444109,7445277000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,92200,41900,55800,950751,1739665,6767080,12761627,6829060,3079510,4760145,8879799,11094146,6191845,6167177,4834284,6444109,7445277000
9,Other Expenses,- -,- -,- -,2660000,- -,- -,- -,55852,1208797,49672,69805,34043,3745549,322670,-6732772,25342,67981,110371,97915,103168,- -
10,Operating Expenses,- -,- -,- -,2660000,92200,41900,55800,1006603,2948462,6816752,12831432,6863103,6825059,7943473,6000000,18371729,11348447,12029488,11551796,15974944,15944691000
11,COGS and Expenses,- -,- -,- -,5190000,92200,41900,55800,1031282,2948462,7027145,15140042,7098906,6825059,7943473,12756041,18371729,11348447,12029488,11551796,15974944,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102435,- -,- -,- -,- -,- -,- -,- -,- -,137487000
13,Interest Expense (Gain),- -,- -,- -,-70000,2663,6196,4962,186489,122917,81389,420733,167894,228294,273503,- -,29686,48006,151647,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,55852,47204,49672,119805,34043,675757,566262,23269,25342,67981,110371,97915,103168,93416
15,EBITDA,- -,- -,- -,-2780000,-92200,-41900,-55800,-850926,-2901258,-8278544,-15296630,-6647878,-1560299,-7377211,-12732772,-18346387,-11280466,-11919117,-11453881,-15871776,-24539526584
16,EBITDA ratio,- -,- -,- -,-1.0859,-Infinity,-Infinity,-Infinity,-21.1731,-Infinity,-205.9903,-26.8138,-17.7494,-21.7715,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
