,https://roic.ai/company/UPST,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,55970000,96066000,163818000,227601000,841439000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,227601000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,38802000,- -
6,General and Administrative Exp.,25663000,35236000,56812000,83190000,240256000
7,Selling and Marketing Exp.,33838000,63633000,93175000,99659000,333453000
8,"Selling, General and Administrative Exp.",59501000,98869000,149987000,182849000,573709000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,221651000,- -
11,COGS and Expenses,- -,- -,- -,221651000,- -
12,Interest Income ,15548000,37314000,30827000,12842000,50588000
13,Interest Expense (Gain),9420000,26483000,26485000,8026000,3274000
14,Depreciation and Amortization,93000,314000,774000,2278000,7541000
15,EBITDA,1802000,14478000,26867000,16658000,144546000
16,EBITDA ratio,0.0322,0.1507,0.1640,0.0732,0.1718
17,Operating Income,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,-5815000,-7150000
20,Income Before Tax,-8855000,-11218000,-4946000,5950000,133731000
21,Income Before Tax Ratio,-0.1582,-0.1168,-0.0302,0.0261,0.1589
22,Income Tax expense (Gain),6000,- -,74000,371000,-1712000
23,Net Income,-7717000,-12319000,-466000,5983000,135443000
24,Net Income ratio,-0.1379,-0.1282,-0.0028,0.0263,0.1610
25,EPS,-0.12,-0.20,0.06,0.34,7.73
26,EPS Diluted,-0.12,-0.20,0.05,0.34,7.73
27,Weighted Average Shares Outstanding,62249893,62613408,62249893,17513670,17513670
28,Weighted Average Shares Outstanding Diluted,71497924,71733580,71497924,17513670,17513670
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1647639/000164763922000006/0001647639-22-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1647639/000164763922000009/0001647639-22-000009-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,74294000,50818000,258766000,994985000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,74294000,50818000,258766000,994985000
34,Net Receivables,- -,10841000,42437000,30730000,63806000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-38677000,514319000
37,Total Current Assets,- -,- -,- -,250819000,1573110000
38,PP&E,- -,1502000,22220000,28342000,120377000
39,Goodwill,- -,- -,- -,- -,67062000
40,Intangible Assets,- -,- -,- -,- -,19906000
41,Intangible Assets,- -,- -,- -,- -,86968000
42,Investments,- -,- -,- -,- -,40000000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-18310000,- -
45,Total Non-Current Assets,- -,- -,- -,10032000,247345000
46,Other Assets,- -,645908000,393462000,448913000,2067800000
47,Total Assets,- -,645908000,393462000,260851000,1820455000
48,Accounts Payable,- -,397145000,122286000,13775000,6563000
49,Short-Term Debt,- -,49266000,84596000,40494000,48030000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,-40494000,- -
53,Total Current Liabilities,- -,446411000,206882000,13775000,54593000
54,Long-Term Debt,- -,78891000,34013000,22132000,747768000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-2700000,- -
58,Total Non-Current Liabilities,- -,78891000,34013000,19432000,747768000
59,Other Liabilities,- -,333058000,282281000,182660000,1706552000
60,Capital Lease Obligations,- -,- -,17061000,19432000,100366000
61,Total Liabilities,- -,700578000,455150000,177003000,1013377000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,2000,7000,8000
64,Retained Earnings,- -,-75078000,-75205000,-69222000,66221000
65,Other Comprehensive Income/Loss,- -,-640000,-1414000,- -,- -
66,Other Total Stockholders Equity,- -,9046000,13903000,369467000,- -
67,Total Stockholders Equity,- -,-66671000,-62714000,300252000,807078000
68,Total Liabilities And Stockholders Equity,- -,633907000,392436000,477255000,1820455000
69,Minority Interest,- -,12001000,1026000,-216404000,- -
70,Total Liabilities & Equity,- -,645908000,393462000,260851000,1820455000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1647639/000164763922000006/0001647639-22-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1647639/000164763922000009/0001647639-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-7717000,-12319000,-466000,5983000,135443000
74,Depreciation and Amortization,93000,314000,774000,2278000,7541000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1290000,2045000,3806000,12300000,73186000
77,Change in Working Capital,21063000,- -,- -,237044000,55244000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,946000,1118000,3613000,7033000,-7513000
81,Other Working Capital,- -,- -,- -,237044000,3126000
82,Other Non-Cash Items,-4372000,60298000,27468000,-241908000,-103061000
83,Cash Provided by Operating Activities,10357000,50338000,31582000,15697000,168353000
84,CAPEX,-773000,-1044000,-5279000,-5605000,-15115000
85,Acquisitions Net,- -,- -,- -,- -,-16757000
86,Purchases of Investments,- -,- -,-485000,-9655000,-40000000
87,Sales/Maturities of Investments,- -,1229000,8760000,97340000,- -
88,Other Investing Activites,-393421000,-138318000,41162000,50187000,-78693000
89,Cash Used for Investing Activites,-393421000,-137237000,45433000,136517000,-143877000
90,Debt Repayment,-174035000,-341197000,-309318000,-174239000,-71316000
91,Common Stock Issued,- -,- -,- -,159488000,263931000
92,Common Stock Repurchased,- -,- -,-661000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,586750000,476963000,190789000,93803000,662817000
