,https://roic.ai/company/BCYC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2060000,7136000,13801000,10390000,11697000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,11866000,20761000,25540000,33149000,44880000
6,General and Administrative Exp.,6407000,8121000,14560000,29201000,32435000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6407000,8121000,14560000,29201000,32435000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,18273000,28882000,40100000,62350000,77315000
11,COGS and Expenses,18273000,28882000,40100000,62350000,- -
12,Interest Income ,50000,169000,814000,683000,120000
13,Interest Expense (Gain),- -,- -,- -,457000,-2984000
14,Depreciation and Amortization,332000,712000,960000,1277000,1409000
15,EBITDA,-15950000,-21530000,-29902000,-50000000,-70057000
16,EBITDA ratio,-7.7427,-3.0171,-2.1667,-4.8123,-5.9893
17,Operating Income,-16213000,-21746000,-26299000,-51960000,-65618000
18,Operating Income ratio,-7.8704,-3.0474,-1.9056,-5.0010,-5.6098
19,Total Other Income Expenses (Gains),-69000,-496000,-4563000,226000,-2864000
20,Income Before Tax,-16282000,-22242000,-30862000,-51734000,-68482000
21,Income Before Tax Ratio,-7.9039,-3.1169,-2.2362,-4.9792,-5.8547
22,Income Tax expense (Gain),-23000,-396000,-254000,-724000,-1663000
23,Net Income,-16259000,-21846000,-30608000,-51010000,-66819000
24,Net Income ratio,-7.8927,-3.0614,-2.2178,-4.9095,-5.7125
25,EPS,-1.22,-1.93,-2.77,-2.66,-2.67
26,EPS Diluted,-1.22,-1.93,-2.77,-2.66,-2.67
27,Weighted Average Shares Outstanding,13293400,10954310,11045370,19145938,25061734
28,Weighted Average Shares Outstanding Diluted,13293400,10954310,11045370,19145938,25061734
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1761612/000155837020002278/0001558370-20-002278-index.html,https://www.sec.gov/Archives/edgar/data/1761612/000155837021002758/0001558370-21-002758-index.htm,https://www.sec.gov/Archives/edgar/data/1761612/000155837022002457/0001558370-22-002457-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,67663000,63380000,92117000,135990000,438680000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,67663000,63380000,92117000,135990000,438680000
34,Net Receivables,3001000,11313000,7145000,14633000,1000000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,848000,2076000,4884000,5100000,18875000
37,Total Current Assets,71512000,76769000,104146000,155723000,458555000
38,PP&E,1362000,1818000,4348000,3607000,17789000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
