,https://roic.ai/company/SNCR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5621000,8185000,16550000,27191000,54218000,72406000,123538000,110982000,128805000,165969000,229084000,273692000,349047000,457314000,578831000,476750000,402361000,325839000,308749000,291670000,280615000
2,COGS,4876000,3715000,- -,17688000,30205000,35643000,55305000,53528000,64455000,83217000,106595000,115670000,146238000,184414000,239074000,194198000,181453000,158802000,150407000,121817000,- -
3,Gross Profit,745000,4470000,- -,9503000,24013000,36763000,68233000,57454000,64350000,82752000,122489000,158022000,202809000,272900000,339757000,282552000,220908000,167037000,158342000,169853000,- -
4,Gross Profit Ratio,0.1325,0.5461,- -,0.3495,0.4429,0.5077,0.5523,0.5177,0.4996,0.4986,0.5347,0.5774,0.5810,0.5967,0.5870,0.5927,0.5490,0.5126,0.5129,0.5823,- -
5,Research and Development Exp.,3923000,3029000,- -,3324000,5689000,7726000,10629000,11049000,13153000,26008000,41541000,52307000,64845000,73620000,91430000,106681000,90850000,79172000,75568000,77043000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,10474000,18531000,21718000,23650000,33743000,44886000,46680000,62096000,79227000,90735000,131106000,154037000,122112000,112771000,89292000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,5169000,- -,4340000,7544000,10474000,18531000,21718000,23650000,33743000,44886000,46680000,62096000,79227000,90735000,131106000,154037000,122112000,112771000,89292000,- -
9,Other Expenses,- -,2726000,- -,2127000,2305000,3267000,5237000,6656000,8499000,13698000,17693000,23812000,41126000,55956000,72152000,99311000,94884000,117654000,75997000,42088000,185393000
10,Operating Expenses,3923000,10924000,- -,9791000,15538000,21467000,34397000,39423000,45302000,73449000,104120000,122799000,168067000,208803000,254317000,337098000,339771000,318938000,264336000,208423000,185393000
11,COGS and Expenses,8799000,14639000,- -,27479000,45743000,57110000,89702000,92951000,109757000,156666000,210715000,238469000,314305000,393217000,493391000,531296000,521224000,477740000,414743000,330240000,- -
12,Interest Income ,- -,584000,- -,320000,258000,2256000,3974000,2369000,526000,1058000,1810000,1315000,557000,838000,2047000,2428000,12502000,7770000,1258000,1597000,39000
13,Interest Expense (Gain),96000,184000,- -,39000,133000,100000,66000,96000,741000,1264000,1820000,998000,1089000,3003000,5711000,7013000,55771000,3617000,1057000,420000,- -
