,https://roic.ai/company/PCOM,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,110085,2234141,631900,1466576,4243423,6481434,8634242,10506768,31917298,75597092,79779000,95664000,122913000,139509000,202370000,254989000,296376000,321821000,347546000,376245000,401177000,217387000,370008000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,14728681,55786075,60902000,76006000,98501000,110949000,169266000,215333000,253710000,278483000,300570000,322341000,335722000,182384000,319217000
3,Gross Profit,- -,2234141,631900,1466576,4243423,6481434,8634242,10506768,17188617,19811017,18877000,19658000,24412000,28560000,33104000,39656000,42666000,43338000,46976000,53904000,65455000,35003000,50791000
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5385,0.2621,0.2366,0.2055,0.1986,0.2047,0.1636,0.1555,0.1440,0.1347,0.1352,0.1433,0.1632,0.1610,0.1373
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,875000,573000,521000,1013000,1083000,1343000,1691000,1912000,2210000,2577000,- -,13301000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,17995941,13727000,15051000,13352000,19106000,23071000,27378000,28183000,29380000,34200000,36768000,40086000,33429000,14392000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1259359,1749000,1350000,5326000,1676000,1066000,1379000,1704000,2220000,2056000,1460000,1608000,1220000,17880000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,19255300,15476000,16401000,18678000,20782000,24137000,28757000,29887000,31600000,36256000,38228000,41694000,34649000,32272000
9,Other Expenses,498062,2555977,4029608,4371199,5917403,10174066,12331126,13451288,20434221,1532473,3335000,20000,1725000,3729000,3805000,2911000,3928000,4787000,4025000,3272000,4436000,5580000,4545000
10,Operating Expenses,498062,2555977,4029608,4371199,5917403,10174066,12331126,13451288,20434221,20787773,18811000,17296000,20976000,25032000,28955000,32751000,35158000,38078000,42193000,43710000,48707000,40229000,50118000
11,COGS and Expenses,498062,2555977,4029608,4371199,5917403,10174066,12331126,13451288,35162902,76573848,79713000,93302000,119477000,135981000,198221000,248084000,288868000,316561000,342763000,366051000,384429000,222613000,369335000
12,Interest Income ,- -,179885,130494,37760,274497,192639,515375,190936,724170,920328,- -,28000,46000,7000,- -,5000,- -,- -,213000,666000,908000,379000,226000
13,Interest Expense (Gain),- -,31853,427948,451036,665982,1567907,1803123,1174770,1234185,565789,14000,22000,- -,- -,- -,- -,- -,- -,- -,- -,211000,843000,353000
14,Depreciation and Amortization,4458,279484,998908,1530067,2218837,1932178,2601949,2680662,3080957,1201742,781000,895000,2298000,2803000,3285000,2150000,3546000,4529000,3988000,3364000,4668000,4859000,4545000
15,EBITDA,-408536,308186,-5608088,-2978135,-2155544,-3827084,-4139991,-2927937,-164647,-1787507,515000,2701000,5843000,6296000,7557000,8922000,11185000,4559000,8829000,14260000,21923000,-1115000,4538000
16,EBITDA ratio,-3.7111,0.1379,-8.8750,-2.0307,-0.5080,-0.5905,-0.4795,-0.2787,-0.0052,-0.0236,0.0065,0.0282,0.0475,0.0451,0.0373,0.0350,0.0377,0.0142,0.0254,0.0379,0.0546,-0.0051,0.0123
17,Operating Income,-387977,-321836,-3397708,-2904623,-1673980,-3692632,-3696884,-2944520,-3245604,-1732802,-266000,2481000,3520000,3486000,4272000,6767000,7639000,5260000,4783000,10194000,16748000,-5226000,673000
18,Operating Income ratio,-3.5243,-0.1441,-5.3770,-1.9805,-0.3945,-0.5697,-0.4282,-0.2802,-0.1017,-0.0229,-0.0033,0.0259,0.0286,0.0250,0.0211,0.0265,0.0258,0.0163,0.0138,0.0271,0.0417,-0.0240,0.0018
19,Total Other Income Expenses (Gains),8481,318685,55927,- -,- -,-134451,-443107,16583,-552546,-2012493,-14000,-697000,25000,7000,- -,5000,- -,-5230000,58000,702000,296000,-1591000,-1033000
20,Income Before Tax,- -,-3151,- -,- -,- -,- -,- -,- -,- -,- -,-280000,1784000,3545000,3493000,4272000,6772000,7639000,30000,4841000,10896000,17044000,-6817000,-360000
21,Income Before Tax Ratio,- -,-0.0014,- -,- -,- -,- -,- -,- -,- -,- -,-0.0035,0.0186,0.0288,0.0250,0.0211,0.0266,0.0258,0.0001,0.0139,0.0290,0.0425,-0.0314,-0.0010
22,Income Tax expense (Gain),- -,-393386,- -,- -,- -,- -,- -,- -,- -,- -,-344000,-172000,-487000,-4769000,666000,2088000,2474000,1545000,1461000,3104000,5155000,-1460000,-16000
23,Net Income,-412994,390235,-7034945,-4959238,-5040363,-7327170,-8545062,-6783369,-4479789,-3555038,64000,1956000,4032000,8262000,3606000,4684000,5165000,-1515000,3380000,7792000,11889000,-5357000,-344000
24,Net Income ratio,-3.7516,0.1747,-11.1330,-3.3815,-1.1878,-1.1305,-0.9897,-0.6456,-0.1404,-0.0470,0.0008,0.0204,0.0328,0.0592,0.0178,0.0184,0.0174,-0.0047,0.0097,0.0207,0.0296,-0.0246,-0.0009
25,EPS,-0.41,0.20,-2.26,-0.95,-0.85,-1.08,-0.95,-0.60,-0.40,-0.30,-0.30,0.13,0.27,0.55,0.24,0.30,0.33,-0.10,0.23,0.54,0.87,-0.41,-0.02
26,EPS Diluted,-0.41,0.13,-2.26,-0.95,-0.85,-1.08,-0.95,-0.60,-0.40,-0.30,-0.30,0.13,0.26,0.54,0.23,0.30,0.33,-0.10,0.23,0.54,0.86,-0.41,-0.02
27,Weighted Average Shares Outstanding,935834,2318555,3110970,5204919,5941992,6775603,9022032,11295279,11090838,13663662,11850000,14983137,15039689,15137930,15241989,15613333,15547595,15150000,14695652,14321186,13665517,13065854,14524591
28,Weighted Average Shares Outstanding Diluted,935834,3896748,3110970,5363531,5941992,6775603,9022032,11295279,11781196,13779052,11850000,15070151,15532510,15306791,15531144,15613333,15601170,15150000,14695652,14412003,13824419,13065854,14524591
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1204413/000120445907000399/exh992.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445908000602/ptsexh992.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445909001166/form20f.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445910001120/0001204459-10-001120-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1204413/000120445912000473/0001204459-12-000473-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299313001079/0001062993-13-001079-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1204413/000106299316008155/0001062993-16-008155-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299317001266/0001062993-17-001266-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299318001135/0001062993-18-001135-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299319001174/0001062993-19-001174-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299320001257/0001062993-20-001257-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,4663440,15634874,11441944,17206481,21181400,21355479,22854494,23914000,28463000,34853000,45108000,64188000,36868000,51364000,46492000,63514000,69131000,69965000,73070000,99648000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,2022058,- -,7343431,791880,3302000,2123000,2461000,- -,- -,- -,- -,10033000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,4663440,15634874,11441944,19228539,21181400,28698910,23646374,27216000,30586000,37314000,45108000,64188000,36868000,51364000,56525000,63514000,69131000,69965000,73070000,99648000
34,Net Receivables,- -,- -,- -,170000,774517,1683949,2358553,1982029,3325549,7513247,7762000,6678000,13248000,12219000,10472000,8996000,9736000,14694000,23427000,22830000,36166000,9354000,20840000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218000,162000,58000,2154000,189000,19000,29000
36,Other Current Assets,- -,- -,- -,417559,636367,1022419,1630450,1823031,9256953,4645498,4306000,3939000,2632000,6672000,3812000,2707000,1878000,1637000,2405000,2347000,4692000,5096000,5969000
37,Total Current Assets,- -,- -,- -,5250998,17045758,14148311,23217543,24986460,41281413,35805119,39284000,41203000,53194000,63999000,78472000,48571000,63196000,73018000,89404000,96462000,111012000,87539000,126486000
38,PP&E,- -,- -,- -,121834,152591,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3391000,2056000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,5865782,4169513,4204755,4205000,4205000,2580000,2580000,2580000,7130000,7130000,7130000,7130000,7130000,7130000,5681000,5681000
40,Intangible Assets,- -,- -,- -,1242791,1018447,6889757,6545982,- -,1397637,479784,2014000,4844000,4566000,2856000,1855000,18320000,18616000,16896000,15265000,13952000,12806000,12130000,10355000
41,Intangible Assets,- -,- -,- -,1242791,1018447,6889757,6545982,5865782,5567150,4684539,6219000,9049000,7146000,5436000,4435000,25450000,25746000,24026000,22395000,21082000,19936000,17811000,16036000
