,https://roic.ai/company/ADTN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,72400000,123400000,181500000,250120836,265334768,286558950,367207437,462948721,387080690,345725322,396676000,454517000,513215000,472708000,476778000,500676000,484185000,605674000,717229000,620614000,641744000,630007000,600064000,636781000,666900000,529277000,530061000,506510000,563004000
2,COGS,35000000,60900000,89900000,129953371,130253531,130009879,178629643,233429280,213759507,170789635,174681000,193445000,209895000,193747000,193792000,201771000,197223000,246811000,302911000,303971000,332858000,318680000,333167000,345437000,363240000,325712000,310894000,288959000,344627000
3,Gross Profit,37400000,62500000,91600000,120167465,135081237,156549071,188577794,229519441,173321183,174935687,221995000,261072000,303320000,278961000,282986000,298905000,286962000,358863000,414318000,316643000,308886000,311327000,266897000,291344000,303660000,203565000,219167000,217551000,218377000
4,Gross Profit Ratio,0.5166,0.5065,0.5047,0.4804,0.5091,0.5463,0.5135,0.4958,0.4478,0.5060,0.5596,0.5744,0.5910,0.5901,0.5935,0.5970,0.5927,0.5925,0.5777,0.5102,0.4813,0.4942,0.4448,0.4575,0.4553,0.3846,0.4135,0.4295,0.3879
5,Research and Development Exp.,- -,13800000,19100000,24647425,30055091,37221780,42017779,50628190,58934952,56295048,58144000,67384000,62654000,70700000,75367000,81819000,83285000,90300000,100301000,125951000,131055000,132258000,129876000,124804000,130434000,124547000,126200000,113287000,108663000
6,General and Administrative Exp.,21900000,17300000,27300000,34308436,44973175,62060907,71734959,87115889,95954228,81116094,83234000,91927000,96411000,103030000,103329000,103286000,99446000,114699000,124879000,134523000,129366000,131958000,123542000,131805000,135489000,124440000,130288000,113972000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",21900000,17300000,27300000,34308436,44973175,62060907,71734959,87115889,95954228,81116094,83234000,91927000,96411000,103030000,103329000,103286000,99446000,114699000,124879000,134523000,129366000,131958000,123542000,131805000,135489000,124440000,130288000,113972000,124414000
9,Other Expenses,1700000,2300000,3100000,- -,- -,- -,- -,- -,- -,- -,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,23600000,33400000,49500000,58955861,75028266,99282687,113752738,137744079,154889180,137411142,141375000,159311000,159065000,173730000,178696000,185105000,182731000,204999000,225180000,260474000,260421000,264216000,253418000,256609000,265923000,248987000,256488000,227259000,233077000
11,COGS and Expenses,58600000,94300000,139400000,188909232,205281797,229292566,292382381,371173359,368648687,308200777,316056000,352756000,368960000,367477000,372488000,386876000,379954000,451810000,528091000,564445000,593279000,582896000,586585000,602046000,629163000,574699000,567382000,516218000,577704000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8708000,6933000,6557000,7642000,7657000,7012000,5019000,3953000,3918000,4380000,4026000,2765000,1936000,2844000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2514000,2430000,2436000,2398000,2347000,2325000,677000,596000,572000,556000,533000,511000,5000,34000
14,Depreciation and Amortization,1700000,2300000,3100000,4890303,7342518,9002669,10546594,13418843,16798846,16405645,15247000,15373000,13199000,10827000,12789000,11992000,10084000,10545000,11499000,14079000,14628000,14845000,14245000,14407000,15692000,15891000,17771000,16627000,16084000
15,EBITDA,15000000,31400000,47400000,68392099,70169346,69617925,87736827,196452591,40536340,48582218,104077000,125389000,166573000,129352000,128360000,132779000,120082000,181170000,220039000,89391000,77808000,75428000,40549000,61874000,60935000,-16947000,-6495000,10386000,9813000
16,EBITDA ratio,0.2072,0.2545,0.2612,0.2734,0.2645,0.2429,0.2389,0.4244,0.1047,0.1405,0.2624,0.2759,0.3246,0.2736,0.2692,0.2652,0.2480,0.2991,0.3068,0.1440,0.1212,0.1197,0.0676,0.0972,0.0914,-0.0320,-0.0123,0.0205,0.0174
17,Operating Income,13800000,29100000,42100000,61211604,60052971,57266384,74825056,91775362,18432003,37524545,80620000,101761000,144255000,105231000,104290000,113800000,104231000,153864000,189138000,56169000,48465000,47111000,13479000,34735000,37737000,-45422000,-39963000,-9773000,-14700000
18,Operating Income ratio,0.1906,0.2358,0.2320,0.2447,0.2263,0.1998,0.2038,0.1982,0.0476,0.1085,0.2032,0.2239,0.2811,0.2226,0.2187,0.2273,0.2153,0.2540,0.2637,0.0905,0.0755,0.0748,0.0225,0.0545,0.0566,-0.0858,-0.0754,-0.0193,-0.0261
19,Total Other Income Expenses (Gains),- -,- -,2200000,2290192,2773857,3348872,2365175,91258386,5305491,-5347972,-19105000,8255000,9119000,13294000,11281000,4473000,3337000,14325000,17004000,16796000,12390000,12795000,12229000,12160000,6950000,12051000,15186000,3527000,8395000
20,Income Before Tax,- -,29100000,44300000,63501796,62826828,60615256,77190231,183033748,23737494,32176573,61515000,110016000,153374000,118525000,115571000,118273000,107568000,168189000,206142000,72965000,60855000,59906000,25708000,46895000,44687000,-33371000,-24777000,-6246000,-6305000
21,Income Before Tax Ratio,- -,0.2358,0.2441,0.2539,0.2368,0.2115,0.2102,0.3954,0.0613,0.0931,0.1551,0.2421,0.2988,0.2507,0.2424,0.2362,0.2222,0.2777,0.2874,0.1176,0.0948,0.0951,0.0428,0.0736,0.0670,-0.0631,-0.0467,-0.0123,-0.0112
22,Income Tax expense (Gain),- -,10500000,14800000,23681892,22617556,20305606,26244679,62231487,6408965,7400611,27315000,34875000,52224000,40192000,39236000,39692000,33347000,54200000,67565000,25702000,15061000,15286000,7062000,11666000,20847000,-14029000,28205000,-8624000,2330000
23,Net Income,13300000,18600000,29500000,39819904,40209272,40309650,50945554,120802261,17328529,24775962,61515000,75141000,101150000,78333000,76335000,78581000,74221000,113989000,138577000,47263000,45794000,44620000,18646000,35229000,23840000,-19342000,-52982000,2378000,-8635000
24,Net Income ratio,0.1837,0.1507,0.1625,0.1592,0.1515,0.1407,0.1387,0.2609,0.0448,0.0717,0.1551,0.1653,0.1971,0.1657,0.1601,0.1569,0.1533,0.1882,0.1932,0.0762,0.0714,0.0708,0.0311,0.0553,0.0357,-0.0365,-0.1000,0.0047,-0.0153
25,EPS,0.03,0.07,0.20,0.51,0.52,0.52,0.67,1.56,0.23,0.33,0.80,0.96,1.33,1.07,1.13,1.24,1.19,1.82,2.16,0.75,0.78,0.81,0.36,0.72,0.49,-0.40,-1.13,0.05,-0.18
26,EPS Diluted,0.03,0.06,0.19,0.51,0.51,0.52,0.66,1.52,0.23,0.33,0.76,0.93,1.30,1.04,1.10,1.22,1.17,1.78,2.12,0.74,0.77,0.80,0.36,0.72,0.49,-0.40,-1.13,0.05,-0.18
27,Weighted Average Shares Outstanding,394074074,262857143,74924000,79132180,78076256,78271165,76609856,77294576,77134648,76090256,76942000,78235000,75775000,73451000,67848000,63549000,62459000,62490000,64145000,63259000,59001000,55120000,51145000,48724000,48153000,47880000,47836000,47996000,47996000
