,https://roic.ai/company/RUTH,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,161625000,153744000,153583000,167780000,192197000,207200000,271479000,308400000,387800000,339900000,353000000,367300000,310300000,322400000,346097000,373433000,385947000,414823000,452334000,468026000,277748000,429123000
2,COGS,- -,- -,113867000,129741000,144368000,148700000,195762000,228700000,305200000,269000000,278000000,290600000,233800000,239100000,259501000,273948000,280074000,301805000,326370000,342312000,226251000,308121000
3,Gross Profit,- -,- -,39716000,38039000,47829000,58500000,75717000,79700000,82600000,70900000,75000000,76700000,76500000,83300000,86596000,99485000,105873000,113018000,125964000,125714000,51497000,121002000
4,Gross Profit Ratio,- -,- -,0.2586,0.2267,0.2489,0.2823,0.2789,0.2584,0.2130,0.2086,0.2125,0.2088,0.2465,0.2584,0.2502,0.2664,0.2743,0.2724,0.2785,0.2686,0.1854,0.2820
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,11545000,11346000,- -,- -,- -,-6759800000,- -,-8409700000,31781000,23703000,23085000,22894000,24080000,26127000,25941000,31274000,33474000,32700000,37628000,35931000,33248000,32531000
7,Selling and Marketing Exp.,6307000,6217000,- -,- -,- -,6783000000,- -,8447000000,13819000,11697000,11615000,11806000,11220000,11673000,10076000,10925000,11406000,12724000,16639000,15432000,6859000,13464000
8,"Selling, General and Administrative Exp.",17852000,17563000,- -,15767000,18032000,23200000,33992000,37300000,45600000,35400000,34700000,34700000,35300000,37800000,36017000,42199000,44880000,45424000,54267000,51363000,40107000,45995000
9,Other Expenses,- -,- -,- -,6782000,6469000,9100000,9660000,9500000,97300000,26200000,14500000,17800000,14500000,8500000,10917000,12520000,13434000,17008000,20038000,21890000,23597000,22381000
10,Operating Expenses,- -,- -,- -,22549000,24501000,32300000,43652000,46800000,142900000,61600000,49200000,52500000,49800000,46300000,46934000,54719000,58314000,62432000,74305000,73253000,63704000,68376000
11,COGS and Expenses,141975000,138751000,113867000,152290000,168869000,181000000,239414000,275500000,448100000,330600000,327200000,343100000,283600000,285400000,306435000,328667000,338388000,364237000,400675000,415565000,289955000,376497000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,10334000,7754000,4244000,2892000,2365000,1640000,1159000,790000,1154000,821000,1739000,2197000,4681000,3478000
14,Depreciation and Amortization,6667000,7193000,- -,6782000,6469000,6617000,8690000,12010000,17031000,16499000,15360000,14859000,14556000,13060000,13185000,12520000,13434000,14995000,18538000,21354000,21964000,20487000
15,EBITDA,10232000,9766000,7188000,9374000,9646000,4954517000,42578000,8571110000,-53930000,24985000,40246000,38848000,39980000,46302000,42629000,57482000,60713000,61622000,70204000,73930000,-6559000,70303000
16,EBITDA ratio,0.0633,0.0635,0.0468,0.0559,0.0502,23.9118,0.1568,27.7922,-0.1391,0.0735,0.1140,0.1058,0.1288,0.1436,0.1232,0.1539,0.1573,0.1486,0.1552,0.1580,-0.0236,0.1638
17,Operating Income,19650000,14993000,15174000,15490000,23328000,25723000,32065000,31923000,-71122000,8075000,25631000,24066000,26255000,34587000,39662000,44766000,47559000,46682000,51659000,52461000,-28549000,49714000
18,Operating Income ratio,0.1216,0.0975,0.0988,0.0923,0.1214,0.1241,0.1181,0.1035,-0.1834,0.0238,0.0726,0.0655,0.0846,0.1073,0.1146,0.1199,0.1232,0.1125,0.1142,0.1121,-0.1028,0.1159
