,https://roic.ai/company/UNAM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,16200000,26900000,32000000,31600000,31600000,27400000,28300000,26200000,33000000,39400000,- -,1190000,1030000,920000,840000,870000,880000,950000,930000,760000,680000,550000,460000,370000,280000,70000,70000,30800000,30308500,32792530,34387860,35500890,31704880,29287520,32560000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10819,32560000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0004,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,4500000,4300000,4200000,4000000,3600000,3700000,- -,3760000,4220000,4350000,4240000,4320000,4370000,4960000,4870000,5140000,5860000,5710000,5630000,5200000,4320000,4330000,5180000,5010000,4992130,4853160,4926650,5843710,4592840,4067850,6364000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4300000,6300000,6000000,15000000,4500000,4300000,4200000,4000000,3600000,3700000,- -,3800000,4200000,4351550,4241117,4321637,4373878,4960766,4869166,5140973,5861549,5709563,6910849,6289914,4954925,4559658,5415579,5242811,5184815,5019802,5088197,5843714,4592841,4067852,6364170
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33500000,30590000,29258450,33928883,54518363,46466122,44019234,48360834,45579027,30698451,34590437,31869151,31160086,28945075,24270342,24484421,24647189,23988925,29979798,32293763,40827986,32946749,30554848,-1861756
