,https://roic.ai/company/PGAS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,10000,10000,121904,365582,375608,115514,18075327,9163356,9026962,15961220,8628501,2279745
2,COGS,- -,- -,156163,464227,367150,106884,13173542,6538144,6003000,14352387,5675274,817865
3,Gross Profit,10000,10000,-34259,-98645,8458,8630,4901785,2625212,3023962,1608833,2953227,1461880
4,Gross Profit Ratio,1.0000,1.0000,-0.2810,-0.2698,0.0225,0.0747,0.2712,0.2865,0.3350,0.1008,0.3423,0.6412
5,Research and Development Exp.,- -,- -,28873,5394,2908,39038,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30000,190000,538998,639050,152162,196472,2010101,465274,254289,3262475,2008885,262021
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1162930,2095839,- -,- -,- -
8,"Selling, General and Administrative Exp.",30000,190000,538998,639050,152162,196472,2010101,1628204,2350128,3262475,2008885,262021
9,Other Expenses,- -,- -,- -,- -,- -,- -,2715835,395413,344466,- -,4335933,- -
10,Operating Expenses,30000,190000,567871,644444,155070,235510,4725936,2023617,2694594,3262475,6344818,262021
11,COGS and Expenses,30000,190000,724034,1108671,522220,342394,17899478,8561761,8697594,17614862,12020092,1079886
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,29737,25099,- -,44529,48974,14919,16551,383297,244435,- -
14,Depreciation and Amortization,- -,- -,209,396,1071,573,676328,918166,927597,914748,624435,521842
15,EBITDA,-20000,-180000,-591921,-666555,-138487,-370438,1004345,1227754,1251195,-1652470,-2216146,-2504492
16,EBITDA ratio,-2.0000,-18.0000,-4.8556,-1.8233,-0.3687,-3.2069,0.0556,0.1340,0.1386,-0.1035,-0.2568,-1.0986
17,Operating Income,-20000,-180000,-602130,-743089,-146612,-297700,175848,274871,329368,-1653642,-3467285,-329645
18,Operating Income ratio,-2.0000,-18.0000,-4.9394,-2.0326,-0.3903,-2.5772,0.0097,0.0300,0.0365,-0.1036,-0.4018,-0.1446
19,Total Other Income Expenses (Gains),- -,- -,-19737,51039,7054,-117840,103195,18556,-4670,-1331039,382269,-2696689
20,Income Before Tax,-20000,-180000,-621867,-692050,-139558,-415540,279043,293427,324698,-2984681,-3085016,-3026334
21,Income Before Tax Ratio,-2.0000,-18.0000,-5.1013,-1.8930,-0.3716,-3.5973,0.0154,0.0320,0.0360,-0.1870,-0.3575,-1.3275
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,55900,- -,- -,- -,- -,1648799
23,Net Income,-20000,-180000,-621867,-692050,-139558,-415540,223143,294669,307047,-2950515,-3085016,-4675133
24,Net Income ratio,-2.0000,-18.0000,-5.1013,-1.8930,-0.3716,-3.5973,0.0123,0.0322,0.0340,-0.1849,-0.3575,-2.0507
25,EPS,-2.00,-18.00,-4.00,-4.00,-1.00,-2.00,0.20,0.17,0.09,-0.75,-0.20,-0.31
26,EPS Diluted,-2.00,-18.00,-4.09,-4.00,-1.00,-2.04,0.14,0.17,0.09,-0.75,-0.20,-0.31
27,Weighted Average Shares Outstanding,10000,10000,151957,195296,199500,203660,1610165,1729623,3436387,3953461,15109587,15109587
28,Weighted Average Shares Outstanding Diluted,10000,10000,151957,195296,199500,203660,1610165,1729887,3522331,3953461,15109587,15109587
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1558465/000126493114000144/0001264931-14-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000155479515000121/0001554795-15-000121-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1558465/000155479517000204/0001554795-17-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774918005768/0001437749-18-005768-index.html,https://www.sec.gov/Archives/edgar/data/1558465/000143774919007113/0001437749-19-007113-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774920011154/0001437749-20-011154-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774921015294/0001437749-21-015294-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774922007671/0001437749-22-007671-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
